Address;Title;Description;Rooms;Living Space (sqm);Price
1295 Mies-Tannay;A 4 MINUTES DE TANNAY, Terre Sainte, magnifique villa semi individuelle de 2.5 pièces avec grand disponible dans combles et sous-sol complet;A 4 MINUTES DE TANNAY, TERRE-SAINTE, magnifique villa semi individuelle de 2.5 pièces avec grand disponible dans combles TRES BELLES FINITIONS A CHOIX, les travaux débutent cet étéLa villa sud-ouest est composée comme suit : Au rez-de-chaussée :hall d'entrée avec armoire vestiaireune chambre/bureauune cuisine ouverte avec espace repas et accès sur la terrasse un séjour avec accès direct sur la terrasse/jardinWC visiteurs avec lave-mains Etage :Hall et escalier une belle chambre parentale avec salle d'eau, douche, lavabo et wc, privativedeux chambres avec accès sur le balconsalle d'eau avec baignoire, lavabo et wcCombles :espace jeux, rangement, galetasSous-sol :hall un grand local disponible 34 m2un local buanderieune caveun local technique PACExtérieurs :une terrasse au sud avec jardin privatif une terrasse à la sortie cuisineun réduit avec accès direct depuis la terrasse1 place de parc dans garage double, et 1 place de parc extérieure comprise;2.5 rooms;150m²;CHF 2,614,500.–
1031 Mex VD;Convivial Duplex dans un cadre exceptionnel. Aux portes de Lausanne.;"Aux portes de Lausanne, jouissant d'une situation prestigieuse au sein du domaine du Château de Mex, ce séduisant projet donne naissance à 26 nouvelles résidences.Bénéficiant d'une vue dégagée sur la campagne avec les montagnes en toile de fond, cet accueillant 2.5 pcs se situe dans le chaleureux « Couvert » et dispose :- agréable pièce à vivre de 43 m2 avec cuisine d'angle s'ouvrant sur le séjour- 3 chambres à coucher- 1 salle d'eau (douche &amp; WC) équipée d'une pré installation pour colonne de lavage &amp; séchage- 1 salle de bains - espace de rangementsPrivilégiés d'un environnement enchanteur composé de paysages champêtres et surfaces boisées, les appartements confèrent une ambiance et un cachet sans égal. Ils associent le charme d'antan et le confort moderne afin d'offrir un bien-être exemplaire à ses résidents. Une attention particulière est amenée afin de préserver l'essence de ce lieu historique tout en usant des dernières technologies respectueuses de la nature. - énergie solaire - chauffage à distance - isolation performante - fenêtres triple vitrages - chauffage au sol avec thermostat dans chaque pièce - choix des équipements, des matériaux et des finitions selon le budget alloué - compteur &amp; collecteur de chauffage individuels afin d'assurer une parfaite équité des chargesLa commune de Mex profite d'une agréable vie villageoise et bénéficie de la proximité de Lausanne et des villes environnantes ainsi que l'accès au réseau autoroutier.- Lausanne-centre, l'UNIL, l'EPFL ou Morges-centre à une dizaine de minutes- centres commerciaux, accès autoroute (A1 - A9) à 6 minutes- CHUV à environ 20 minutes- Aéroport de Genève à une quarantaine de minutesLe village dispose également du transport public (à 200 mètres du domaine) desservant les gares de Bussigny et de Cossonay.RESIDENCES DU CHÂTEAU :- 1 logement 5,5 pièces à 1'380'000.-- 6 logements 2.5 pièces dès 1'030'000.-- 4 logements 3,5 pièces dès 825'000.-- 6 logements 2,5 pièces dès 550'000.-- 10 studios dès 280'000.- - 1 caveau de 134 m2 580'000.-Certains lots disposent de terrasses, jardins ou balcons.Parking souterrain et places extérieures (en sus du prix de vente).Livraison estimée : 1er semestre 2025Informations complémentaires (descriptif, plans, photos, liste des lots) disponibles dans la brochure de vente";2.5 rooms;30m²;CHF 1,282,350.–
A Tannay, 1295 Tannay;Villas Jade à Tannay;;2 rooms;280m²;CHF 4,145,850.–
1295 Tannay;Magnifiques villas sur plan au coeur de Tannay;;2.5 rooms;260m²;CHF 3,473,550.–
1865 Les Diablerets;Chalet de deux logements;;3 rooms;370m²;CHF 2,863,500.–
Route de Lausanne, 1180 Rolle;Un joyau architectural dans un cadre majestueux;Embarquer à bord de la Baie d'Opale c'est vivre dans un environnement unique!;1.5 rooms;26m²;CHF 1,406,850.–
1290 Chavannes-des-Bois;Terre-Sainte - Villa contemporaine de 2.5 pièces avec combles et ssol;;2.5 rooms;;CHF 2,614,500.–
1018 Lausanne;SUPERBE PROJET EN VILLE - LANCEMENT CHANTIER EN AVRIL !;;1.5 rooms;19m²;CHF 927,520.–
1018 Lausanne;NOUVELLE PROMOTION EN VILLE - LANCEMENT CHANTIER EN AVRIL !;;1.5 rooms;18m²;CHF 790,570.–
Route de Lucens 2, 1682 Prévonloup;Appartement de 1.5 pièces à Prévonloup;;1.5 rooms;20m²;CHF 485,550.–
