Address;Title;Description;Rooms;Living Space (sqm);Price
Im Bödeli 10, 8624 Grüt (Gossau ZH);Gartenwohnung mit viel Raum für Ihre Familie!;;2.5 rooms;200m²;Price on request
Greifenseestrasse 13, 8603 Schwerzenbach;Dem Greifensee zum greifen nah;;2.5 rooms;130m²;CHF 1,643,400.–
Grossacherstrasse 16, 8904 Aesch ZH;Besuchen Sie uns am 18. Mai 24 vor Ort;An wunderschöner Südwestanglage am Rande von Aesch ZH angrenzend zur Landwirtschaftszone befindet sich das Projekt DuoVivo. www.duovivo.chInfo-Anlass auf dem Grundstück am Samstag, 18. Mai 2024 von 12.00 - 13.30 UhrHier entstehen sechs hochwertige 2.5- bis 5.5-Zimmer-Eigentumswohnungen mit viel Sonne und bester Aussicht über Aesch ZH und in die Ferne. Bringen Sie Ihre eigene Note durch Ihre persönlichen Ausbauwünsche ein. Der angedachte Ausbaustandard ist hochwertig und gibt Ihnen maximale Flexibilität. Top-Highlights: • erhöht und aussichtsreich - über den Dächern von Aesch befindet sich das Grundstück an der Grossacherstr. 16. • vielseitiges Angebot: ob lieber viel Garten oder grosse und hohe Räume im Dachgeschoss: im DuoVivo finden Sie beides • flexibel und massgeschneidert: Wählen Sie Ihren persönlichen Ausbau selber aus. Die angedachten Budgets sind grosszügig und lassen viel Flexibilität zu. • umweltbewusst und zukunftsorientiert: Durch die Erdsondenwärmepumpe, die Photovoltaikanlage auf dem Dach sowie der Vorbereitung zur E-Mobilität in der Tiefgarage ist für effiziente und saubere Energie gesorgt. • Der Baubeginn ist auf Herbst 2024 geplant. Interessiert? Gerne stellen wir Ihnen das Projekt näher vor. Weitere Informationen finden Sie unter www.duovivo.ch.Wir freuen uns auf Ihre Anfrage.;1.5 rooms;20m²;CHF 1,220,100.–
Lötschenrain 6, 8912 Obfelden;Harmonisches Wohnambiente: 1.5 Zimmerwohnung mit bezauberndem Aussenbereich - Einziehen und Wohlfühlen.;;1.5 rooms;28m²;CHF 1,232,550.–
Höhenweg 12, 8824 Schönenberg ZH;ALTE BUECHEN;;1.5 rooms;26m²;CHF 1,344,600.–
8802 Kilchberg ZH;Sea Breeze;;1.5 rooms;170m²;Price on request
Dorfstrasse 11, 8523 Hagenbuch;4 1/2-Zimmerwohnung im EG - Überbauung Freihof;;2.5 rooms;190m²;CHF 1,182,750.–
8483 Kollbrunn;Exklusive Dach Eckwohnung im Hauptbau in der denkmalgeschützten Spinnerei Kollbrunn;;2.5 rooms;210m²;CHF 1,967,100.–
Grossacherstrasse 16, 8904 Aesch ZH;DuoVivo - ein ganz besonderes Bijou;An wunderschöner Südwestanglage am Rande von Aesch ZH angrenzend zur Landwirtschaftszone befindet sich das Projekt DuoVivo. www.duovivo.chInfo-Anlass auf dem Grundstück am Samstag, 18. Mai 2024 von 12.00 - 13.30 UhrHier entstehen sechs hochwertige 2.5- bis 2.5-Zimmer-Eigentumswohnungen mit viel Sonne und bester Aussicht über Aesch ZH und in die Ferne. Bringen Sie Ihre eigene Note durch Ihre persönlichen Ausbauwünsche ein. Der angedachte Ausbaustandard ist hochwertig und gibt Ihnen maximale Flexibilität. Top-Highlights: • erhöht und aussichtsreich - über den Dächern von Aesch befindet sich das Grundstück an der Grossacherstr. 16. • vielseitiges Angebot: ob lieber viel Garten oder grosse und hohe Räume im Dachgeschoss: im DuoVivo finden Sie beides • flexibel und massgeschneidert: Wählen Sie Ihren persönlichen Ausbau selber aus. Die angedachten Budgets sind grosszügig und lassen viel Flexibilität zu. • umweltbewusst und zukunftsorientiert: Durch die Erdsondenwärmepumpe, die Photovoltaikanlage auf dem Dach sowie der Vorbereitung zur E-Mobilität in der Tiefgarage ist für effiziente und saubere Energie gesorgt. • Der Baubeginn ist auf Herbst 2024 geplant. Interessiert? Gerne stellen wir Ihnen das Projekt näher vor. Weitere Informationen finden Sie unter www.duovivo.ch.Wir freuen uns auf Ihre Anfrage.;2.5 rooms;160m²;CHF 2,353,050.–
8802 Kilchberg ZH;"1.5-Zimmer-Terrassenwohnung mit unverbaubarer Seesicht im Neubauprojekt ""Belle Vue""";;1.5 rooms;130m²;CHF 3,859,500.–
Jakob-Fügli-Strasse 2, 8048 Zürich;Züri Square - Urbanes Wohnen am Lindenplatz;;1.5 rooms;23m²;CHF 1,556,250.–
Orenbergstrasse 5, 8475 Ossingen;2.5-Zimmer-Neubau-Maisonette-Wohnung;;2.5 rooms;170m²;CHF 1,120,500.–
Grossacherstrasse 16, 8904 Aesch ZH;Info-Anlass am Sa, 18. Mai 2024;An wunderschöner Südwestanglage am Rande von Aesch ZH angrenzend zur Landwirtschaftszone befindet sich das Projekt DuoVivo. www.duovivo.chInfo-Anlass auf dem Grundstück am Samstag, 18. Mai 2024 von 12.00 - 13.30 UhrHier entstehen sechs hochwertige 2.5- bis 2.5-Zimmer-Eigentumswohnungen mit viel Sonne und bester Aussicht über Aesch ZH und in die Ferne. Bringen Sie Ihre eigene Note durch Ihre persönlichen Ausbauwünsche ein. Der angedachte Ausbaustandard ist hochwertig und gibt Ihnen maximale Flexibilität. Top-Highlights: • erhöht und aussichtsreich - über den Dächern von Aesch befindet sich das Grundstück an der Grossacherstr. 16. • vielseitiges Angebot: ob lieber viel Garten oder grosse und hohe Räume im Dachgeschoss: im DuoVivo finden Sie beides • flexibel und massgeschneidert: Wählen Sie Ihren persönlichen Ausbau selber aus. Die angedachten Budgets sind grosszügig und lassen viel Flexibilität zu. • umweltbewusst und zukunftsorientiert: Durch die Erdsondenwärmepumpe, die Photovoltaikanlage auf dem Dach sowie der Vorbereitung zur E-Mobilität in der Tiefgarage ist für effiziente und saubere Energie gesorgt. • Der Baubeginn ist auf Herbst 2024 geplant. Interessiert? Gerne stellen wir Ihnen das Projekt näher vor. Weitere Informationen finden Sie unter www.duovivo.ch.Wir freuen uns auf Ihre Anfrage.;2.5 rooms;160m²;CHF 2,303,250.–
Alte Landstrasse 2-6, 8800 Thalwil;TRIANGOLO 8800 - AUSSERGEWÖNHLICHE NEUBAUDACHWOHNUNG;;2.5 rooms;130m²;CHF 2,203,650.–
Rieterstrasse 102, 8002 Zürich;Neubau im Enge-Quartier - Baubeginn erfolgt;;2.5 rooms;220m²;CHF 4,482,000.–
8132 Egg b. Zürich;Attikawohnung mit 2.5-Zimmer. Neubauprojekt 5-Elemenz;;2.5 rooms;200m²;CHF 3,137,400.–
Wigarteweg 5, 8915 Hausen am Albis;Neubauprojekt * Tolle Gartenwohnung;;2.5 rooms;150m²;CHF 1,942,200.–
Ankenhofstrasse 31, 8102 Oberengstringen;"Sunside of Zurich"" Oberengstringen";;1.5 rooms;150m²;CHF 2,651,850.–
8103 Unterengstringen;"""Vivendo"" Sie sind der Erste!";;2.5 rooms;150m²;CHF 1,928,500.–
Seestrasse, 8810 Horgen;LAGO MIO - Wohnen direkt am See;;2.5 rooms;220m²;CHF 6,100,500.–
8104 Weiningen ZH;Steuergünstig und sonnenverwöhnt: Dachmaisonette im Erstbezug;;1.5 rooms;150m²;CHF 1,730,550.–
Sonnenbühlstrasse 12a, 8181 Höri;"grosses Einfamilienhaus ""WEST"" mit freier Sicht ins Grüne";;2 rooms;;CHF 2,483,770.–
Dorfstrasse, 8166 Niederweningen;Ihre 1.5-Zimmer Eigentumswohnung in Niederweningen;"Im idyllischen Neubauprojekt ""Gupfengarten"" in Niederweningen, im westlichen Zürcher Unterland, bietet die letzte attraktive 1.5-Zimmer Eigentumswohnungen viel Behaglichkeit und Lebensqualität.Gupfengarten liegt wunderschön in die Natur eingebettet und ist der ideale Rückzugsort für Familien und Paare.Der Fahrverkehr gelangt direkt ab der Dorfstrasse in die Einstellhalle. Fussgänger und Velofahrer gelangen über den zentralen Wohn- und Spielhof zu ihren Wohneinheiten.Die vielseitige Landschaft rund um den Lägern sowie die guten Verkehrsanbindungen ermöglichen unzählige Freizeitmöglichkeiten.Die nahgelegenen Autobahnanschlüsse sorgen zudem für eine optimale Anbindung nach Baden und Zürich.Sichern Sie sich jetzt die letzte 1.5-Zimmer Wohnung und melden Sie sich unter www.gupfengarten.ch.";1.5 rooms;120m²;CHF 1,083,150.–
Dorfstrasse 11, 8523 Hagenbuch;Neubau - 3 1/2-Zimmer-Maisonette-Whg. - Überbauung Freihof;;1.5 rooms;160m²;CHF 1,045,800.–
8703 Erlenbach ZH;Der stilvolle Wohntraum an bevorzugter Wohnlage in Erlenbach;;2.5 rooms;190m²;CHF 4,793,250.–
Rebstrasse 6a, 8703 Erlenbach;Der stilvolle Wohntraum an bevorzugter Wohnlage in Erlenbach;;1 room;200m²;CHF 4,046,250.–
Roswiesenstrasse 133, 8051 Zürich;Top modern konzipierte Neubauwohnungen an ruhiger und sonniger Wohnlage;;2.5 rooms;140m²;CHF 2,602,050.–
Grossacherstrasse 16, 8904 Aesch ZH;DuoVivo, Aesch ZH: Wohnen mit eigenem Garten;An wunderschöner Südwestanglage am Rande von Aesch ZH angrenzend zur Landwirtschaftszone befindet sich das Projekt DuoVivo. www.duovivo.chInfo-Anlass auf dem Grundstück am Samstag, 18. Mai 2024 von 12.00 - 13.30 UhrHier entstehen sechs hochwertige 1.5- bis 5.5-Zimmer-Eigentumswohnungen mit viel Sonne und bester Aussicht über Aesch ZH und in die Ferne. Bringen Sie Ihre eigene Note durch Ihre persönlichen Ausbauwünsche ein. Der angedachte Ausbaustandard ist hochwertig und gibt Ihnen maximale Flexibilität. Top-Highlights: • erhöht und aussichtsreich - über den Dächern von Aesch befindet sich das Grundstück an der Grossacherstr. 16. • vielseitiges Angebot: ob lieber viel Garten oder grosse und hohe Räume im Dachgeschoss: im DuoVivo finden Sie beides • flexibel und massgeschneidert: Wählen Sie Ihren persönlichen Ausbau selber aus. Die angedachten Budgets sind grosszügig und lassen viel Flexibilität zu. • umweltbewusst und zukunftsorientiert: Durch die Erdsondenwärmepumpe, die Photovoltaikanlage auf dem Dach sowie der Vorbereitung zur E-Mobilität in der Tiefgarage ist für effiziente und saubere Energie gesorgt. • Der Baubeginn ist auf Herbst 2024 geplant. Interessiert? Gerne stellen wir Ihnen das Projekt näher vor. Weitere Informationen finden Sie zudem unter www.duovivo.ch.Wir freuen uns auf Ihre Anfrage.;1.5 rooms;20m²;CHF 1,058,250.–
