Address;Title;Description;Rooms;Living Space (sqm);Price
In der Rüti, 8967 Widen;Wohnung 4.5 Zimmer (2. OG);;4.5 rooms;143m²;CHF 1,885,000.–
Im Aengerli 6, 4313 Möhlin;MODERN, FAMILIENFREUNDLICH UND GUT ERSCHLOSSEN WOHNEN / WOHNUNG M1;;2.5 rooms;66m²;CHF 785,000.–
Böllistrasse, 5702 Niederlenz;PROJEKTANKÜNDIGUNG  -  Dein Zuhause in Niederlenz;Im Herzen des Kantons Aargau kannst du deinen Lebenstraum verwirklichen. In der Gemeinde Niederlenz entstehen 22 Wohneinheiten in 9 Doppeleinfamilienhäusern und einem 4-Haus-Ensemble mit ca. 125 m2 Wohnfläche und zusätzlichem Keller, umgeben von einem modernen Mix aus Landwirtschaftszone, Wohngebiet und Industrie.Verschiedene Gestaltungsoptionen im und ums Haus stehen dir offen, ebenso die Wahl zwischen Grundstücksgrössen von 195 m2 bis 416 m2. Ein Freiraum mit Spielplatz inmitten der Anlage bietet einen sicheren Ort für Kinder sowie allen Bewohnern eine Stätte der Begegnung für ein unbeschwertes Zusammensein unter Gleichgesinnten. Das viele Grün ist eine Wohltat fürs Auge. Nicht zuletzt ist die aufwärtsstrebende Architektur mit Erdgeschoss, Obergeschoss und Dachgeschoss (wozu noch ein Untergeschoss als Keller hinzukommt) die perfekte Bühne für deinen Geschmack und Gestaltungswillen. In jeder Hinsicht – auf jeder Ebene.Registriere dich jetzt unter https://www.boelli-sued.ch/kontakt und wir halten dich gerne auf dem Laufenden.;4.5 rooms;;Price on request
Schulhausstrasse 14, 4800 Zofingen;Modernes Reihenfamilienhaus in Zofingen;;4.5 rooms;160m²;Price on request
Dammweg 2, 5200 Brugg AG;NEUBAUPROJEKT Rütschi+ 3.5-Zimmer-Atelier-Loft, Raumhöhe 3.70 Meter mit verglastem Sheddach und mit Sitzplatz;;3.5 rooms;108m²;CHF 855,000.–
5057 Reitnau;*Erstbezug* Schöne, moderne Eigentumswohnungen im schönen Reitnau;;5.5 rooms;179m²;CHF 920,000.–
Seetalstrasse 124, 5503 Schafisheim;LETZTE 2.5 ZIMMERWOHNUNG IM EG VERFÜGBAR!;;2.5 rooms;51m²;CHF 460,000.–
Haldenstrasse 1a, 5726 Unterkulm;DAS SUCHEN HAT EIN ENDE. Wohnen im eigenen Heim;;4.5 rooms;122m²;CHF 970,000.–
Langernweg 90, 4665 Oftringen;Zweifamilienhaus mit Ökonomieteil;;11 rooms;307m²;CHF 2,450,000.–
Baumattstrasse 8f, 4813 Uerkheim;Letzte 5.5 Zimmerwohnung | Modernste Sichtbeton-Bauweise;5.5 Zimmerwohnung D7mit 217 m2 Nutzfläche, Baubeginn im April 2023 erfolgt / Letzte verfügbare 5.5 Zimmerwohnung im oberen Trakt!!! Die Highlights: • modernste Sichtbeton-Architektur • eigener Hauseingang, direkte Lifterschliessung von der Tiefgarage bis zur Wohnung • 144 m2 Wohnnutzfläche • 32 m2 Master Bedroom mit Platz für eine XL-Ankleide • 70 m2 grosser Wohnraum (Wohn-Essraum, Küche und Entrée) • 45 m2 Terrasse mit grossem Hochbeet • 2 Nasszellen mit Badewanne oder grosser Dusche • 2 verschiedene Raumhöhen bis 2.72 m • flexible Grundrissgestaltung • individueller Innenausbau • 217 m2 Gesamtnutzfläche • höchste Bauqualität mit Smartcooling-System Modernste Architektur in hochwertiger Sichtbeton-Bauweise, ganztags besonnte und ruhige LageDie Sommerhalde ist ein erfrischender Kontrast zu konventionellen Terrassensiedlungen. Mit ihrer erhöhten, sonnigen Lage, der charakteristischen Architektursprache, einem sorgfältigen Umgang mit Raum und Natur und einer puristischen, hochwertigen Materialisierung bietet die Sommerhalde ein hochklassiges Wohnerlebnis.Ökologie als stetiger Begleiter:Die Gebäudehülle ist darauf ausgelegt, dass nur 80% des gesetzlich zugelassenen Heizwärmebedarfs benötigt werden, was den Anforderungen für Minergiebauten entspricht. Die Beheizung des Gebäudes und die Warmwasseraufbereitung erfolgt über eine Erdwärmepumpe – 100% erneuerbare Energie. Im Sommer kommen Sie in den Genuss eines Smartcooling-Systems, welches die Wohntemperatur bis zu 3 Grad senken kann. Innenseitig ist die Fassade mit einem atmungsaktiven Mineraldämmsystem versehen, welches in allen Räumen für ein angenehmes Wohnklima sorgt.Auch wer Ruhe sucht, ist in der Sommerhalde richtig: Der Schallschutz erfüllt im Aussen- und Innenbereich die erhöhten Anforderungen nach SIA 181.Wir begleiten Sie persönlich von A-ZGerne begleiten wir Sie bei allen Fragen zum Wohnungskauf und bieten Ihnen durch unser fundiertes Wissen und langjähriger Erfahrung höchste Kompetenz.Wir beraten Sie hinsichtlich Vertragswesen, Finanzierung, Planung, Materialauswahl und Einrichtung. Zudem sind wir während der gesamten Bauzeit bis zu Ihrem Einzug und darüber hinaus mit einem starken Team für Sie da.Interessiert? Wir sind für Sie da...Persönlicher Kontakt: Frau Manuela Walti / 078 697 06 66;5.5 rooms;144m²;CHF 1,250,000.–
5432 Neuenhof;«Drei Föhren» - natürlich zuhause;;4.5 rooms;107m²;CHF 990,000.–
5432 Neuenhof;«Drei Föhren» - natürlich zuhause;;3.5 rooms;82m²;CHF 860,000.–
