Address;Title;Description;Rooms;Living Space (sqm);Price
9042 Speicher;HELL MIT VIEL KOMFORT UND SEESICHT;Die charmante Maisonette-Wohnung befindet sich in einem ruhigen Wohnquartier und überzeugt mit den taghellen, hohen Räumen, dem sonnigen Balkon und der traumhaften See- und Weitsicht. Die Wohnung verfügt über eine interessante Grundrissaufteilung auf zwei Etagen mit vier Halbebenen. Die Wohnung wurde 2018 renoviert. Das Raumvolumen der Wohnung beträgt etwa 250 m³, was ein grosszügiges und befreiendes Wohngefühl ermöglicht. Innerhalb der bestehenden Wohnung bieten sich noch interessante Wohnraumerweiterungs- und Umbaumöglichkeiten. Zwei Panoramafenster bieten einen atemberaubenden Blick auf den Bodensee.Dieses BETTERHOMES-Angebot zeichnet sich durch folgende Vorteile aus:- traumhafte See- und Weitsicht- viel Wohnkomfort dank tagheller, hoher Räume- Aussenabstellplatz inklusive- ruhige Wohnlage über der Nebelgrenze und in der Nähe des Zentrums von St. Gallen- steuergünstige Gemeinde- sonniger Balkon- moderne und offene Küche mit modernen Geräten und Panoramafenster- Zimmer / Büro mit grossem Panoramafenster- und, und, und ...Interessiert? Kontaktieren Sie uns für eine unverbindliche Besichtigung – auch Online-Besichtigung möglich!Nichts Passendes gefunden? Über 2'300 weitere Angebote unter: www.betterhomes.ch - der Immobilienfairmittler®Selber eine Immobilie zu vermarkten?Profitieren Sie von unserem Know-how: https://www.betterhomes.ch/de/profitierenSie möchten eine Immobilie schätzen lassen?Erfahren Sie jetzt ihren Wert über unsere Gratis-Schätzung, sofort und unverbindlich!https://www.betterhomes.ch/de/knowledge/estimationMehr DetailsLage: ruhigZustand: gutBäder / Nasszellen: 1 (1 x Bad / WC / Lavabo) Heizsystem: FernwärmeÖffentliche Verkehrsmittel: Zug, 100 mSchulen: Kindergarten, 300 m / Primarschule / Sekundarschule, 1 kmGeschäfte: diverse Einkaufsmöglichkeiten, 1.5 km;3.5 rooms;90m²;CHF 499,000.–
Schwellbrunnerstrasse 79C, 9100 Herisau;Helle und sonnige 3.5-Zimmer-Wohnung im 2. OG;;3.5 rooms;95m²;CHF 450,000.–
Kurvenstrasse 12a, 9053 Teufen AR;Attika-Dachwohnung mit herrlicher Aussicht - ein Hauch von Luxus;;5.5 rooms;210m²;CHF 1,740,000.–
Kohli 5, 9055 Bühler;Schöne, grosszügige 2.5 Wohnung in Bühler zu verkaufen;;2.5 rooms;113m²;CHF 550,000.–
9063 Stein AR;Wohnung in Stein AR;;4 rooms;85m²;CHF 395,000.–
Sonnhalde 10, 9410 Heiden;Das ideale Familienhaus;;6.5 rooms;148m²;CHF 880,000.–
9426 Lutzenberg;Gartensitzplatz und herrliche Weitsicht, dies alles finden Sie hier!;;3.5 rooms;88m²;CHF 435,000.–
9426 Lutzenberg;Gartensitzplatz mit Umschwung und Seesicht!;;4.5 rooms;106m²;CHF 540,000.–
Oberstrasse 3, 9038 Rehetobel;Aussergewöhnliches Einfamilienhaus mit Einliegerwohnung und Traumpanorama;Aussergewöhnliches Einfamilienhaus mit Einliegerwohnung und TraumpanoramaRehetobel ist ein wunderbarer Ort zum Leben. Die Gemeinde punktet durch die sanft hügelige Umgebung, die intakte Natur sowie die gute Erreichbarkeit und Angebundenheit. Der Hauptbahnhof von St. Gallen oder auch der wunderschöne Bodensee liegen jeweils nur wenige Kilometer entfernt.In guter Lage fussgängig von einer Volg-Filiale und der Bushaltestelle gelegen, steht ein aussergewöhnliches 8.5-Zimmer-EFH mit Einliegerwohnung zum Verkauf. Von der Strasse her kann man direkt in die Garage fahren, zudem ist vor dem Haus ein Aussenparkplatz vorhanden und inklusive. Von einer Aussentreppe oder über das Treppenhaus, das von der Garage bis ins Dachgeschoss führt, betritt man den Eingangsbereich. Durch diese Besonderheit kann das Gebäude als Einfamilienhaus genutzt werden, aber auch die Aufteilung in zwei oder drei Wohneinheiten ist möglich.Im Erdgeschoss befindet sich eine 3.5-Zimmerwohnung. Links vom kurzen Flur befindet sich das Badezimmer mit Duschbadewanne. Durch das Fenster fällt viel Tageslicht ein. Auf der gegenüberliegenden Flurseite befindet sich die helle Küche, die sehr funktional ausgestattet ist. Einbauschränke in Küche und Korridor sorgen für praktischen Stauraum. Die Küche bietet Zugang zu einem Zimmer. Am Flurende gelangt man in das grosszügige Wohnzimmer, das einen wunderschönen Blick ins umliegende Grün und das herrliche Panorama eröffnet. Angrenzend befindet sich ein weiteres Zimmer, das sich etwa als zweites Wohnzimmer oder als Schlafzimmer anbietet. Im Obergeschoss befindet sich eine weitere Wohnung mit deckungsgleichem Grundriss. Durch die höhere Lage profitiert man in diesem Stock von einer noch beeindruckenderen Aussicht.Das Dachgeschoss beherbergt eine Wohnung mit zwei grosszügigen Zimmern sowie einem Bad mit Dusche, jedoch ohne Küche. Die Dachschrägen sorgen für viel Behaglichkeit, gleichzeitig ist sie sehr hell. Praktische Einbauschränke sind den Schrägen angepasst und bieten viel Stauraum. Das EFH befindet sich in gutem Zustand und überzeugt durch sein gutes Fundament. Es wurden viele Fenster eingelassen, wodurch die Räume sehr hell daherkommen, das viele verbaute Holz schafft dazu eine heimelige Atmosphäre.In der Garage befindet sich der Heizungsraum sowie der Zugang zum Keller. Zudem bietet sich viel Platz für die kreative und handwerkliche Entfaltung ? passend dazu ist eine Werkbank vorhanden. Die Badezimmer und die Küchen sind voll funktionstüchtig. Mit einigen Arbeiten könnten sie zudem modernisiert werden. 2012 wurden die Gasheizung, Fensterfront und die Fassaden auf Ost-, Süd- und Westseite erneuert. 2018 wurden neue Böden und Kühlschränke eingesetzt.Haben wir mit diesem Schmuckstück Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.;8.5 rooms;165m²;CHF 820,000.–
Obermoosbergstrasse 2a, 9100 Herisau;helle Eigentumswohnung mit grosszügigem Balkon;Herzlich willkommen im Obermoosberg in HerisauDie Überbauung befindet sich an zentraler Lage mitten in Herisau. Die Überbauung wurde im Jahr 1992 erstellt und die Fassaden sowie Aussenbereiche wurden im Jahr 2023 renoviert. Durchdachte Grundrisse mit hellen Wohnräumen, grosszügigen Küchen und eigenen Waschtürmen in den Wohnungen sorgen für ein optimales Wohngefühl.Verkaufspreise:- 3½-Zimmer-Wohnungen ab CHF 545'000- 4½-Zimmer-Wohnungen ab CHF 590'000- 5½-Zimmer-Maisonettewohnungen à CHF 840'000- Tiefgaragenplatz à CHF 30'000- Aussenparkplatz à CHF 15'000Sind Sie interessiert?Gerne senden wir Ihnen die detaillierten Verkaufsunterlagen zu.Bei Fragen oder zur Vereinbarung eines persönlichen Besprechungstermins steht Ihnen Frau Janine Lekaj-Karge (Tel. 071 844 06 91) gerne zur Verfügung.;3.5 rooms;90m²;CHF 545,000.–
Obermoosbergstrasse 2a, 9100 Herisau;Einzigartige Maisonettewohnung mit Cheminée;Herzlich willkommen im Obermoosberg in HerisauDie Überbauung befindet sich an zentraler Lage mitten in Herisau. Die Überbauung wurde im Jahr 1992 erstellt und die Fassaden sowie Aussenbereiche wurden im Jahr 2023 renoviert. Durchdachte Grundrisse mit hellen Wohnräumen, grosszügigen Küchen und eigenen Waschtürmen in den Wohnungen sorgen für ein optimales Wohngefühl.Verkaufspreise:- 3½-Zimmer-Wohnungen ab CHF 545'000- 4½-Zimmer-Wohnungen ab CHF 590'000- 5½-Zimmer-Maisonettewohnungen à CHF 840'000- Tiefgaragenplatz à CHF 30'000- Aussenparkplatz à CHF 15'000Sind Sie interessiert?Gerne senden wir Ihnen die detaillierten Verkaufsunterlagen zu.Bei Fragen oder zur Vereinbarung eines persönlichen Besprechungstermins steht Ihnen Frau Janine Lekaj-Karge (Tel. 071 844 06 91) gerne zur Verfügung.;5.5 rooms;154m²;CHF 840,000.–
Obermoosbergstrasse 2a, 9100 Herisau;Eigentumswohnung zum unschlagbaren Preis;Herzlich willkommen im Obermoosberg in HerisauDie Überbauung befindet sich an zentraler Lage mitten in Herisau. Die Überbauung wurde im Jahr 1992 erstellt und die Fassaden sowie Aussenbereiche wurden im Jahr 2023 renoviert. Durchdachte Grundrisse mit hellen Wohnräumen, grosszügigen Küchen und eigenen Waschtürmen in den Wohnungen sorgen für ein optimales Wohngefühl.Verkaufspreise:- 3½-Zimmer-Wohnungen ab CHF 545'000- 4½-Zimmer-Wohnungen ab CHF 590'000- 5½-Zimmer-Maisonettewohnungen à CHF 840'000- Tiefgaragenplatz à CHF 30'000- Aussenparkplatz à CHF 15'000Sind Sie interessiert?Gerne senden wir Ihnen die detaillierten Verkaufsunterlagen zu.Bei Fragen oder zur Vereinbarung eines persönlichen Besprechungstermins steht Ihnen Frau Janine Lekaj-Karge (Tel. 071 844 06 91) gerne zur Verfügung.;4.5 rooms;103m²;CHF 590,000.–
Oberstrasse 3, 9038 Rehetobel;Aussergewöhnliche Liegenschaft mit verschiedenen Nutzungsmöglichkeiten;Aussergewöhnliche Liegenschaft mit verschiedenen Nutzungsmöglichkeiten und TraumpanoramaAn guter Lage in Rehetobel, fussgängig von einer Volg-Filiale und der Bushaltestelle gelegen, steht eine aussergewöhnliche Liegenschaft mit verschiedenen Nutzungsmöglichkeiten zum Verkauf. Von der Strasse her kann man direkt in die Garage fahren, zudem ist vor dem Haus ein Aussenparkplatz vorhanden und inklusive. Von einer Aussentreppe oder über das Treppenhaus, das von der Garage bis ins Dachgeschoss führt, betritt man den Eingangsbereich. Durch diese Besonderheit kann das Gebäude als Einfamilienhaus oder Mehrgenerationenhaus genutzt werden, aber auch als Renditeliegenschaft in zwei oder drei Wohneinheiten aufgeteilt werden.Im Erdgeschoss befindet sich eine 3.5-Zimmerwohnung. Links vom kurzen Flur befindet sich das Badezimmer mit Duschbadewanne. Durch das Fenster fällt viel Tageslicht ein. Auf der gegenüberliegenden Flurseite befindet sich die helle Küche, die sehr funktional ausgestattet ist. Einbauschränke in Küche und Korridor sorgen für praktischen Stauraum. Die Küche bietet Zugang zu einem Zimmer. Am Flurende gelangt man in das grosszügige Wohnzimmer, das einen wunderschönen Blick ins umliegende Grün und das herrliche Panorama eröffnet. Angrenzend befindet sich ein weiteres Zimmer, das sich etwa als zweites Wohnzimmer oder als Schlafzimmer anbietet. Im Obergeschoss befindet sich eine weitere Wohnung mit deckungsgleichem Grundriss. Durch die höhere Lage profitiert man in diesem Stock von einer noch beeindruckenderen Aussicht.Das Dachgeschoss beherbergt eine 1.5-Zimmerwohnung mit Vorraum, grosszügigem Zimmer, sowie einem Bad mit Dusche, jedoch ohne Küche. Die Dachschrägen sorgen für viel Behaglichkeit, gleichzeitig ist sie sehr hell. Praktische Einbauschränke sind den Schrägen angepasst und bieten viel Stauraum. Die Liegenschaft befindet sich in gutem Zustand und überzeugt durch sein gutes Fundament. Es wurden viele Fenster eingelassen, wodurch die Räume sehr hell daherkommen, das viele verbaute Holz schafft dazu eine heimelige Atmosphäre.In der Garage befindet sich der Heizungsraum sowie der Zugang zum Keller. Zudem bietet sich viel Platz für die kreative und handwerkliche Entfaltung ? passend dazu ist eine Werkbank vorhanden. Die Badezimmer und die Küchen sind voll funktionstüchtig. Mit einigen Arbeiten könnten sie zudem modernisiert werden. 2012 wurden die Gasheizung, Fensterfront und die Fassaden auf Ost-, Süd- und Westseite erneuert. 2018 wurden neue Böden und Kühlschränke eingesetzt.Haben wir mit diesem Schmuckstück Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.;;;CHF 820,000.–
