Address;Title;Description;Rooms;Living Space (sqm);Price
Hüslimattstrasse, 4417 Ziefen;Helle 4½-Zimmer-Gartenwohnung an Top Lage;In Ziefen entwickeln wir ein schönes Mehrfamilienhaus mit 6 Wohnungen an ruhiger. Die Wohnungen verfügen über 2½ bis 4½ Zimmer, diese sind sowohl für Familien wie auch für Seniorinnen und Senioren ideal: Sämtliche Wohnungen sind hindernisfrei und mit dem Lift erreichbar.Es besteht die Möglichkeit die eigenen Anforderungen und Wünsche einzubringen. Wir verwenden hochwertige Matrialien und sind im Ausbau im gehoberen Segment. Durch Anpassungen der Materialien können wir die Wohnungen auch günstiger anbieten.;4.5 rooms;109m²;CHF 930,000.–
Hintergasse 8, 4461 Böckten;Sissach - Böckten - Gelterkinden, 4.5 Zimmer Eigentumswohnung WA5;;4.5 rooms;137m²;CHF 870,000.–
Austrasse 2, 4106 Therwil;Exklusive Erdgeschosswohnung für Individualisten;"ObjektbeschreibungDiese hochwertige Erdgeschosswohnung eignet sich für alle Individualisten, welche eine hohe Wertschätzung und Sympathie für anspruchsvolle Architektur besitzen. Der moderne Innenausbau überzeugt durch Geschmack und Stilsicherheit. Abgewinkelte Wände in Kombination mit der Sichtbetondecke vermittelt einem ein offenes und grosszügiges Raumgefühl.Diese hochwertige Eigentumswohnung verfügt über eine Wohnfläche von rund 101 m2 aufgeteilt auf 3.5 Zimmer. Der helle, grosszügige Essbereich wird zur grossen Küche hin offen gestaltet. Durch die Kombination mit dem angrenzenden Wohnbereich bleiben in Sachen Wohnqualität und Wohlfühlfaktor keine Wünsche offen. Weiter besticht die Wohnung durch ein Elternschlafzimmer, ein weiteres Kinderzimmer/Büro und ein Badezimmer. Das separate WC sowie das Reduit mit eigenem Waschturm (WM &amp; TU) runden das Angebot dieser wunderschönen Eigentumswohnung ab.Ergänzt und komplettiert wird das attraktive Raumangebot durch die östlich ausgerichtete Loggia mit rund 14 m2, welche für ein angenehmes und komfortables Wohngefühlt sorgt.Hinweis:Die Fotos beziehen sich auf entsprechende Referenzwohnungen im gleichen MFH. Der Ausbaustandard ist bei allen Objekten identisch.Aufgepasst:Diese stillvolle Eigentumswohnung ist schlüsselfertig und ab sofort bezugsbereit. Vereinzelte Umgebungsarbeiten und Massnahmen an der Aussenfassade sind aktuell noch im Gange.ProjektbeschreibungDieses Neubauprojekt wurde unter Berücksichtigung des Artikels 108 des Raumplanungs- und Baugesetzes (RBG) des Kantons Basel-Landschaft in einer behindertengerechten Bauweise geplant und erstellt. Es umfasst 10 Eigentumswohnungen, 10 Keller sowie eine hauseigene Einstellhalle mit 16 Parkplätzen. Die einzelnen Stockwerke werden durch das interne Treppenhaus sowie die moderne Liftanlage miteinander verbunden.Abgerundet wird dieses exklusive Neubauprojekt durch die in allen Wohnräumen verlegte Bodenheizung inkl. Freecooling Umschaltfunktion (Temperierung im Sommer bis max. -2°) sowie die äusserst effiziente und umweltschonende Energieversorgung mittels Erdsonde, welche den neuesten Standards des heutigen privaten Wohnungsbaus entsprechen.Wichtig:Im Kaufpreis inbegriffen ist ein Kellerabteil. Zudem muss aufgrund der gesetzlichen Vorschriften ein Parkplatz in der Einstellhalle mit erworben werden. Der Kaufpreis für diesen Parkplatz beträgt CHF 40’000.-. Es besteht zudem die Option für den Erwerb eines zweiten Parkplatzes für rund CHF 40’000.-.LagebeschreibungDiese stillvolle Wohnung befindet sich an einer ruhigen, zentrumsnahen und gut erschlossenen Lage in Therwil.Das Mehrfamilienhaus wird in eine Park ähnliche Umgebung eingebettet. Den Bewohner wird aufgrund der naturnahen und sanften Bepflanzung mit einheimischen Bäumen und Sträuchern sowie der sonnigen Ausrichtung hohe Lebensqualität garantiert.";3.5 rooms;101m²;CHF 1,150,000.–
Hardstrasse 34, 4142 Münchenstein;modernes Einfamilienhaus in Münchenstein;;5.5 rooms;;CHF 1,790,000.–
Dürrenmattweg 15, 4123 Allschwil;TRIO CENTRAL,  stadt- und naturnahe Toplage;;4.5 rooms;115m²;CHF 1,390,000.–
Kirchstrasse 11, 4202 Duggingen;Neubau im Zentrum von Duggingen;Wir erstellen im Zentrum von Duggen ein MFH mit 3 Wonungen und in der erweiterung ein 11 Familienhaus mit Tiefgarage.Der Garageplatz ist zusätzlich CHF 40'000.--;4.5 rooms;112m²;CHF 960,500.–
Hintergasse 8, 4461 Böckten;Sissach - Böckten - Gelterkinden, 4.5 Zimmer Eigentumswohnung WA4;;4.5 rooms;138m²;CHF 965,000.–
Schafmattweg 104, 4102 Binningen;Attraktives Wohnen im 2. OG auf 118 m2 Wohnfläche mit 2 Balkonen!;ObjektbeschreibungDie 3 1/2 Zimmerwohnung liegt mittig im 2. Obergeschoss und verteilt sich über rund 118 m2. Konzeptionell aufgeteilt ist das Objekt wie folgt:- 60.26 m2 Wohn- / Essbereich inkl. offene Küche- 18.68 m2 Elternschlafzimer- 14.85 m2 Kinderzimmer / Büro- 6.30 m2 Bad- 6.14 m2 Dusche / WC- 2.37 m2 Gäste-WC- 3.17 m2 Reduit mit integriertem Waschturm- 5.81 Eingangsbereich Komplettiert wird diese exklusive Wohnung einerseits durch einen rund 20 m2 grossen und süd- / südwestlich ausgerichteten Balkon sowie durch den an der nördlichen Fassade geplanten Balkon mit rund 15 m2. ProjektbeschreibungDas im 3. Quartal 2024 fertiggestellte Neubauprojekt wird unter Berücksichtigung des Artikels 108 des Raumplanungs- und Baugesetzes (RBG) des Kantons Basel-Land in einer behindertengerechten Bauweise geplant und erstellt. Es umfasst 11 hochwertige Eigentumswohnungen, 2 voll ausgebaute Bastelräume mit integriertem WC (im UG), 11 Keller sowie eine hauseigene Einstellhalle mit 21 Autoabstellplätzen.Konzeptionell werden die 11 Wohnungen auf einen Baukörper mit fünf Stockwerken aufgeteilt. Das Gebäude verfügt über ein Untergeschoss, ein Erdgeschoss, ein 1. und 2. Obergeschoss sowie ein Attikastockwerk. Die einzelnen Stockwerke werden durch zwei interne Treppenhäuser sowie zwei moderne Liftanlagen miteinander verbunden.Bei der Innenausstattung werden exklusive und hochwertige Materialien verwendet. Die in der Baubeschreibung aufgeführte Materialauswahl dient als Vorschlag und ist gleichzeitig Grundlage für die jeweiligen Budgetpositionen.Im Kaufpreis inbegriffen ist ein Kellerabteil im entsprechenden Gebäude. Zusätzlich zur Wohnung muss aufgrund der gesetzlichen Vorschriften ein Parkplatz in der hauseigenen Einstellhalle entsprechend der subjektiv-dinglichen Verknüpfung mit erworben werden. Der Kaufpreis für diesen Parkplatz beträgt CHF 45’000.-. Es besteht zudem die Option für den Erwerb eines zweiten Parkplatzes für rund CHF 45’000.-.LagebeschreibungIn einem wunderbar erschlossenen und gleichzeitig ruhigen Wohnquartier in der Gemeinde Binningen entstehen an exklusiver Lage auf einer 1’781 m2 umfassenden Parzelle 11 hochwertige Eigentumswohnungen.Das Wohnquartier zeichnet sich u.a. durch eine vornehme, hervorragend erschlossene, ruhige und kinderfreundliche Lage aus.In nur wenigen Gehminuten können Einkaufsmöglichkeiten, Kita, Schulen sowie der öffentliche Verkehr einfach und bequem erreicht werden.;3.5 rooms;118m²;CHF 1,500,000.–
Buchenstrasse 6, 4104 Oberwil BL;Neubau: DOMUN COCHLEA - Wohnen am Vorderberg (Haus B);;4.5 rooms;148m²;CHF 1,635,720.–
Buchenstrasse 6, 4104 Oberwil BL;Neubau: DOMUN COCHLEA - Wohnen am Vorderberg (Haus C);;4.5 rooms;148m²;CHF 1,665,720.–
