Address;Title;Description;Rooms;Living Space (sqm);Price
Sierenzerstrasse 22, 4055 Basel;Sonnige 3½ Zi.-Dachmaisonettewohnung  im Iselin-Quartier;Mitten in Basel im Iselin-Quartier steht diese charmante und gemütliche 3½ Zi.-Dachmaisonettewohnung zum Verkauf. Die helle Wohnung in einer gepflegten Altbauliegenschaft befindet sich im 4. Obergeschoss ohne Lift. Die heimelige Wohnung präsentiert sich in einen guten und gepflegten Zustand und verfügt über alle Annehmlichkeiten. Die gemütlichen Räumlichkeiten mit sichtbaren Dachbalken sorgen für ein einzigartiges Wohngefühl.Der Eingangsbereich der Wohnung befindet sich im 3. Obergeschoss. Über eine schöne Holztreppe gelangt man in das Zwischengeschoss mit Zugang in das Reduit mit eigener Waschmaschine. Auf der ersten Etage der Maisonettewohnung befindet sich der offene und hellen Flur, sowie die geschlossene und funktionelle Küche mit angrenzendem Esszimmer mit direktem Zugang auf den sonnigen Balkon mit schöner Weitsicht über die Stadt und dem Iselin-Quartier. Ein geräumiges Schlafzimmer mit angrenzender Ankleide/Reduit, einem hellen grossräumigen Badezimmer mit Eckbadewanne und separater Dusche, Lavabo und mit genügend Stauflächen. Vom gemütlichen Wohnbereich gelangt man über eine Holz-Treppe in das Dachgeschoss mit offener Galerie der Platz für individuelle Gestaltungsmöglichkeiten bietet und einem weiteren Zimmer mit Dachfenster.Die Wohnung ist mit Fliesen, in den Zimmern mit Teppichboden und Laminat ausgelegt. Zusätzlich steht zu dieser Wohnung ein grosszügiges Kellerabteil zur Verfügung und rundet diese attraktive Angebot ab.Wir wissen Ihre Immobilie zu schätzen.Alle Immobilienangebote finden Sie auf www.team-lindenberger.chVirtuelle Tour: https://my.matterport.com/show/?m=Qj2W1Aaezmn;3.5 rooms;123m²;CHF 1,090,000.–
Neuweilerstrasse 69, 4054 Basel;theCornerShop - urbane Neubauwohnung an bevorzugter Lage!;;2.5 rooms;70m²;CHF 960,000.–
Neuweilerstrasse 69, 4054 Basel;theCornerShop - urbane Neubauwohnung an bevorzugter Lage!;;2.5 rooms;67m²;CHF 830,000.–
Unterm Schellenberg 155, 4125 Riehen;Schellenberg, Riehen;;5.5 rooms;;CHF 1,870,000.–
4000 Basel;Zweitwohnsitz im Naturparadies - Greater Andermatt Area;;4.5 rooms;125m²;CHF 975,000.–
4058 Basel;Schellenberg, Riehen BS;;4.5 rooms;;CHF 1,540,000.–
4058 Basel;Schellenberg, Riehen BS;;3.5 rooms;;CHF 1,240,000.–
Neuweilerstrasse 69, 4054 Basel;theCornerShop - Neubauwohnung im Erdgeschoss!;;2.5 rooms;63m²;CHF 775,000.–
Unterm Schellenberg 157, 4125 Riehen;Schellenberg, Riehen;;4.5 rooms;;CHF 1,540,000.–
4058 Basel;Schellenberg, Riehen BS;;5.5 rooms;;CHF 1,870,000.–
