Address;Title;Description;Rooms;Living Space (sqm);Price
Stationsstrasse 11C, 3628 Uttigen;Neubau Mehrfamilienhaus Stationsstrasse 11c, 3628 Uttigen;;4.5 rooms;;CHF 880,000.–
Freiburgstrasse 915, 3174 Köniz;Attraktive Neubau-Wohnung in Thörishaus;"Am Rande der lebendigen Gemeinde Köniz, unweit des pulsierenden Zentrums von Bern, entfaltet sich das Wohnprojekt ""Thörishaus"". Mit dem Erstbezug im 1. Quartal 2025, verspricht diese exklusive Entwicklung ein harmonisches Wohnambiente, welches anspruchsvolles Design mit persönlichem Wohlbefinden verbindet.Jede der sorgfältig gestalteten 1.5- bis 4.5-Zimmer-Wohnungen in ""Thörishaus"" öffnet die Tür zu einem Leben, in dem Stil und Funktionalität keine Kompromisse kennen. Bewohner geniessen die Freiheit, ihren Wohnraum nach eigenen Vorstellungen zu personalisieren.""Thörishaus"" hebt sich durch seine durchdachte Architektur hervor, die nicht nur für Ästhetik steht, sondern auch für eine lebenswerte Umgebung sorgt. Von den geschickt nach hinten ausgerichteten Balkonen, die eine ruhige Zuflucht bieten, bis hin zu den lichtdurchfluteten Wohnbereichen, die Sie jeden Tag mit Freude erfüllen – hier findet jeder seinen sonnigen Platz.Highlights • 1.5- bis 4.5-Zimmer-Wohnungen mit Lift für barrierefreien Zugang • Kinderfreundliches Wohnen mit Spielplatz • Gehobener Ausbaustandard mit Mitgestaltungsmöglichkeiten • Küchen mit gehobener Ausstattung und offenen Koch- und Essbereichen • Sonnendurchflutete Räume für ein helles Wohnambiente • Private Außenbereiche: Garten, Terrasse oder Balkon • Fortschrittliche Lärmdämmung für ruhiges Wohnen • Einstellhallenplätze sind frei wählbar à CHF 35‘000.-/Stk. Wir laden Sie ein, Teil dieser schönen Wohnkultur zu werden und die zahlreichen Vorzüge vom Projekt ""Thörishaus"" selbst zu entdecken. Ein Zuhause, das nicht nur durch seine zentrale Lage besticht, sondern durch ein Wohnkonzept, das Ihnen Freiraum gibt, sich zu entfalten und jeden Moment zu geniessen.Mit freundlichen GrüssenRiesen + Partner Property AG";1.5 rooms;38m²;CHF 325,000.–
2500 Biel/Bienne;Péry - Parc Soleil - Villa S1;;4.5 rooms;144m²;CHF 892,500.–
2500 Biel/Bienne;Péry - Parc Soleil - Villa N4;;4.5 rooms;125m²;CHF 870,500.–
Flühlistrasse 19a, 3612 Steffisburg;NEUBAU, 4½ Zimmer-Wohnung, OG;;4.5 rooms;135m²;CHF 990,000.–
Terrassenstrasse 41, 2553 Safnern;3.5-Zimmer-Terrassenhaus mit Aussicht auf Alpen und Aarelandschaft;"MikrolageNATUR- UND STADTNAH:- kurze Entfernung zur Stadt Biel und gut mit Auto, Velo oder Bus erreichbar- direkter Zugang zu Freizeitaktivitäten und NaherholungDie neuen Terrassenhäuser liegen in einem ruhigen Wohnquartier an privilegierter Hanglage. Diese erhöhte Lage ermöglicht eine gute Besonnung und einen schönen Weitblick auf die Alpen und die Natur.Der ""Volg"" und die Bushaltestelle sind in wenigen Gehminuten erreichbar. Mit dem Auto sind Biel und Solothurn mit ihren Verbindungsstrassen in wenigen Fahrminuten erreichbar.Das Schulhaus Räbli mit der Primar- und Tagesschule ist sehr nah und für Kinder durch Quartierstrassen und ohne Überquerung grosser Hauptstrassen zu erreichen.In unmittelbarer Nähe befinden sich die Wälder Riedrain und Burgerwald mit Naturschutzgebiet und Spielplatz. Auch auf dem Terrain der Terrassenhäuser befindet sich ein eigener Spielplatz. Zudem sind die Aare und das Häftli nicht weit entfernt. KaufobjektNATURVERBUNDENES WOHNEN FÜR QUALITÄTSBEWUSSTE:- hoher Nutzungs- und Wohlfühl-Faktor- grosse Detailtreue und Nachhaltigkeit im Einklang mit der NaturPer 01. November 2024 erstellen wir für Sie an exklusiver Hanglage 4 Liegenschaften mit je 4 hellen, sonnigen und barrierefreien Terrassenhäusern. Die modernen 3.5-, 4.5-, und 5.5-Zimmer-Häuser bieten einen hohen Ausbaustandard und durch die erhöhte Lage eine tolle Aussicht auf die Alpen und die Aarelandschaft.Die eingeschossigen Einheiten liegen alle -inklusive Keller, Waschküche und Vorraum- auf einer Ebene, was für viel Wohnqualität spricht. Jedes Haus bietet eine grosse, ungedeckte Sonnenterrasse mit traumhafter Aussicht. Die meisten Häuser haben zudem noch eine gedeckte Terrasse zum verweilen, auch bei schlechtem Wetter.Zu den Liegenschaften gehört ein gemeinsamer Spielplatz, zwei Einstellhallen, aufgeteilt auf zwei Ebenen sowie Besucherparkplätze, ein Velo- und Kehrrichtraum. Die Terrassenhäuser werden somit eindeutig verschiedenen Zielgruppen gerecht. Im Vordergrund stehen bei den barrierefreien Häusern das Wohlfühlambiente und der direkte Bezug zur Natur.Weitere Informationen können Sie der übersichtlichen, attraktiven Homepage entnehmen:www.zileten.chErgreifen Sie auch die Gelegenheit für ein persönliches Gespräch mit uns. Wir erwarten gerne Ihren Anruf.";3.5 rooms;111m²;CHF 840,000.–
Schulstrasse 4, 3414 Oberburg;NEUBAU: Nachhaltiger Lebensraum, 3.5 Zimmer im 1. Obergeschoss (Whg. 4);"Modern &amp; Nachhaltig: Lebensraum Oberburg Wohnen mit einem konsequenten Energiekonzept für moderne Menschen. Durchdacht für alle Lebensphasen! Ob Singles, Paare, Familien und ältere Menschen ? das Zuhause für die Zukunft. Entdecken Sie das spannende Neubauprojekt in Oberburg. 16 aussergewöhnliche und einzigartige Holzbau-Wohnungen mit einem konsequenten Energiekonzept, das keine Wünsche offenlässt. Hier verschmelzen Nachhaltigkeit und Ästhetik zu einem harmonischen Gesamtbild. Jede Wohnung zeugt von liebevollen Details und einer Auswahl an erstklassigen Materialien. Zusätzlich produziert Ihr künftiges Zuhause eigenständig Strom und Wärme ? Ihr Zuhause der Zukunft. Einzigartige Vorteile auf einen Blick: • Bezugsbereit 2024/2025* • Individueller Innenausbau nach Ihrem Geschmack • Moderne und helle Grundrissgestaltung • Holzbauweise und langlebige Materialien für höchsten Wohnkomfort • Minergie A-Standard, Eigenproduktion von Strom und Wärme • Grosser gemeinschaftlicher Garten mit schönen Begegnungszonen • E-Carsharing, Intelligente Mobilität durch gemeinsam genutztes Elektro-Fahrzeug • Ladestation für E-Bikes und E-Auto mit eigen produziertem Strom für alle • Zentrale und doch ruhige Lage im Ort, innerhalb einer Quartierstrasse • ZEV-Anlage mit Gebäudeautomation und individueller Steuerung je Wohnung • Jede Wohnung verfügt über einen geräumigen separaten Keller • Rollstuhlgängig mit Lift auf jede Etage (Stufen- bzw. Schwellenlos) • Metorwasser-Sammlung im Garten und zahlreiche weitere durchdachte Details • Endlich modernes Wohnen mit echter Nachhaltigkeit und zukunftsgerecht Das Mehrfamilienhaus fördert das Gemeinschaftsgefühl, während es jedem Einzelnen ausreichend Raum und persönliche Rückzugsorte bietet. Dieses Gemeinschaftsgefühl wird im gemeinsamen Garten, einer Oase der Erholung auf grüner Wiese, sowie durch das geteilte Elektrofahrzeug, welches moderne Mobilität für alle ermöglicht, weiter vertieft. Gerne präsentieren wir Ihnen weitere Details und Planunterlagen in einer persönlichen Besprechung. Zögern Sie nicht und noch heute zu kontaktieren. Jetzt können Sie sich noch die für Sie attraktivste Wohnung sichern ? nutzen Sie diese Chance. Dieses Objekt können Sie per Videoanruf besichtigen.";3.5 rooms;98m²;CHF 650,000.–
3645 Gwatt (Thun);Architekturperle direkt am Thunersee;"Die LageDie Gemeinde Thun liegt am unteren Ende des Thunersees und ist dank der atemberaubenden Landschaft rundherum und der Sicht auf schneebedeckte Berggipfel eine der begehrtesten Wohngemeinden im Berner Oberland überhaupt.Dank der Nähe zur Hauptstadt Bern sind eine weitere urbane Infrastruktur und grosse Teile der Bundesverwaltung sowie die Hauptsitze von öffentlichen Betrieben wie der SBB, Swisscom usw. schnell erreichbar.Auch die Wintersportorte Gstaad und Adelboden sind nicht weit von Thun entfernt.Die Liegenschaft ist direkt am See, inmitten vom trendigen Quartier „Dürrenast“, unweit vom Schloss Schadau, dem Yachthafen und vielen weiteren Treffpunkten von Jung und Alt gelegen. Die traumhafte Aussicht und die ideal besonnte Lage über den Thunersee begeistern ebenso wie der direkte Zugang zum See und der Start vom Strandweg unmittelbar nebenanDas WichtigsteDie 4.5-Zimmer Neubau-Terrassenwohnung im 1. OG verfügt über eine Wohnfläche von ca. 164 m². Das Raumangebot umfasst einen kombinierten Wohn- und Essbereich mit unverbaubarer Seesicht und direktem Zugang zur grossen Terrasse von ca. 58 m². Ebenfalls dazu gehört ein Badeplatz, ein Bootshaus und ein Garten hinter dem Haus mit Grillplatz inklusive Feuerring im Miteigentum.Für die Parkierung von Fahrzeugen stehen in der Tiefgarage bis zu zwei Parkplätze zur Verfügung.Der Innenausbau kann von der Käuferschaft noch weitgehend selbst bestimmt werden (Küche, Bäder, Böden, Maler- und Schreinerarbeiten – inklusive Raumeinteilung/Platzierungen).Das Haus bietet modernste Technologie mit Haussteuerung, eine PV Anlage, eine Wärmepumpen-Heizung und verfügt über einen Lift.Das FinanzielleGerne informieren wir solvente Interessenten über die finanziellen Belange im persönlichen Gespräch.Das BesondereDiese Neubau-Terrassenwohnung an attraktiver Lage direkt am See überzeugt mit unverbaubarer See- &amp; Bergsicht, moderner Architektur und Miteigentum an einem kleinem Bootshaus, Badeplatz und Garten.";4.5 rooms;164m²;Price on request
Mättenbergstrasse 32, 3367 Thörigen;Idyllisch Leben im Neubau;Hier entsteht neuer WohnraumAn idyllisch gelegener Lage mit viel Grünflächen und dem schönen Stouffenbach vor dem Garten, erstellen wir ein einzigartiges Einfamilienhaus für Sie.Auf zwei Etagen und 4.5-Zimmern erwartet Sie beste Bauqualität mit hochwertigem und modernem Ausbaustandard.Projekt:Baubeginn der Liegenschaft ist Frühjahr 2024. Die Fertigstellung und der Einzug sind auf Herbst 2025 geplant.Entsprechend handelt es sich bei den Bildern um Visualisierungen, welche Anhand der geplanten Materialisierung erstellt wurden.Verkaufsdokumentation:Gerne stellen wir Ihnen auf Anfrage eine detaillierte Verkaufsdokumentation zu.Wir freuen uns auf Ihre Kontaktaufnahme und stehen bei Fragen sehr gerne zur Verfügung.Adlatus AG;4.5 rooms;140m²;CHF 1,178,000.–
2500 Biel/Bienne;Péry - Parc Soleil - Villa N3;;5.5 rooms;130m²;CHF 885,500.–
