Address;Title;Description;Rooms;Living Space (sqm);Price
1468 Cheyres;4.5 pièces neuf avec grande terrasse au 2ème étage;NOUVELLE PROMOTION A CHEYRES!Cet appartement de 4.5 pièces situé au 2ème étage de l'immeuble B. Il offre une surface habitable d'environ 93 m2 et est conçu pour offrir un espace de vie confortable et fonctionnel.L'appartement dispose d'une terrasse de plus de 20 m2, offrant un espace extérieur privé où vous pourrez profiter de l'air frais et des vues sur les environs.Il se compose comme suit:Un hall d'entrée avec armoires murales. Sur la gauche, la partie jour avec un spacieux séjour / salle à manger avec accès à la terrasse qui offre un espace convivial pour se détendre, recevoir des invités et partager des repas en famille. Les grandes fenêtres inondent la pièce de lumière naturelle, créant une atmosphère chaleureuse et agréable.Sur la droite, la partie nuit qui comprend 3 chambres à coucher et une grande salle de bains avec WC et arrivée d'eau pour la colonne de lavage.,L'immeuble propose également d'autres commodités pour les résidents, telles qu'un parking souterrain sécurisé partagé avec l'immeuble A, des espaces verts communs, une buanderie commune, des caves privées et un local technique.Une place de parc intérieure (30'000 CHF) ainsi qu'une cave complètent ce bien.Cheyres est un charmant village situé dans le canton de Fribourg, en Suisse. Il est situé dans la région de la Broye.Le village est connu pour sa situation idyllique au bord du lac de Neuchâtel, le plus grand lac entièrement suisse. Les rives du lac offrent de magnifiques paysages, avec des plages de sable, des prairies verdoyantes et une vue imprenable sur les montagnes environnantes.Le centre du village est caractérisé par ses maisons traditionnelles en pierre, ses ruelles pittoresques et son atmosphère paisible. On peut y trouver une petite église historique et quelques bâtiments anciens qui témoignent de l'histoire de la région.Cheyres est également réputée pour sa réserve naturelle, la Réserve naturelle de la Grande Cariçaie, qui se trouve à proximité. Cette réserve est l'une des plus grandes zones humides de Suisse et abrite une grande diversité d'espèces végétales et animales. Les amateurs de nature apprécieront les sentiers de randonnée et les observatoires qui permettent d'admirer la faune et la flore de la région.En plus de sa beauté naturelle, Cheyres propose diverses activités nautiques sur le lac de Neuchâtel, telles que la navigation, la pêche et les sports nautiques. Le village accueille également des événements culturels et festifs tout au long de l'année, tels que des festivals de musique, des expositions d'art et des marchés artisanaux.En résumé, Cheyres est un village paisible et pittoresque, offrant une parfaite combinaison entre nature préservée, patrimoine historique et activités de loisirs en plein air.Le village dispose de quelques commerces de proximité tels que des épiceries, des boulangerie, des petits magasins où vous pouvez acheter des produits de première nécessité ainsi que des restaurants et cafés.Le village se trouve à 17 minutes en voiture d'Yverdon-les-Bains et de Payerne. L'entrée de l'autoroute A1 en direction de Lausanne/Genève et Berne se situe à 10 minutes en voiture de l'immeuble.L'entier du cycle enfantine et primaire (soit 2 ans d'école enfantine et 6 ans d'école primaire) se déroule dans les villages de Cheyres et Châbles. Les trajets s'effectuent en bus TPF.Le Cycle d'orientation (CO) se trouve à Estavayer-le-Lac, la ligne CFF S30 qui relient Cheyres et Estavayer-le-Lac sera le moyen de transport utilisé.Prix de l'appartement : 740'000 CHFPrix de la place de parc : 30'000 CHFPrix de vente : 770'000 CHFFrais de notaire réduits car uniquement sur la quote-part terrain !Livraison prévue printemps 2025VISITE SUR DEMANDE : ALEXANDRA JEREZ 079 945 43 90 TANIA LEITE 076 577 34 32;4.5 rooms;93m²;CHF 740,000.–
Hauptstrasse 28, 1715 Alterswil FR;wunderschöne Erdgeschosswohnung | Preise gesenkt;Eine ruhige Wohnung im Grünen mit gutem AnschlussDie Überbauung besteht aus 14 Eigentumswohnungen, welche zwischen 3.5 bis 5.5 Zimmer gross sind. Jede Wohnung besitzt zudem eine Terrasse, welche einen wunderschönen Ausblick auf die Freiburger Alpen und die naheliegenden Wälder bietet. Die Wohnungen sind modern und werden mit hochwertigen Materialien ausgestattet. Das Wohnzimmer und die Küche bilden zusammen eine gemütliche Einheit, welche durch die grosse Fensterfront natürlich belichtet wird.Im Untergeschoss stehen private Parkplätze sowie ein Veloraum zur Verfügung. Weitere Parkfelder und Fahrradabstellplätze sind vor dem Haus verfügbar. In lediglich 5 Minuten zu Fuss, entlang eines Panoramaweges, erreichen Sie das Zentrum von Alterswil mit Einkaufsmoglichkeiten, Gastronomie und vielem mehr.Verkauf von Einstellhallenplätze zu je 33'000.- Fr. _Das Projekt wird Ende 2023 in die Realisierung gehen. Daher haben sie noch die Möglichkeit, die Innenausstattung frei auszuwählen und Ihre zukünftige Küche sowie das Bad frei mitzugestalten.Damit man sich die Wohnung im Voraus vorstellen kann, wurde das gesamte Gebäude modeliert und Sie können Ihre Wohnung mit unserer 3D Brille virtuell begehen und materialisieren.;3.5 rooms;89m²;CHF 585,000.–
Impasse de Champ Riond 5, 1753 Matran;Matran Impasse de Champ Riond;"Appartements témoins &amp; visites personnalisées !Située aux portes de Fribourg, la promotion ""Impasse de Champ Riond"" vous propose des logements neufs de 2.5, 3.5, 4.5 et 5.5 pièces. Tous les appartements sont disposés de manière à profiter pleinement de généreux volumes et d'une belle luminosité. En effet, son orientation garantit un dégagement et un ensoleillement exceptionnel.Le projet, qui se veut familial, est idéalement installé à Matran. Toutes les commodités sont accessibles aisément. L'éco-quartier, traversé par une allée de tilleuls et de platanes, offre un cadre de vie supérieur, en totale adéquation avec une nouvelle philosophie d'habitat, plus en accord avec les considérations et prises de conscience de notre époque.Découvrez votre futur lieu de vie en prenant contact avec notre équipe pour une présentation complète du projet et profiter ainsi de conseils personnalisés par nos courtiers.Vous trouverez de plus amples informations concernant cette nouvelle construction sur www.champ-riond.ch.Adresse: Chemin des Râpes, 1753 Matran";4.5 rooms;104m²;CHF 860,000.–
Route de la Petite-Fin 29, 1636 Broc;Villas mitoyennes neuves;;5.5 rooms;128m²;CHF 1,060,000.–
Route de Pré-Pury 60, 1749 Torny;"2ème étape ""Les Résidences de Middes"" ? Charmant 3.5 pièces au 2ème étage";Calme et sérénité à proximité de PayerneLa nouvelle résidence « Village » est située dans un cadre bucolique, au coeur de la charmante commune de Torny, qui se trouve à mi-chemin entre Yverdon-les-Bains et Fribourg.Bénéficiant d'un environnement calme et paisible, tout en permettant d'accéder en 10 minutes en voiture à la ville de Payerne, ses commerces, restaurants, écoles et infrastructures, cette promotion est un lieu de vie idéal.Cette nouvelle réalisation est composée de 13 appartements lumineux, offrant de grands volumes ainsi que de beaux espaces extérieurs.Une place de stationnement intérieure est disponible en sus du prix de vente.La liste des appartements disponibles peut être consultée sur www.lesresidencesdemiddes.ch.N'hésitez pas à nous contacter pour de plus amples informations ou pour une visite au 026 347 47 60, nous serons ravis de vous renseigner.***Le lot 02.03 au 2ème de 3.5 pièces est disposé comme suit :- Un hall d'entrée avec armoires murales- Un séjour / cuisine- 2 chambres à coucher, dont 1 chambre parentale et salle de bain attenante- Une salle de douche / toilettes avec un espace pour colonne de lavage- Un balcon;3.5 rooms;110m²;CHF 560,000.–
1785 Cressier FR;A 5 minutes du lac de Morat CRESSIER Résidence Erbina;"La nouvelle promotion ""Résidence Erbina"" jouit d'un emplacement idéal dans la commune de Cressier (FR), à proximité des commodités tout en restant au coeur de la nature.Le projet propose 2 appartements de 3.5 pièces ainsi que de 4 maisons contiguës de 5.5 pièces. Les surfaces habitables varient entre 89 m2 à 157 m2. Une généreuse terrasse complète chaque bien. Le projet est synonyme de parfaite harmonie entre nature et modernité. Tout a été imaginé avec goût, conçu avec des matériaux de qualité et réalisé afin de bénéficier d'un cadre de vie exceptionnel.Des places de parc souterraines sont disponibles en sus du prix de vente.De plus amples informations sont disponibles sur www.erbina-cressier.ch";5.5 rooms;157m²;CHF 1,120,000.–
Route de Nierlet 8, 1740 Neyruz FR;Spacieux appartement de 4.5 pièces au rez-de-chaussée;;4.5 rooms;128m²;CHF 920,000.–
Hauptstrasse 28, 1715 Alterswil FR;Attlikawohnung mit Weitsicht | Preise gesenkt;Eine ruhige Wohnung im Grünen mit gutem AnschlussDie Überbauung besteht aus 14 Eigentumswohnungen, welche zwischen 3.5 bis 5.5 Zimmer gross sind. Jede Wohnung besitzt zudem eine Terrasse, welche einen wunderschönen Ausblick auf die Freiburger Alpen und die naheliegenden Wälder bietet. Die Wohnungen sind modern und werden mit hochwertigen Materialien ausgestattet. Das Wohnzimmer und die Küche bilden zusammen eine gemütliche Einheit, welche durch die grosse Fensterfront natürlich belichtet wird.Im Untergeschoss stehen private Parkplätze sowie ein Veloraum zur Verfügung. Weitere Parkfelder und Fahrradabstellplätze sind vor dem Haus verfügbar. In lediglich 5 Minuten zu Fuss, entlang eines Panoramaweges, erreichen Sie das Zentrum von Alterswil mit Einkaufsmoglichkeiten, Gastronomie und vielem mehr.Verkauf von Einstellhallenplätze zu je 33'000.- Fr. _Das Projekt wird Ende 2023 in die Realisierung gehen. Daher haben sie noch die Möglichkeit, die Innenausstattung frei auszuwählen und Ihre zukünftige Küche sowie das Bad frei mitzugestalten.Damit man sich die Wohnung im Voraus vorstellen kann, wurde das gesamte Gebäude modeliert und Sie können Ihre Wohnung mit unserer 3D Brille virtuell begehen und materialisieren.;3.5 rooms;84m²;CHF 750,000.–
1687 Vuisternens-devant-Romont;Superbe appartement de 3,5 pièces, à l'état neuf avec grande mezzanine, spacieuse terrasse de 23 m2, vue dégagée, grande cave et 2 places de parc;"Très rare à la vente !A visiter sans tarder !A 5 km de RomontSituation centre-village à proximité des commodités et vue dégagée sur la campagne environnante, en bordure de zone agricole.La PPE est sise au centre du village de La Joux ; les propriétaires actuels ont acquis le bâtiment en 2013 et l'ont entièrement rénové de 2013 à 2015 (isolation des façades, rénovation complète du rez-de-chaussée et de l'appartement au 1er étage, ajout d'un étage en ossature bois et création d'un appartement supplémentaire, toiture neuve, chaudière neuve, électricité neuve) ; il est composé de 3 appartements et ne dispose pas d'ascenseur.Tous les lots ont été aménagés avec des matériaux, équipements et finitions très haut de gamme.Le chauffage au sol et par radiateurs ainsi que la production d'eau chaude sanitaire sont assurés par une chaudière à mazout.L'immeuble dispose de caves et de 6 places de parc extérieures ; de nombreuses places de parc publiques sont également disponibles à proximité immédiate.L'appartement de 3,5 pièces et sis au 2ème étage ; il est traversant Est-Sud-Ouest et jouit d'une abondante luminosité ; il offre une confortable surface habitable de 85 m2 et mezzanine d'environ 20 m2 complétée d'une superbe terrasse de 23 m2 exposée Sud-Ouest.La vue depuis la terrasse Ouest est dégagée sur la campagne sans aucun vis-à-vis.Une grande cave et 2 places de parc extérieures complètent ce superbe bienDistribution détaillée :- Local vestiaire-bureau avec accès à la spacieuse mezzanine- Couloir de distribution- Spacieux séjour-salle à manger accès à la grande terrasse- Cuisine ouverte parfaitement équipée- Spacieuse terrasse exposée Sud-Ouest de 23 m2 avec store-banne- 2 belles chambres- Salle d'eau avec baignoire, vasque, WC, fenêtre- Local-réduit avec lave-linge et sèche-lingeAnnexes :- 2 places de parc extérieuresDivers :- Fenêtres en PVC, double-vitrages, stores en partie électriques- Moustiquaires- Spots dans toutes les piècesDisponibilité : 1er octobre 2023Prix de vente : CHF 535'000.-2 places de parc extérieures : CHF 20'000.-Prix de vente total : CHF 555'000.-Contactez-nous par Email pour recevoir le dossier de vente et organiser rapidement une visite des lieux !Contact et informations :Patrick Darboispatrick@pdarboisimmobilier.ch079/ 688 91 42https://www.pdarboisimmobilier.chVous souhaitez mettre en vente votre bien immobilier ?Contactez-nous sans engagement et nous viendrons vous rencontrer pour estimer gratuitement votre objet !";3.5 rooms;85m²;CHF 535,000.–
1785 Cressier FR;A 5 minutes du lac de Morat CRESSIER Résidence Erbina;"La nouvelle promotion ""Résidence Erbina"" jouit d'un emplacement idéal dans la commune de Cressier (FR), à proximité des commodités tout en restant au coeur de la nature.Le projet propose 2 appartements de 3.5 pièces ainsi que de 4 maisons contiguës de 5.5 pièces. Les surfaces habitables varient entre 89 m2 à 157 m2. Une généreuse terrasse complète chaque bien. Le projet est synonyme de parfaite harmonie entre nature et modernité. Tout a été imaginé avec goût, conçu avec des matériaux de qualité et réalisé afin de bénéficier d'un cadre de vie exceptionnel.Des places de parc souterraines sont disponibles en sus du prix de vente.De plus amples informations sont disponibles sur www.erbina-cressier.ch";3.5 rooms;89m²;CHF 690,000.–
