Address;Title;Description;Rooms;Living Space (sqm);Price
Route de Courtételle 1, 2843 Châtillon;Appartement avec magnifique pièce à vivre et grand jardin;;3.5 rooms;89m²;CHF 560,000.–
2853 Courfaivre;Lot F - Les Terrasses de Courfaivre;Les Terrasses de Courfaivre, situées dans la charmante commune de la Haute-Sorne, est un projet comprenant un immeuble sur 3 étages habitables.A la fois à la croisée de toutes les commodités en exempts de nuisances urbaines, ces logements de standing sont composés de 4 lots de 4,5 pièces ainsi que de deux attiques de 3,5 pièces. L'immeuble dispose également de 10 places de parc souterraines ainsi que 2 places extérieures.Design épuré, matériaux de haute qualité et dégagement optimal sur les alentours, tous les éléments ont été pensés en vue d'assurer esthétisme, fonctionnalité et modernité à ce projet.Toutes les informations répertoriées dans cette brochure, les surfaces et les plans, sont utilisées à des fins publicitaires. Elles sont communiquées à titre indicatif et n'ont aucune valeur contractuelle pouvant engager Barnes Suisse SA ou l'un de ses partenaires.;3.5 rooms;103m²;CHF 478,000.–
Primevères, 2854 Bassecourt;2 Magnifiques appartements de 4,5 pces de haut standing (105 m²);;4.5 rooms;105m²;Price on request
2853 Courfaivre;Lot D - Les Terrasses de Courfaivre;Les Terrasses de Courfaivre, situées dans la charmante commune de la Haute-Sorne, est un projet comprenant un immeuble sur 3 étages habitables.A la fois à la croisée de toutes les commodités en exempts de nuisances urbaines, ces logements de standing sont composés de 4 lots de 4,5 pièces ainsi que de deux attiques de 3,5 pièces. L'immeuble dispose également de 10 places de parc souterraines ainsi que 2 places extérieures.Design épuré, matériaux de haute qualité et dégagement optimal sur les alentours, tous les éléments ont été pensés en vue d'assurer esthétisme, fonctionnalité et modernité à ce projet.Toutes les informations répertoriées dans cette brochure, les surfaces et les plans, sont utilisées à des fins publicitaires. Elles sont communiquées à titre indicatif et n'ont aucune valeur contractuelle pouvant engager Barnes Suisse SA ou l'un de ses partenaires.;4.5 rooms;118m²;CHF 517,000.–
2853 Courfaivre;Lot B - Les Terrasses de Courfaivre;Les Terrasses de Courfaivre, situées dans la charmante commune de la Haute-Sorne, est un projet comprenant un immeuble sur 3 étages habitables.A la fois à la croisée de toutes les commodités en exempts de nuisances urbaines, ces logements de standing sont composés de 4 lots de 4,5 pièces ainsi que de deux attiques de 3,5 pièces. L'immeuble dispose également de 10 places de parc souterraines ainsi que 2 places extérieures.Design épuré, matériaux de haute qualité et dégagement optimal sur les alentours, tous les éléments ont été pensés en vue d'assurer esthétisme, fonctionnalité et modernité à ce projet.Toutes les informations répertoriées dans cette brochure, les surfaces et les plans, sont utilisées à des fins publicitaires. Elles sont communiquées à titre indicatif et n'ont aucune valeur contractuelle pouvant engager Barnes Suisse SA ou l'un de ses partenaires.;4.5 rooms;118m²;CHF 527,000.–
2916 Fahy;Devenez propriétaire dès CHF  780.-- /mois*;;;;Price on request
2350 Saignelégier;Promotion Franquemont Saignelégier;DESCRIPTION DES APPARTEMENTSCet immeuble en PPE propose 11 appartements modernes avec ascenseur. Son architecture contemporaine et élégante garantit des intérieurs spacieux de grande qualité. Chaque logement dispose d'un balcon offrant une vue dégagée et panoramique. Le sous-sol est aménagé avec des caves, un local à vélos et un parking intérieur. Idéalement situé dans un quartier calme et recherché, cet immeuble offre un accès proche et facile à toutes les commodités. A seulement 2 minutes à pied de la gare, il séduit également par ses charges de copropriété basses.Appartement ouest 4,5 pièces de 133 m2 Frs 743'000.-1 hall d'entrée de 10.30 m2, 1 WC avec douche et buanderie comprenant une colonne de machines à laver et à sécher de 5.30 m2, 1 séjour ouvert sur la cuisine de 52.30 m2 avec 2 terrasses de 14.00 m2 et 5.00 m2, 1 cellier de 4.70 m2, 1 distribution de 8.90 m2, 3 chambres de15.30 m2, 13.60 m2 et 14.40 m2, 1 salle de bain avec douche, baignoire et WC de 9.20 m2. Appartement est 4.5 pièces de 133 m2 Frs 743'000.-1 hall d'entrée de 7.90 m2, 1 WC avec douche et buanderie comprenant une colonne de machines à laver et à sécher de 6.70 m2, 1 séjour ouvert sur la cuisine de 52.30 m2, 2 terrasses de 12.80 m2 et 5.00 m2, 1 cellier de 4.60 m2, 1 distribution de 9.10 m2, 3 chambres de 14.40 m2, 13.60 m2 et 15.30 m2, 1 salle de bain avec douche, baignoire et WC de 8.20 m2.Appartement centre 3,5 pièces de 93 m2 Frs 488'000.-1 hall d'entrée de 4.10 m2, 1 WC avec buanderie comprenant une colonne de machines à laver et à sécher de 4.70 m2, 1 séjour ouvert sur salle à manger de 34.00 m2, 1 terrasse de 16.00 m2, 1 cellier de 5.30 m2, 1 distribution de 3.30 m2, 2 chambres de 13.50 m2 et 19.70 m2, 1 salle de bain avec douche, baignoire et WC de 8.20 m2.Attique Ouest de 4,5 pces m2 de 144 m2 prix sur demande1 hall d'entrée-distribution de 18.70 m2, 1 WC avec buanderie de 4.20 m2 comprenant une colonne de machines à laver et à sécher, 1 séjour ouvert sur la cuisine de 58.50 m2, 1 cellier de 3.00 m2, 1 chambre de 14.40 m2 avec dressing de 6.30 m2 et WC avec douche de 6.00 m2, 2 chambres de 12.70 m2 chacune, 1 salle de bain avec douche, baignoire et WC de 6.70 m2, 2 terrasses de 51.50 m2 et 14.00 m2.Attique Est 3,5 pièces de 122 m2 prix sur demande1 hall d'entrée-distribution de 15.70 m2, 1 salle de bain avec baignoire, WC et buanderie de 7.20 m2 comprenant une colonne de machines à laver et à sécher, 1 séjour ouvert sur la cuisine de 58,90 m2, 1 grande terrasse de 45.90 m2, 1 cellier de 3.80 m2, 2 chambres de 14.60 et 15.20 m2, 1 salle de bain avec douche et WC de 5.60 m2. Place de parc dans parking souterrain Frs 35'000.- Place de parc extérieur couverte Frs 15'000.- SOUS-SOL11 caves d'environ 8 m2 chacune, 1 local en commun pour vélos et poussettes, ainsi qu'un parking souterrain pré-équipé pour les bornes de recharge électrique.AMÉNAGEMENT EXTÉRIEURPlaces de parc à disposition devant l'immeuble. Zone de grillades commune et jardins arborisés avec espaces verts et zone de détente pour les enfants.;3.5 rooms;93m²;CHF 488,000.–
Rue du Breuil, 2952 Cornol;Magnifiques villas de 5.5 pièces avec beau terrain plat et vue dégagée;Nous vendons, clé en main, à l'entrée du village de Cornol dans le joli quartier calme du Breuil, une villa spacieuse moderne et lumineuse conçue avec des matériaux de qualités.Points forts: • Domotique • Construction en double mur • Puissance photovoltaïque supérieur à la norme • Garage isolé • Nombreuses places de parc • Entrée couverte • Proche de la nature • Vue dégagée sur un vergé non constructible de 1784 m2De la cuisine, à la salle de bains, en passant par les sols, agencez cette villa selon vos gouts !Une cédule hypothécaire de 700'000 CHF est offerte au premier client.Possibilité de financement avantageux auprès de nos partenaire.C'est avec plaisir que nous vous renseignons sur ce beau projet, contactez nous !;5.5 rooms;140m²;CHF 798,000.–
Rue Denise Péronne 2, 2800 Delémont;Magnifique appartement de 2,5 pièces;;2.5 rooms;53m²;CHF 274,000.–
2853 Courfaivre;Lot E - Les Terrasses de Courfaivre;Les Terrasses de Courfaivre, situées dans la charmante commune de la Haute-Sorne, est un projet comprenant un immeuble sur 3 étages habitables.A la fois à la croisée de toutes les commodités en exempts de nuisances urbaines, ces logements de standing sont composés de 4 lots de 4,5 pièces ainsi que de deux attiques de 3,5 pièces. L'immeuble dispose également de 10 places de parc souterraines ainsi que 2 places extérieures.Design épuré, matériaux de haute qualité et dégagement optimal sur les alentours, tous les éléments ont été pensés en vue d'assurer esthétisme, fonctionnalité et modernité à ce projet.Toutes les informations répertoriées dans cette brochure, les surfaces et les plans, sont utilisées à des fins publicitaires. Elles sont communiquées à titre indicatif et n'ont aucune valeur contractuelle pouvant engager Barnes Suisse SA ou l'un de ses partenaires.;3.5 rooms;116m²;CHF 537,000.–
