Address;Title;Description;Rooms;Living Space (sqm);Price
Hauptstrasse 7, 6287 Aesch LU;Letzte 4.5 Zi. Wohnung mit See- und Weitsicht an Landwirtschaftszone;;4.5 rooms;165m²;CHF 1,215,000.–
Oberhusrain 38, 6010 Kriens;"""solea"" Attikawohnung mit Süd-Ausrichtung, Haus 38";;5.5 rooms;154m²;CHF 2,820,000.–
Hölzlirain 8a, 6260 Reiden;Die perfekte Haus für die junge Familie.;;4.5 rooms;147m²;CHF 1,180,000.–
Guglern 61, 6018 Buttisholz;Trigon61 - Mitten im Dreieck der Zentralschweiz;;5.5 rooms;144m²;CHF 990,000.–
Rainli 6, 6102 Malters;Modernes Einfamilienhaus in Malters;;5.5 rooms;155m²;CHF 1,700,000.–
Hagenstrasse 4, 6037 Root;"""Ambience"" - Wohntraum an begehrter Lage!";;4.5 rooms;139m²;CHF 1,475,000.–
Guglern 61, 6018 Buttisholz;Trigon61 - Mitten im Dreieck der Zentralschweiz;;4.5 rooms;128m²;CHF 890,000.–
Hitzkircherstrasse 5, 6284 Gelfingen;Neubau | attraktive 4.5-Zimmerwohnung (1. OG) zu verkaufen;;4.5 rooms;129m²;CHF 840,000.–
6353 Weggis;Exklusive Neubauwohnung mit grandioser Aussicht;;4.5 rooms;182m²;CHF 2,680,000.–
Sonnhalde, 6354 Vitznau;Ihr neues Zuhause am Fusse der Rigi;365 TAGE SEE- UND FERNSICHT GENIESSENEs ist wohl der Inbegriff von Lebensqualität: In unverbaubarer, sonniger Hanglage mit grandiosem Blick auf den Vierwaldstättersee und in die Ferne zu wohnen. Im Neubauprojekt „Südsicht“ in Vitznau entstehen 18 wunderschöne Eigentumswohnungen, in denen dieses traumhafte Lebensgefühl Ihren Alltag bereichern wird.Die grosszügigen 2½- bis 5½-Zimmer-Wohnungen mit einladenden Loggien verteilen sich auf drei Baukörper, die stimmig in das Terrain platziert werden. Sie begeistern mit modernen Grundrissen und einem offenen, nach Süden orientierten Raumkonzept, das Ihnen den See zu Füssen legt. Profitieren Sie von der Verbindung aus hohem Wohnkomfort und einzigartiger Aussichtslage, die jeden Tag zu einem besonderen Tag machen wird.Sie haben Interesse an diesem Objekt? Dann nehmen Sie mit uns Kontakt auf. Gerne halten wir Sie über die Projektfortschritte auf dem Laufenden.;5.5 rooms;131m²;CHF 2,203,500.–
Sonnhalde, 6354 Vitznau;Ihr neues Zuhause am Fusse der Rigi;365 TAGE SEE- UND FERNSICHT GENIESSENEs ist wohl der Inbegriff von Lebensqualität: In unverbaubarer, sonniger Hanglage mit grandiosem Blick auf den Vierwaldstättersee und in die Ferne zu wohnen. Im Neubauprojekt „Südsicht“ in Vitznau entstehen 18 wunderschöne Eigentumswohnungen, in denen dieses traumhafte Lebensgefühl Ihren Alltag bereichern wird.Die grosszügigen 2½- bis 5½-Zimmer-Wohnungen mit einladenden Loggien verteilen sich auf drei Baukörper, die stimmig in das Terrain platziert werden. Sie begeistern mit modernen Grundrissen und einem offenen, nach Süden orientierten Raumkonzept, das Ihnen den See zu Füssen legt. Profitieren Sie von der Verbindung aus hohem Wohnkomfort und einzigartiger Aussichtslage, die jeden Tag zu einem besonderen Tag machen wird.Sie haben Interesse an diesem Objekt? Dann nehmen Sie mit uns Kontakt auf. Gerne halten wir Sie über die Projektfortschritte auf dem Laufenden.;2.5 rooms;71m²;CHF 1,002,000.–
Vorstatt 44, 6244 Nebikon;3½-Zi-Whg | im EG und 3.OG |Wohnen am Bächli | Nebikon;;3.5 rooms;79m²;CHF 620,000.–
Schmittenhof 24, 6142 Gettnau;3.5-Zimmer-Gartenwohnung(en);;3.5 rooms;98m²;CHF 650,000.–
