Address;Title;Description;Rooms;Living Space (sqm);Price
Höhenweg 8, 6376 Emmetten;Atemberaubendes Panorama vom Wohnzimmer aus! Bezugsbereit!;;3.5 rooms;107m²;CHF 1,080,000.–
Bürgenstockstrasse 66a, 6373 Ennetbürgen;Luxuriöser Wohntraum im Neubau SOLAIR;;3.5 rooms;157m²;CHF 1,400,000.–
Bürgenstockstrasse 62a, 6373 Ennetbürgen;Neubauprojekt SOLAIR: Exklusives Wohnen mit Panoramablick;;5.5 rooms;200m²;CHF 1,750,000.–
6363 Stansstad;Einzigartige Wohnung in traumhafter Lage;"An malerischer Lage in Obbürgen, auf der romantischen Hochebene des Bürgenstocks, entstehen derzeit einzigartige Wohnungen der «Überbauung Widen», die mit einem grosszügigen Grundriss, hochwertiger Materialisierung, Liebe zum Detail und einem charmanten Wohnambiente begeistern. Gestalten Sie Ihr persönliches Refugium der Ruhe in ihrer liebevoll gestalteten 4.5 Zimmer Wohnung im 1. OG, mit grosszügigen 121 m² Wohnfläche. Auf dem rund 20 m2 gedeckten Balkon in südwestlicher Ausrichtung bestaunen Sie alle Facetten, mit der uns die Schweizer Natur ins Staunen versetzt! Egal ob schneebedeck, verträumt, herbstlich romantisch, oder bei strahlend blauem Himmel und Sonnenschein – hier geniessen Sie worauf es ankommt: jede Jahreszeit und jeden Tag, den das Leben zu bieten hat!Highlights • Steuergünstige und sonnenverwöhnte Wohnlage • Minergiebauweise mit Photovoltaikanlage • Hochwertige Materialisierung • Hervorragende Anbindung • Fantastische Ausflugsmöglichkeiten und kulinarische Angebote in direkter Nähe Weitere Informationen zu diesem einzigartigen Objekt sowie eine Übersicht der schönsten Immobilien der Zentralschweiz finden Sie auf unserer Webseite unter www.domba.ch. Bestellen Sie jetzt die ausführliche Dokumentation zum Wohntraum ""Einzigartige Wohnung in traumhafter Lage"" oder kontaktieren Sie uns unverbindlich für einen Besichtigungstermin. Dieses Objekt können Sie per Videoanruf besichtigen. Frau Caroline Duboc freut sich, Sie auf Ihrem Weg zum eigenen Wohntraum zu unterstützen!Unser Bader Team ist jederzeit via Telefon, WhatsApp, FaceTime und E-Mail gerne für Sie da.Caroline Duboc+41 41 418 08 95+41 79 418 95 95info@domba.ch";4.5 rooms;121m²;CHF 1,375,000.–
Ischenstrasse 7, 6376 Emmetten;Exklusive Gelegenheit: Letzte verfügbare Wohnung in diesem hochwertigen Mehrfamilienhaus!;Im ruhigen Dorfzentrum von Emmetten erwartet Sie ein modernes Mehrfamilienhaus das Wohnkomfort und zeitgemässe Eleganz vereint. Diese 4.5 Zimmer-Wohnung im 1. Obergeschoss bietet eine Gesamtfläche von 134 m2 und zwei herrliche Balkone für entspannte Stunden im Freien. Hochwertige Feinsteinzeug-Fliesen oder edler Parkettboden schaffen eine behagliche Atmosphäre in jedem Raum.Ein Kellerabteil ist im Kaufpreis enthalten, und es besteht die Möglichkeit, einen Parkplatz in der Tiefgarage zu erwerben (Aufpreis CHF 35'000 pro Stellplatz).Die Wohnung bietet individuelle Gestaltungsmöglichkeiten, einschliesslich der Option, von 4.5 auf 5.5 Zimmer zu erweitern, mit einem luxuriösen Masterbedroom für ultimativen Komfort und Privatsphäre.Entscheiden Sie selbst, wie Ihr neues Zuhause aussehen soll – Ihr Traum von einem perfekt angepassten Wohnraum kann hier Wirklichkeit werden.Emmetten bietet steuergünstige Wohnbedingungen, eine optimale Autobahnanbindung und Erholung am Vierwaldstättersee sowie spektakuläre Ausblicke im Ski- und Wandergebiet Klewenalp. Eine erstklassige Bildung ist durch die Primarschule und die Oberstufe im Dorf gewährleistet, während die umliegende Natur zu Spaziergängen und Outdoor-Aktivitäten einlädt. Einkaufsmöglichkeiten in der Nähe machen den Alltag komfortabel.Kontaktieren Sie uns noch heute für weitere Informationen und einen Besichtigungstermin. Ihr neues Traumdomizil in Emmetten erwartet Sie!;4.5 rooms;134m²;CHF 1,050,000.–
Haldenweg 14, 6382 Büren NW;Exklusive Attikawohnung in Büren NW;;5 rooms;165m²;CHF 1,590,000.–
Güterstrasse 18, 6374 Buochs;Moderner und stilvoller Wohntraum mit Panoramasicht auf See und Berge;;4.5 rooms;142m²;CHF 1,950,000.–
Sonnenbergstrasse 68, 6052 Hergiswil NW;4.5-Zimmer-Gartenwohnung mit Traumaussicht;"Wohnen mit Traumaussicht am Fusse des PilatusDas Mehrfamilienhaus Seeblick bietet einen fantastischen Blick auf den Vierwaldstättersee und die faszinierende Innerschweizer Bergwelt. Das Grundstück liegt im ruhigen Hergiswiler Quartier ""Rüti"" und ist über eine Sackgasse verkehrsarm erschlossen. Alle drei Eigentumswohnungen profitieren von einem exklusiven Ausbaustandard und grosszügigen Aussenflächen.Die 4.5-Zimmer-Gartenwohnung im Erdgeschoss zeichnet sich durch folgende Highlights aus:- Grosser Sitzplatz und Garten mit spektakulärer Aussicht- Helle Räume mit bodentiefen Fenstern und raumhohen Türen- Exklusiver Ausbaustandard mit wertigen Materialien, Armaturen und Geräten von Marken anerkannter Qualität- KNX-Gebäudeautomation mit Videoüberwachung (Einbruchanlage)- Minergie-Zertifizierung mit eigener Photovoltaikanlage und Erdsonden-WärmepumpeVerschaffen Sie sich mit dem virtuellen Rundgang einen Überblick: Link Matterport 3D-RundgangHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besichtigung zur Verfügung.";4.5 rooms;;CHF 2,750,000.–
Sonnenbergstrasse 68, 6052 Hergiswil NW;6.5-Zimmer-Attika-Maisonettewohnungen mit Traumaussicht;"Wohnen mit Traumaussicht am Fusse des PilatusDas Mehrfamilienhaus Seeblick bietet einen fantastischen Blick auf den Vierwaldstättersee und die faszinierende Innerschweizer Bergwelt. Das Grundstück liegt im ruhigen Hergiswiler Quartier ""Rüti"" und ist über eine Sackgasse verkehrsarm erschlossen. Alle drei Eigentumswohnungen profitieren von einem exklusiven Ausbaustandard und grosszügigen Aussenflächen.Die 6.5-Zimmer-Attika-Maisonettewohnung im 2. und 3. Obergeschoss zeichnet sich durch folgende Highlights aus:- Grosse Terrasse mit spektakulärer Aussicht- Direkter Liftzugang in beide Geschosse- Eigener Wohnungseingang für Besucher- Helle Räume mit bodentiefen Fenstern und raumhohen Türen- Exklusiver Ausbaustandard mit wertigen Materialien, Armaturen und Geräten von Marken anerkannter Qualität- KNX-Gebäudeautomation mit Videoüberwachung (Einbruchanlage)- Minergie-Zertifizierung mit eigener Photovoltaikanlage und Erdsonden-WärmepumpeVerschaffen Sie sich mit dem virtuellen Rundgang einen Überblick: Link Matterport 3D-RundgangHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besichtigung zur Verfügung.";5.5 rooms;;CHF 5,750,000.–
Sonnenbergstrasse 68, 6052 Hergiswil NW;4.5-Zimmer-Terrassenwohnung mit Traumaussicht;"Wohnen mit Traumaussicht am Fusse des PilatusDas Mehrfamilienhaus Seeblick bietet einen fantastischen Blick auf den Vierwaldstättersee und die faszinierende Innerschweizer Bergwelt. Das Grundstück liegt im ruhigen Hergiswiler Quartier ""Rüti"" und ist über eine Sackgasse verkehrsarm erschlossen. Alle drei Eigentumswohnungen profitieren von einem exklusiven Ausbaustandard und grosszügigen Aussenflächen.Die 4.5-Zimmer-Terrassenwohnung im 1. Obergeschoss zeichnet sich durch folgende Highlights aus:- Grosse Terrasse und Sitzplatz mit spektakulärer Aussicht- Direkter Liftzugang- Wintergarten mit Isolierverglasung- Helle Räume mit bodentiefen Fenstern und raumhohen Türen- Exklusiver Ausbaustandard mit wertigen Materialien, Armaturen und Geräten von Marken anerkannter Qualität- KNX-Gebäudeautomation mit Videoüberwachung (Einbruchanlage)- Minergie-Zertifizierung mit eigener Photovoltaikanlage und Erdsonden-WärmepumpeVerschaffen Sie sich mit dem virtuellen Rundgang einen Überblick: Link Matterport 3D-RundgangHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besichtigung zur Verfügung.";4.5 rooms;;CHF 2,750,000.–
