Address;Title;Description;Rooms;Living Space (sqm);Price
6064 Kerns;Nur noch 1 Wohnung verfügbar - Super Neubauprojekt in Kerns;"""Hochwertige 5.5 Zimmer-Eigentumswohnung im OG - Neubauprojekt in Kerns -Planen Sie Ihre Zukunft mit viel Raum und allen Möglichkeiten - Sie können die Ausstattung noch selbst bestimmen.Wir haben noch eine super Wohnung im OG - tolle Lage - 150 m2 Wohnfläche - grosser Balkon von 24m2 - Nebenräume - 2 StellplätzeProjekt:In der steuergünstigen Gemeinde Kerns auf der Obwaldner Sonnenterrasse entsteht ein wunderschönes Mehrfamilienhaus mit 3 Wohneinheiten als Neubau-Projekt. Die Lage der Immobilie zeichnet sich besonders durch den zentralen Standort aus. Das Dorfzentrum, Schulen, Einkaufsmöglichkeiten und beste Infrastruktur in Bezug auf ÖV runden das Angebot für """"Schöner Wohnen"""" ab.Die Wohnungen haben durchdachte Grundrisse, grosszügige Räumlichkeiten und einen hochwertigen und ansprechenden Ausbaustandard. Grosse Fenster durchfluten die Wohnungen mit viel Licht und schaffen eine gemütliche Atmosphäre. An die offenen Wohn- und Essbereiche schliessen sich in Richtung Süden ausgerichtete grosse, sonnige und überdachte Balkone bzw. für die EG-Wohnung der eigene Gartensitzplatz an.Keyfacts:Zentraler Standort mit vielen AnnehmlichkeitenKleine Wohneinheit als Mehrfamilienhaus mit 3 WohnungenPro Einheit jeweils 2 ParkplätzeGeplanter Projektstart im Frühling 2024Geplante Bauzeit zwischen 15 - 17 MonateUntergeschoss: Parkierung und NebenräumeHochparterre: 1 x 5.5 Zimmer-Wohnung - (reserviert)Obergeschoss: 1 x 5.5 Zimmer-Wohnung - noch verfügbar -Dachgeschoss: 1 x 4.5 Zimmer-Wohnung - (reserviert)Hochwertige Ausführung und BaubetreuungNutzung als Zweit- und/oder Ferienwohnung möglichHighlights auf einen Blick:Attraktives Wohnen mit hohem FreizeitwertPerfekte Wohnlage und kleine Wohneinheit mit 3 Parteien5.5 Zimmer-Wohnungen mit durchdachten GrundrissenHochwertige Ausstattung und hohe Budgetierung für Küche, Sanitär und BödenGrosszügige Aussenbereiche mit Garten und/oder TerrassenLiftanlage im Haus vom UG bis ins DG - Barrierefreies Wohnen garantiertSehr grosses Reduit mit Tageslicht direkt in der WohnungGrosse Kellerräume zu jeder Einheit2 Parkplätze zur Wohnung werden mit je CHF 15'000.-- pro Platz dem Verkaufspreis hinzugerechnetNebenflächen - Eingangsbereich - Velo-AbstellplatzÄnderungswünsche und Anpassungen können je nach Baufortschritt Gegen Aufpreis noch eingearbeitet werdenSehr gute Infrastruktur - Schulen - ÖV - EinkaufObwalden als einer der steuergünstigsten Kantone der Schweizu.v.m.Zum Standort Kerns im Kanton Obwalden:Gemeinde Kerns - sympathisch, innovativ &amp; kernig - Kerns befindet sich in wunderschöner Lage der Schweiz und ist Mittelpunkt des Kantons Obwalden. Auf rund 560 Meter über dem Meer liegt Kerns über dem Sarneaatal auf einem sonnigen Hochplateau. Mit rund 6'500 Einwohnern ist Kerns die zweitgrösste Gemeinde im Kanton Obwalden. Sie haben für Ihre Kinder alle Schulstufen vom Kindergarten bis zur Oberstufe - das Gymnasium ist in der Nachbargemeinde Sarnen. Die medizinische Versorgung ist bestens gewährleistet. Die Infrastruktur ist hervorragend ausgelegt.Grundrisse und Visualisierungen:Die Grundrisse und Visualisierungen des gesamten Projekts sind angefügt und nochmals in einer extra Broschüre verfügbar. Alle weiteren Angaben zur geplanten Projektierung und Bauausführung liegen vor.Weitere Informationen:Eine zusätzliche Verkaufsbroschüre wird Ihnen auf Anforderung gerne zugestellt. Eine Besichtigung des Projekt-Standorts ist jederzeit nach Terminvereinbarung individuell möglich. Bei weiteren Auskünften steht Ihnen - Kristine Maurer - Immobilien Consultant - gerne per Mail oder auch kurzfristig telefonisch unter +41 (0) 79 873 19 33 zur Verfügung. Melden Sie sich gleich!Zum Erwerb:Die Wohnungen dürfen auch als Zweit- bzw. Ferienwohnungen genutzt werden. Die Vermietung als Renditeobjekt ist für Schweizer möglich. Der Erwerb für Ausländer ist zur Eigennutzung und mit Wohnsitz Kerns oder dann als Ferienwohnung gestattet. Die Vermietung der Wohnung ist allerdings für Ausländer nicht erlaubt.Verantwortlichkeiten:Bauherrin: NAAG - Fischmattweg 5 - 6374 BuochsArchitektur: Planteams.ch AG - Galileo-Strasse 2 - 6056 KägiswilBauleitung: RA Projekt AG - Sonnhaldenstrasse - 6373 EnnetbürgenVerkauf: Home &amp; Castle Immobilien AG - Kristine Maurer - Hinterbergstrasse 26 - 6312 Steinhausen""";5.5 rooms;150m²;CHF 1,360,000.–
6062 Wilen (Sarnen);Jetzt die Chance nutzen: Sichern Sie sich die letzte Wohnung im Haus 6;;5.5 rooms;128m²;CHF 1,400,000.–
Pilatusstrasse 16, 6072 Sachseln;Luxuriöse und grosszügige Attikawohnung mit atemberaubender Weitsicht;;7 rooms;268m²;Price on request
Kreuzstrasse 40, 6056 Sarnen;Schöne 3.5 Zimmer Wohnung in Kägiswil;;3.5 rooms;114m²;Price on request
Kerns, 6064 Kerns;Exklusives Familienhaus mit Bergblick in Kerns ? Ihr Traumzuhause;Dieses Haus besticht nicht nur durch seine qualitativ hochwertige Ausstattung, sondern auch durch den gut erhaltenen Zustand, was Ihnen einen sorgenfreien Einzug ermöglicht. Der Garten lädt zu gemütlichen Stunden im Freien ein und bietet Platz für Ihre individuellen Gestaltungsideen.Die schöne, sonnige Lage in Kerns schafft eine ideale Umgebung für Familien und ermöglicht gleichzeitig einen beeindruckenden Blick auf die umliegenden Berge.Zögern Sie nicht länger ? vereinbaren Sie noch heute einen Besichtigungstermin und entdecken Sie, wie sich Ihr Traum vom perfekten Familienhaus in Kerns erfüllen kann! Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/6064-24-1;6.5 rooms;192m²;CHF 2,290,000.–
6053 Alpnachstad;Gehobene und offene 4.5-Zimmer-Wohnung mit attraktiver Sicht auf See und Berge in Alpnachstad;;4.5 rooms;140m²;CHF 1,170,000.–
Neuschwändistrasse 64, 6390 Engelberg;Ihr neues Bijou im Bergparadies;Freuen Sie sich auf Ihre NachbarschaftDie Neuschwändistrasse befindet sich im Ortsteil Oberberg. Hier geniesst man eine idyllische Ruhe, die Nähe zur Natur und viele Sonnenstrahlen. Die nahegelegene Brunni-Bergbahn bringt Sie direkt in die sonnige Bergwelt von Engelberg mit einem breiten Freizeitangebot über das ganze Jahr verteilt. Ideal für alle Bergwelt-, Lebens- oder Familiengeniesser, welche ein aktive oder passive Erholung in Mitten eines fantastischen Panoramas suchen.Die Titlisbergbahnen mit ihren noch vielfältigerem Angebot an Winter- und Sommer-Erlebnissen sind mit dem Bus oder Auto erreichbar.Einkaufsmöglichkeiten, Restaurants oder beispielsweise Wellnessanbieter befinden sich im Dorfkern von Engelberg.Erholung, Panorama, Freizeit in der Natur und Ruhe pur sind hier das Lebensmotto.Ihr neues Zuhause?Die 2½-Zimmer-Wohnung ist bequem mit einem Lift erreichbar, befindet sich im 4. Obergeschoss und verfügt über einer Wohnfläche von ca. 45 m².Das Objekt befindet wurde im 2024 komplett renoviert und möbliert und bietet vier Schlafplätze, Schlafzimmer mit Doppelbett und Wohnraum mit Wandbett. Nebst einem praktischen Grundriss verfügt die Wohnung über einen Balkon, welcher für entspannte Stunden in der Sonne einlädt.Ein separater Einstellhallenpatz, ein Kellerabteil, eine allgemeine Waschküche sowie ein allgemeiner Skiraum gehören ebenfalls zur Wohnung.Interessiert? Gerne präsentieren wir Ihnen die Immobilie persönlich vor Ort.Lassen Sie sich begeistern ...... von dieser Ferienwohnung im schönen Engelberg. Überzeugt?Sie sind am Ende des Inserates angelangt. • Alles stimmt, aber Sie möchten zuerst Ihre Immobilie verkaufen? Gerne unterstützen wir Sie • Das Objekt passt zu guten Freunden oder Bekannten? Weitersagen erlaubt! • Nicht Ihr Wunsch-Ergebnis? Auf arlewo.ch profitieren Sie von einem kostenlosen Suchabo;2.5 rooms;45m²;CHF 675,000.–
Neuschwändistrasse 64, 6390 Engelberg;3½ - Zimmer - Ferienwohnung an top Lage;;3.5 rooms;65m²;CHF 750,000.–
Neubrunhofweg, 6010 Kriens;Willkommen im familienfreundlichen Kriens-Obernau: Attraktive Eigentumswohnungen im Neubauquartier;"Attraktive Eigentumswohnungen im Neubauquartier mit Dörfli-CharakterDie nach Süden ausgerichteten Wohnungen schaffen ein schönes Raumgefühl mit viel Licht und Aussicht auf den Hergiswald und den Pilatus. Jede Wohnung verfügt über einen grosszügigen Wohn- und Essbereich sowie eine Loggia mit bodentiefen Fenstern.Die Wohnung im Erdgeschoss sowie eine der Wohnungen im ersten Obergeschoss haben eigene Gartenflächen. Die beiden Wohnungen im dritten Obergeschoss profitieren von exklusiven Dachterrassen mit viel Privatsphäre.Die Freiraumgestaltung bietet aber noch viel mehr für Jung und Alt: In Zusammenarbeit mit der benachbarten Baugenossenschaft werden gemeinsame Begegnungs- und Spielbereiche für die Bewohner des kleinen Neubauquartiers erstellt.Die nächste Bushaltestelle ""Stampfeli"" ist eine Gehminute entfernt und bietet alle sieben Minuten eine schnelle Busverbindung in die Stadt Luzern.Die 4.5-Zimmer-Wohnung ""B"" im 3. Obergeschoss zeichnet sich durch folgende Highlights aus:- Grosszügige Dachterrasse- Helle Räume- LoggiaWeitere Informationen finden Sie zudem auf unserer Projektwebseite: www.dellacasa.group/neubrunhofHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besprechung zur Verfügung.";4.5 rooms;115m²;CHF 1,425,000.–
Neubrunhofweg, 6010 Kriens;Willkommen im familienfreundlichen Kriens-Obernau: Attraktive Eigentumswohnungen im Neubauquartier;"Attraktive Eigentumswohnungen im Neubauquartier mit Dörfli-CharakterDie nach Süden ausgerichteten Wohnungen schaffen ein schönes Raumgefühl mit viel Licht und Aussicht auf den Hergiswald und den Pilatus. Jede Wohnung verfügt über einen grosszügigen Wohn- und Essbereich sowie eine Loggia mit bodentiefen Fenstern.Die Wohnung im Erdgeschoss sowie eine der Wohnungen im ersten Obergeschoss haben eigene Gartenflächen. Die beiden Wohnungen im dritten Obergeschoss profitieren von exklusiven Dachterrassen mit viel Privatsphäre.Die Freiraumgestaltung bietet aber noch viel mehr für Jung und Alt: In Zusammenarbeit mit der benachbarten Baugenossenschaft werden gemeinsame Begegnungs- und Spielbereiche für die Bewohner des kleinen Neubauquartiers erstellt.Die nächste Bushaltestelle ""Stampfeli"" ist eine Gehminute entfernt und bietet alle sieben Minuten eine schnelle Busverbindung in die Stadt Luzern.Die 4.5-Zimmer-Wohnung ""C"" im 2. Obergeschoss zeichnet sich durch folgende Highlights aus:- Hohe Räume (2.45m)- LoggiaWeitere Informationen finden Sie zudem auf unserer Projektwebseite: www.dellacasa.group/neubrunhofHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besprechung zur Verfügung.";4.5 rooms;113m²;CHF 1,100,000.–
