Address;Title;Description;Rooms;Living Space (sqm);Price
Randenstrasse, 8200 Schaffhausen;Einzigartige Neubau Eigentumswohnung auf der Breiti;;3.5 rooms;115m²;CHF 1,120,000.–
8219 Trasadingen;Einfamilienhaus in Trasadingen;;5.5 rooms;144m²;CHF 1,198,000.–
Im Baumgarten 2, 8262 Ramsen;Eleganz auf dem Land - Luxuriöse Eigentumswohnungen;;3.5 rooms;92m²;CHF 670,000.–
Im Wölfli, 8240 Thayngen;Sonnige Aussichten mit hochwertigem Ausbau;;4.5 rooms;149m²;CHF 975,000.–
Haingartenstrasse, 8215 Hallau;4.5 Zimmer Eigentumswohnung 1. / 2. Dachgeschoss;;4.5 rooms;171m²;CHF 750,000.–
Neuwis 3, 8236 Büttenhardt;80% Steuern sparen bei PK Bezug mit Wohnung in SH - 212m2 Attika als Basis !;Baustart ist erfolgt !Im Kanton Schaffhausen werden PK-Bezüge mit maximal 6% besteuert - im Kanton Zürich mit bis zu 22.4% und mehr - bei 2 Mio Bezug aus der PK (16.09% im Kanton ZH) bereits ein Unterschied von mehr als CHF 200'000. Fragen Sie uns danach, wir unterstützen Sie bei der Suche nach einem professionellen Steuerberater der diese Fragen für Sie individuell beantworten kann. Nur 35 Minuten vom Flughafen Zürich (oder 45 Minuten zum HB ZH) und in direkter Nähe zu Autobahn-Anschluss (4 Minuten), Schulen und Einkaufsmöglichkeiten (MMMigros in 5 Minuten) erstellen wir in der sonnigsten Schaffhauser Gemeinde auf 700m über Meer neue Eigentumswohnungen. Das Projekt zeichnet sich durch eine äusserst ruhige und sehr sonnige Lage mit unverbaubarer Aussicht aus. Nachhaltige Bauweise mit lokalen Partnern, clevere Grundrisse und faire Preise runden das Angebot ab.Diese grosszügige und raffiniert gestaltete 4.5-Zimmer Dach-Wohnung raubt Ihnen den Atem: Sie leben auf der gesamten Grundfläche des MFH im obersten Geschoss. Neben 2 Dachterrassen, Raumhöhen bis 3.9m und einem direkten Zugang zur Wohnung mit dem Lift (Optional auch via Treppenhaus) überzeugt die Wohnung mit vielen weiteren Details. Schwellenloser Zugang sind genauso selbstverständlich wie eine offene Küche. Geniessen Sie aus allen Räumen den unverbaubaren Ausblick ins Grüne oder in die Alpen. Massive Bauweise und höchste Anforderung an Schalldämmung und Isolation lassen Sie jederzeit ruhig schlafen. Selbstverständlich haben Sie als Käufer freie Wahl bei Ausbau und Gestaltung. Teil des Miteigentums ist ein über 1500m2 grosser Park mit alten Obstbäumen - welcher gemeinsam von allen Eigentümern genutzt werden kann. Allgemeine Informationen:Allgemeine Informationen:Wir legen grossen Wert auf nachhaltige Planung - auch zu Gunsten Ihrer Investition. Wir bauen bewusster - damit Sie in Zukunft tiefere Kosten haben: Die hinterlüftete Fassade benötigt kaum Unterhalt, die PV Anlage reduziert ihre Stromkosten, das Steildach wird ihnen weniger Sorgen bereiten als ein Flachdach - und das Minergie-Label in Kombination mit der Komfortlüftung optimiert ihren Energieverbrauch. Alle Wohn-Einheiten sind über eine gemeinsame Tiefgarage erschlossen. Vorbereitungen für E-Mobilität (Bikes und Autos) sind selbstverständlich, gute Budgets für Bäder und Küchen (VZug) ebenso. Geheizt wird nachhaltig mit Hackschnitzeln aus den lokalen Wäldern (Fernwärme). Jedes Haus bildet eine in sich geschlossene STWE-Gemeinschaft. Zu jeder Wohnung gehört ein eigener Keller-Raum und das Nutzungsrecht an einem Trocken-Raum pro MFH. Tiefgaragenplätze oder abschliessbare Garagen können ab CHF 29’000 erworben werden, ebenfalls stehen Hobbyräume (belüftet und mit Wasser-Anschluss) zum Kauf. Büttenhardt liegt 700m über Meer und direkt am Stadtrand von Schaffhausen. Die Gemeinde hat sich in den letzten Jahren sehr gesund entwickelt (keine Schulden, aktuell im kantonalen Steuervergleich auf dem vierten Platz mit sehr guten Perspektiven) und freut sich über Zuzüger. Sie leben direkt im Naherholungsgebiet mit Bike-Trails und Wanderwegen sprichwörtlich vor der Haustüre...aber nicht nur: Das Multiplex-Kino liegt nur 4 Minuten, Theater und Konzerte 8 Minuten entfernt. Sie finden alle Unterlagen, Details und Preise auf unserer Projektseite 8236.ch - für Fragen, weitergehende Informationen oder einen Besuch vor Ort stehen wir Ihnen sehr gerne zur Verfügung. Unser Finanzierungspartner (Schaffhauser Kantonalbank) und die UBS kennen die angebotenen Wohnungen und erstellen Ihnen auf Basis der anerkannten Verkaufspreise gerne eine Finanzierungsofferte. Weitere Referenzen (Banken) nennen wir Ihnen gerne auf Wunsch und unterstützen Sie bei allen anderen Fragen zu einer möglichen Finanzierung.PS: Spätestens bei einem Besuch vor Ort werden Sie über die Nähe erstaunt sein - und unseren Claim (leben.schön.nah) bestens nachvollziehen können. Wir freuen uns auf Sie!;4.5 rooms;212m²;CHF 1,450,000.–
Wiesentalstrasse 8, 8215 Hallau;Immobilie mit Stil angrenzend an Landwirtschaftszone;;4.5 rooms;125m²;CHF 760,000.–
Zelgliweg, 8236 Büttenhardt;80% Steuern sparen bei PK Bezug in SH mit Kauf 2.5 Zimmer Wohnung;;2.5 rooms;60m²;CHF 459,000.–
Geerenweg 8, 8226 Schleitheim;Bauernhaus in Schleitheim;;6 rooms;167m²;CHF 1,130,000.–
Weinbergstrasse 10, 8212 Neuhausen am Rheinfall;five corners - Jetzt letztes Atelier reservieren!;Hoch hinaus vereint mit modernem Wohnen für jeden Anspruch - Das Neubauprojekt «five corners» Neuhausen am Rheinfall macht es möglich.Per Herbst / Winter 2024 entstehen insgesamt 48 qualitativ hochwertig ausgestattete Eigentumswohnungen sowie 2 Wohnateliers und eine Retailfläche im Erdgeschoss. Ausstattung der Wohnungen:- attraktive Grundrisse- teilweise überhohe Räume- optimale Integration der Küchen in den Wohn-/Essbereich- moderne Küchenausstattung mit Induktionskochfeld- Nasszellen mit Badewanne oder Duschbereich- Wohn-/ und Essbereich mit Parkettboden- Reduit mit Waschturm- Wärmeerzeugung erfolgt mittels Fernwärme / Wärmeverteilung über Fussbodenheizung Die Highlights von «five corners»- ruhig und naturnah in einem Katzensprung am Rheinfall- Öffentlicher Verkehr in Gehdistanz- Wunderschöne Umgebung mit Sitzbänken und Brunnen Die Toplage von «five corners» bietet:- Öffentliche Verkehrsmittel, Busstation in unmittelbarer Nähe- In Gehdistanz: Einkaufsmöglichkeiten, Bäckerei, und Restaurant- Sportmöglichkeiten wie Vitaparcours Neuhausen, Freibad, Fitness, etc.- Sehr gute Erreichbarkeit nach Zürich- Der Rheinfall lädt zum Verweilen und für schöne Spaziergänge ein Lassen Sie sich inspirieren und konfigurieren Sie Ihre Wohnung ganz nach Ihren Wünschen: www.five-corners-neuhausen.ch/ Vereinbaren Sie noch heute ein individuelles Beratungsgespräch. Wir freuen uns über Ihren Besuch in unserem Showroom.;2.5 rooms;79m²;CHF 499,000.–
