Address;Title;Description;Rooms;Living Space (sqm);Price
4146 Hochwald;Neuwertiges und freistehendes Traumhaus mit erstklassigem Standard;Willkommen in Ihrem neuen Traumhaus! Dieses neuwertige 5½ Zi.-Einfamilienhaus aus dem Baujahr 2018 bietet einen herausragenden Standard. Dieses freistehende Juwel vereint modernes Design mit hochwertigen Materialien und erstklassiger Ausstattung, um Ihnen ein luxuriöses Wohnvergnügen zu bieten.Das Haus verfügt über zahlreiche Annehmlichkeiten: Einen topmodernen und hochwertigen Innenausbau, 4 Schlafzimmer, 3 Bäder, ein Cheminée für gemütliche Abende im Wohn- und Essbereich, Multimedia-Anschlüsse in allen Zimmern für modernen Entertainment-Genuss, grosszügige Kellerräume, Wasserenthärter, elektrische Storen, Einbauschränke und vieles mehr. Am besten überzeugen Sie sich bei einem Besichtigungstermin vor Ort.Ein Highlight ist jedoch die Sonnenterrasse mit dem Jacuzzi. Im Jacuzzi auf einer sonnigen Terrasse mit atemberaubender Weitsicht zu entspannen, ist wie eine Reise in die ultimative Entspannung. Die Aussicht und Fernsicht von diesem Ort aus sind atemberaubend und bieten ein unvergleichliches Gefühl von Ruhe und Idylle. Ein weiterer Rückzugs- und Wohlfühlort ist der Gartensitzplatz unter der Pergola im Garten.Ihre Autos finden Platz in der Doppelgarage, eine Ladestation für Elektroautos ist ebenfalls vorhanden. Zwei weitere Aussenparkplätze bieten zusätzlichen Komfort für Ihre Gäste oder weitere Fahrzeuge.Die Lage dieses Anwesens in Hochwald ist ein Paradies für Naturliebhaber und bietet absolute Ruhe. Trotzdem beträgt die Fahrzeit nach Basel nur etwa 30 Minuten.Erleben Sie den Luxus und die Annehmlichkeiten dieses einzigartigen Anwesens und lassen Sie sich von seinem Charme verzaubern. Vereinbaren Sie noch heute einen Besichtigungstermin und entdecken Sie Ihr neues Zuhause!Wir wissen Ihre Immobilie zu schätzen.Alle Immobilienangebote finden Sie auf www.team-lindenberger.chVirtuelle Tour: https://my.matterport.com/show/?m=tTgjTZFqNUj;5.5 rooms;195m²;CHF 2,580,000.–
Fustligweg 58, 4600 Olten;RESERVIERT - Urbane Triplex-Eigentumswohnung im Stadthaus-Stil - Nutzfläche 356m2;5.5 Triplex-Wohntraum auf 3 Etagenmit 356 m2 Nutzfläche, Baubeginn im Februar 2024 erfolgt / Bezug ca. Sommer 2025Die Wohnungen befinden sich am Fustligweg in Olten, einer begehrten Lage direkt am Fusse des Säliwaldes. Die Lage bietet nicht nur eine grüne Umgebung, sondern auch eine ausgezeichnete Anbindung an die Infrastruktur.Sie geniessen nicht nur Ruhe und Natur, sondern profitieren auch von kurzen Wegen zu Einkaufsmöglichkeiten, Schulen und öffentlichen Verkehrsmitteln.Ihr individueller Wohntraum auf drei Niveaus exakt auf Ihre Bedürfnisse zugeschnitten und einmalig in der Region. • modernste, energieeffiziente Technik • Photovoltaik-Anlage für tiefe Nebenkosten • 2 separate Eingänge • 50 m2 grosser Wohnraum mit Küche • Gäste WC + Badezimmer • Schlafzimmer mit Ankleide • 2 separate Eingänge • grosse Gartenfläche Eingangsgeschoss mit 24 m2 grossem Studio für individuelle Bedürfnisse wie Fitness, Hobby, Spielzimmer, etc, Waschküche, gedeckter Gartensitzplatz und direktem Gartenzugang.Wohngeschoss mit Aussen-Sitzplatz und eigenem Eingang, Gäste-WC, 50 m2 grossem Wohnraum, Essen und Küche, grossem überdachtem Balkon von über 18 m2.Obergeschoss mit Schlafzimmer, Ankleide und Balkon, 2 Zimmern und grossem Badezimmer mit Dusche und Badewanne.Diese grosszügige Triplex-Wohnung im Stadthaus-Stil bietet nicht nur attraktiven Wohnraum, sondern auch direkten Zugang zum eigenen Aussenbereich und einen einmaligen Blick in den Jura. Die 3-geschossigen Wohnungen zeichnen sich durch modernes Design aus, das Funktionalität und Ästhetik vereint. Grosse Fensterfronten sorgen für lichtdurchflutete Räume und schaffen eine Verbindung zur malerischen Umgebung.Highlights:» Blick in den Jura, privilegierte und ruhige Lage» Materialien und Oberflächen nach Ihrem Gusto» lichtdurchflutete Architektur» 2 Balkone, 2 Aussensitzplätze und Garten» 2 Wohnungseingänge EG und UG» LED-Spots in der ganzen Wohnung eingebaut» Küche als zentrales Element» Garderobe und Treppenhaus-Schränke inklusive» Studio für individuelle BedürfnisseWir begleiten Sie persönlich von A-ZGerne begleiten wir Sie bei allen Fragen zum Wohnungskauf und bieten Ihnen durch unser fundiertes Wissen und langjähriger Erfahrung höchste Kompetenz.Wir beraten Sie hinsichtlich Vertragswesen, Finanzierung, Planung, Materialauswahl und Einrichtung. Zudem sind wir während der gesamten Bauzeit bis zu Ihrem Einzug und darüber hinaus mit einem starken Team für Sie da.Starten Sie jetzt Ihre Reise zu Ihrem neuen Zuhause!Persönlicher Kontakt: Frau Cheril Kaufmann / 076 371 22 00;5.5 rooms;151m²;CHF 1,275,000.–
Vorstattstrasse, 4653 Obergösgen;Letztes Reiheneckhaus mit Doppelcarport;;6.5 rooms;170m²;CHF 995,000.–
Bühlhubelstrasse 9, 4622 Egerkingen;Wohnen mit Alpenblick in Egerkingen;;5.5 rooms;195m²;CHF 1,950,000.–
4583 Mühledorf SO;Grosses Haus mit Einliegerwohnung - Neubau;Sind Sie auf der Suche nach einem freistehenden, modernen und grossen Einfamilienhaus mit Einliegerwohnung und viel Platz?Möchten Sie sich Ihr Traumhaus bauen und an einem idyllischen und naturverbundenen Ort wohnen?Dann sind Sie hier genau richtig.Das grosse Grundstück mit über 1'700m2 bietet viel Platz, viele Optionen und ist ideal für Naturliebhaber. Das Einfamilienhaus mit Satteldach besticht nicht nur durch seine grosszügige Raumaufteilung und hochwertige Massivbauweise, sondern erfüllt auch die Anforderungen der MuKEn Vorschriften. Die leichte Hanglage gibt dem Haus zudem eine besondere architektonische Note. Mit diesem Haus schaffen Sie ein komfortables und familienfreundliches Zuhause, in dem Sie sich rundum wohlfühlen können.Der Ausbaustandart sowie Raumaufteilung und andere Wünsche können noch mitbestimmt werden. Profitieren Sie von diesem Angebot und überzeugen Sie sich selbst! Dieses CASA VERA -Angebot zeichnet sich durch folgende Vorteile aus: • Neubau • Modern • Freistehend • Naturverbunden • Sonnig • Grosses Grundstück • Projekt vorhanden • Ruhig • Tolle Nachbarschaft • Ausbau kann noch mitbestimmt werden • und vieles mehr... Interessiert? Kontaktieren Sie uns für eine unverbindliche Besichtigung!Sie wollen Ihr Haus oder Ihre Wohnung sorgenfrei verkaufen, aber wissen nicht zu welchen Preis Sie es verkaufen können?Wir sagen Ihnen den aktuellen Marktwert Ihrer Immobilie, diskret und unverbindlich!Haben Sie Interesse an einem ersten kostenlosen und unverbindlichen Informationsgespräch?Zögern Sie nicht und kontaktieren Sie uns.;9.5 rooms;280m²;CHF 1,995,000.–
Haupstrasse 295 / Schulstrasse, 4234 Zullwil;NEUBAU, MODERNES 4.5 ZIMMER EINFAMILIENHAUS MIT CARPORT;Das Objekt zeichnet sich durch folgende Kriterien aus:- Moderne Architektur- Wärmepumpe- 2 Carport-Parkplätze- Effizienter Grundriss- Individueller Keller Ausbau und Grundriss-Anpassungen;4.5 rooms;125m²;CHF 790,000.–
Hardstrasse, 4715 Herbetswil;Attikawohnung mit Jurablick;*Neubau von 7 attraktiven Eigentumswohnungen - Bezugsbreit ab 1.9.2024*Ist Ihr Haus zu gross geworden oder der Garten macht zu viel Aufwand? Wie wäre es mit einem Tapetenwechsel in die Residenz Jurablick?Das Wohnungsangebot hält für alle etwas bereit. Ob 2.5-, 3.5- oder 4.5-Zimmerwohnungen, hier finden Sie sicher einen für Ihre Bedürfnisse passenden Grundriss, welcher auch ins Budget passt. Denn für Fr. 360'000 bis Fr. 715'000 (Attika) erwerben Sie nicht nur eine neue Wohlfühloase, sondern auch eine tolle Aussicht ins Grüne und an den Jura.Damit Sie sich in Ihren neuen vier Wänden wieder zuhause fühlen, können Sie den Innenausbau ganz einfach mitbestimmen. So passt es am Schluss bestimmt und Sie würden am liebsten sofort einziehen.An leicht erhöhter Lage in Herbetswil, können Sie nicht nur ganztags die Sonne geniessen, auch viel Ruhe und einen wunderbaren Ausblick zeichnen das Objekt aus.Das gesamte Wohnungsangebot sowie weitere Details zum Ausbau finden Sie auf unserer Webseite.;2.5 rooms;69m²;CHF 470,000.–
Hardstrasse, 4715 Herbetswil;Residenz Jurablick - Herzlich willkommen;*Neubau von 7 attraktiven Eigentumswohnungen - Bezugsbreit ab 1.9.2024*Ist Ihr Haus zu gross geworden oder der Garten macht zu viel Aufwand? Wie wäre es mit einem Tapetenwechsel in die Residenz Jurablick?Das Wohnungsangebot hält für alle etwas bereit. Ob 2.5-, 3.5- oder 4.5-Zimmerwohnungen, hier finden Sie sicher einen für Ihre Bedürfnisse passenden Grundriss, welcher auch ins Budget passt. Denn für Fr. 360'000 bis Fr. 715'000 (Attika) erwerben Sie nicht nur eine neue Wohlfühloase, sondern auch eine tolle Aussicht ins Grüne und an den Jura.Damit Sie sich in Ihren neuen vier Wänden wieder zuhause fühlen, können Sie den Innenausbau ganz einfach mitbestimmen. So passt es am Schluss bestimmt und Sie würden am liebsten sofort einziehen.An leicht erhöhter Lage in Herbetswil, können Sie nicht nur ganztags die Sonne geniessen, auch viel Ruhe und einen wunderbaren Ausblick zeichnen das Objekt aus.Das gesamte Wohnungsangebot sowie weitere Details zum Ausbau finden Sie auf unserer Webseite.;3.5 rooms;87m²;CHF 490,000.–
Kanzleimattweg 11-13, 4143 Dornach;Neubauprojekt an bester Lage in Dornach;;5.5 rooms;206m²;Price on request
Oberer Brühlweg 39, 4143 Dornach;Neubauprojekt in Dornach;Das Mehrfamilienhaus mit 5 Wonungen ist in Planung (Zonenplanänderung in Dornach) die Lage lässt eine tolle Architektur mit exklusiver Bauweise zu.;5.5 rooms;132m²;CHF 1,590,000.–
Witterswilerstrasse, 4112 Bättwil;Sonnengarten in Bättwil (BL) - Zeitgemässes wohnen in einer grünen Oase!;;5.5 rooms;147m²;CHF 1,235,000.–
Stüsslingerstrasse 86, 5015 Erlinsbach SO;Einzigartige Gelegenheit: Neubauprojekt 4,5-Zimmer Einfamilienhaus;Einzigartige Gelegenheit: Neubauprojekt 4,5-Zimmer EinfamilienhausHaus A bereits verkauft! Nur noch Haus B verfügbar!!Meine grosszügige, Terrasse zum Vorgarten ist einfach grossartig. Es gibt viel Platz für einen Esstisch und eine Lounge, für einen gemütlichen Abend bei einem Glas Wein oder um im Sommer die sonnige Lage zu geniessen. Gerade auch für eine Familie mit Kindern ist es ideal, denn es gibt einen grossen Garten zum Herumtollen.Meine Highlights: • Neubau • Küche mit gehobener Ausstattung • Offener Koch- und Essbereich • Sonnendurchflutete Räume • Sitzplatz und Garten • Terrasse • Infrastruktur in Gehdistanz • Sehr sonnig • Die hinteren Grundstückteile der beiden Häuser befinden sich in der Landwirtschaftszone und könnten zu einem späteren Zeitpunkt umgezont werden • Kein Bedarf an einem Baufinanzierungsdarlehen oder zusätzlichen Kosten ? lediglich eine Anzahlung ist erforderlich, und die Restzahlung erfolgt bei der Schlüsselübergabe Mein Wohnzimmer ist grosszügig, mit viel Tageslicht und doch gemütlich. Der Zugang zum Koch- und Essbereich ist offen und die Küche ist sehr modern und hochwertig, mit einer Kochinsel und viel Stauraum. Ich besitze zwei Badezimmer, beide mit Dusche und Tageslicht. Alle Zimmer haben grosse Fenster für viel Licht und meine Lage ist generell sehr sonnig. Ich bin ein Neubauprojekt, und daher wird der Ausbaustandard sehr modern. Im ganzen Haus kann der Innenausbau mitgestaltet werden, so dass sie ihren persönlichen Wohntraum verwirklichen können. Zum Haus gehören zwei Carport Parkplätze. Im Keller gibt es viel Platz und die Möglichkeit einen tollen Hobbyraum einzurichten.;4.5 rooms;116m²;CHF 1,040,000.–
Wolfwilerstrasse 31, 4623 Neuendorf;8 individuelle 3½- und 4½ Zimmer-Eigentumswohnungen zu kaufen;;4.5 rooms;126m²;CHF 860,000.–
Poststrasse 69 B, 4558 Hersiwil;Einfamilienhaus mit Autounterstand und Greteraum in ländlicher Idylle;;4.5 rooms;;CHF 1,054,000.–
Gewerbestrasse, 4513 Langendorf;Erdgeschosswohnung mit privatem Gartenanteil;;3.5 rooms;99m²;CHF 675,000.–
Fustligweg 68, 4600 Olten;Urban und naturnah - Triplex-Eigentumswohnung im Stadthaus-Stil;5.5 Triplex-Wohntraum auf 3 Etagenmit 273 m2 Nutzfläche, Baubeginn im Februar 2024 erfolgt / Bezug ca. Sommer 2025Die Wohnungen befinden sich am Fustligweg in Olten, einer begehrten Lage direkt am Fusse des Säliwaldes. Die Lage bietet nicht nur eine grüne Umgebung, sondern auch eine ausgezeichnete Anbindung an die Infrastruktur.Sie geniessen nicht nur Ruhe und Natur, sondern profitieren auch von kurzen Wegen zu Einkaufsmöglichkeiten, Schulen und öffentlichen Verkehrsmitteln.Ihr individueller Wohntraum auf drei Niveaus exakt auf Ihre Bedürfnisse zugeschnitten und einmalig in der Region. • modernste, energieeffiziente Technik • Photovoltaik-Anlage für tiefe Nebenkosten • 2 separate Eingänge • 50 m2 grosser Wohnraum mit Küche • Gäste WC + Badezimmer • Schlafzimmer mit Ankleide • 2 separate Eingänge • grosse Gartenfläche Eingangsgeschoss mit 19 m2 grossem Studio für individuelle Bedürfnisse wie Fitness, Hobby, Spielzimmer, etc, 23 m2 Keller und eigenem Garten.Wohngeschoss mit Aussen-Sitzplatz und eigenem Eingang, Gäste-WC, 50 m2 grossem Wohnraum mit Essen und Küche, grossem überdachtem Balkon von über 18 m2.Obergeschoss mit Schlafzimmer und Ankleide und Balkon, 2 Zimmern und grossem Badezimmer mit Dusche und Badewanne.Diese grosszügige Triplex-Wohnung im Stadthaus-Stil bietet nicht nur attraktiven Wohnraum, sondern auch einen eigenen Aussenbereich/Garten und einen einmaligen Blick in den Jura. Die 3-geschossigen Wohnungen zeichnen sich durch modernes Design aus, das Funktionalität und Ästhetik vereint. Grosse Fensterfronten sorgen für lichtdurchflutete Räume und schaffen eine Verbindung zur malerischen Umgebung.Highlights:» Blick in den Jura, privilegierte und ruhige Lage» Materialien und Oberflächen nach Ihrem Gusto» lichtdurchflutete Architektur» 2 Balkone, 1 Aussensitzplatz und Garten» 2 Wohnungseingänge EG und UG» LED-Spots in der ganzen Wohnung eingebaut» Küche als zentrales Element» Garderobe und Treppenhaus-Schränke inklusive» Studio für individuelle BedürfnisseWir begleiten Sie persönlich von A-ZGerne begleiten wir Sie bei allen Fragen zum Wohnungskauf und bieten Ihnen durch unser fundiertes Wissen und langjähriger Erfahrung höchste Kompetenz.Wir beraten Sie hinsichtlich Vertragswesen, Finanzierung, Planung, Materialauswahl und Einrichtung. Zudem sind wir während der gesamten Bauzeit bis zu Ihrem Einzug und darüber hinaus mit einem starken Team für Sie da.Starten Sie jetzt Ihre Reise zu Ihrem neuen Zuhause!Persönlicher Kontakt: Frau Cheril Kaufmann / 076 371 22 00;5.5 rooms;158m²;CHF 1,225,000.–
Bühlhubelstrasse 7, 4622 Egerkingen;Wohnen mit Alpenblick in Egerkingen;;5.5 rooms;220m²;CHF 1,950,000.–
Buchenweg, 4622 Egerkingen;Einfamilienhaus in Holzbauweise;;5.5 rooms;;CHF 1,350,000.–
