Address;Title;Description;Rooms;Living Space (sqm);Price
1036 Sullens;Au coeur du village, 3.5 pièces dans les combles;"La PPE ""Aux Prés Saint-Pierre"" est formée de deux immeubles de 6 lots chacun et se situe au coeur du village de Sullens. Son environnement est calme et résidentiel tout en profitant d'une proximité immédiate aux commodités de premières nécessités.Au dernier étage, l'appartement est traversant et bénéficie d'une vaste terrasse-balcon sud-ouest. Extrêmement bien entretenu par son actuel propriétaire, ce 70 m² habitables est fonctionnel et ne nécessite aucuns travaux de rénovation.A noter qu'une pièce d'environ 20 m² dans les combles, directement accessible depuis le logement, permettrait avec quelques travaux de transformations d'y créer un espace additionnel.Une cave au sous-sol, un parking intérieur et de nombreuses places de parc extérieures complètent l'ensemble dont la disponibilité pourrait intervenir rapidement.";3.5 rooms;76m²;CHF 650,000.–
Ecublens VD, 1024 Ecublens VD;Elegance81 - Sur plan Villa C - Maison mitoyenne contemporaine de 4.5 pièces avec terrasse, balcon et jardin;;4.5 rooms;125m²;CHF 1,960,000.–
1317 Orny;Bel appartement dans les combles plus grande galerie et balcon, magnifique dégagement sur la campagne;Bel appartement dans les combles plus grande galerie et balcon, magnifique dégagement sur la campagneComblesHall d'entrée avec armoire vestiaire, dégagement, escalier d'accès au galetasWC visiteurs avec colonne pour lave et sèche-linge Séjour ouvert sur cuisine avec espace repas et accès sur le balconChambre parentale avec salle d'eau privative, douche, lavabo, wc et accès sur le balcon2 chambresSalle d'eau avec bain, lavabo, wcGaletasEspace de rangementAménageable en galerie, jeux, bureau, en plus-value Sous-sol1 cave privative 8,7 m2ExtérieursBalcon devant coin à manger-cuisine, chambre parentale ~ 12,9 m2Possibilité de place de parc dans garage souterrain et à l'extérieur en sus;4.5 rooms;113m²;CHF 990,000.–
1275 Chéserex;SUPERBE PROMOTION DE 2 VILLAS DE HAUT STANDING À DEUX PAS DU CENTRE-VILLE !;;5.5 rooms;150m²;CHF 2,160,000.–
1867 Ollon VD;Amplifiez votre qualité de vie, pour vous et votre famille !;Et si, pour votre lieu de vie, vous choisissiez l'équilibre entre le confort du neuf et la proximité de la nature ? Jardin privatif pour de nombreux appartements ! Le projet « de la Tour » est situé dans un quartier calme et résidentiel du village, profitant ainsi d'une situation privilégiée, proche de la nature et des installations modernes du village. Il répond aux exigences des personnes à la recherche d'un lieu de vie associant nature, standing, praticité et proximité avec les voies de communication. Une place importante est réservée aux espaces verts, à la vie familiale et à la sécurité des enfants.DES ESPACES INTERIEURS DE QUALITE Un soin particulier a été apporté aux espaces intérieurs, tant par les dimensions que par la qualité des matériaux. Tous les appartements disposent d'une cuisine ouverte sur le salon. Les trois et les quatre pièces bénéficient de deux salles de bains, l'une équipée d'une baignoire, l'autre d'une douche. Tous disposent d'un jardin potager privatif et de places de parc.Les matériaux sont de qualité, carrelage dans la cuisine et le salon, parquet dans les chambres. Tous les logements sont prolongés par un balcon couvert, suffisamment large pour pouvoir y manger. Leurs dimensions varient, bien sûr, selon la taille de l'appartement.Les appartements sont équipés avec la domotique pour piloter les lumières dans l'espace de vie et les stores sur écran tactile. Présentation domotique : https://youtu.be/4wfX57mm1NsCet appartement de 3.5 pces de 69.07 m2 est situé au 3ème étage est composé de la manière suivante :- Hall d'entrée vestiaire??- Grand et lumineux espace séjour - Belle cuisine ouverte sur le séjour et entièrement équipée - 1 belle chambre à coucher - Salle d'eau avec douche, WC et lavaboAnnexes : - 1 place de parc extérieure à Chf 15'000.- en sus et obligatoire- Cave comprise dans le prix- Buanderie communeLes points forts de cette promotion : - Du studio au 5.5 pces- Spacieux balcons, terrasses et jardins- Places de jeux pour vos enfants et espaces de vie communs- Production de chaleur et distribution au sol par pompe à chaleur air/eau- Panneaux solaires photovoltaïques - Thermostat pour chaque pièce- Compteur séparé pour chaque appartement- Stores électriques- Domotique pour la gestion de vos lumières et stores- Immeuble avec ascenseur, place de jeux et jardin privatif- Places de parc extérieure : CHF 15'000.- en sus- Arrêt de bus et gare à proximité- Ecoles, transports et commerces du village, à pieds !- À 3 minutes des accès autoroutiers - Proche du centre-ville de Collombey et de toutes ses commodités- livraison : Juin 2025Située dans le Chablais Vaudois, baignée par le soleil, qui l'illumine dès son lever derrière Le Muveran jusqu'à son coucher derrière Le Grammont, la Commune d'Ollon, la 6ème du Canton en terme de superficie, jouit d'un bienfaisant microclimat.S'étendant du Rhône (alt. 391 m) au Chamossaire (alt. 2'112 m), son paysage est harmonieusement composé de terres agricoles, de vignes, de forêts, de pâturages, de cours d'eau, au milieu desquels 23 villages et hameaux se sont confortablement érigés.Ollon est réputée pour ses grands vins et Villars pour son superbe domaine skiable. Notre territoire est aussi la terre d'accueil de nombreux artistes et sportifs renommés.www.ollon.chChez nous, la curiosité est un joli défaut ! Appelez- nous pour une visite ! ***RETROUVEZ TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH***;2.5 rooms;69m²;CHF 510,000.–
1010 Lausanne;Maison-appartement contemporaine et écoresponsable lot n°2;"Le cottage Valfaye vous propose 4 maisons-appartements, reflétant une architecture innovante proposant les qualités intrinsèques d'une maison ainsi qu'une construction de grande qualité.Ce projet s'inscrit dans une démarche éco-responsable. Chaque aspect de la construction a été soigneusement étudié pour réduire la consommation d'énergie, tout en offrant un confort moderne et optimal.La production de chaleur est assurée par une PAC à sondes géothermiques assurant un confort thermique par énergie renouvelable, tant en période hivernale (chauffage), qu'en période estivale (refroidissement), et une grande partie de l'auto-consommation du bâtiment par des panneaux solaires photovoltaïques, pour une énergie propre et durable. L'enveloppe du bâtiment est de qualité Minergie, attestant de sa haute performance énergétique.Afin de renforcer l'intégration du projet au sein de la lisière forestière existante qui borde à l'Est le ruisseau de Vennes affluant de la Vuachère, les espaces extérieurs du bâtiment sont plantés d'essences locales, garantissant l'intimité agréable de chaque habitation, tout en offrant une régulation thermique et hygrométrique en saison estivale.De plus, toutes les mesures constructives ont été prises pour assurer le confort des résidents et les protéger des nuisances internes et externes au bâtiment : vitrages acoustiques, surdimensionnement des murs et dalles entre logements, etc.Le lot 2 est une maison-appartement sur 3 niveaux de 4,5 pièces pour une surface habitable d'env. 117m2. L'espace d'entrée, situé au premier niveau, accessible indépendamment depuis la cour d'entrée, comprend de nombreuses armoires intégrées et dispose d'un WC visiteur.On accède ensuite au rez jardin par un bel escalier à une grande pièce de réception/séjour. Contemporaine et lumineuse, elle donne un accès direct à la terrasse/jardin privative. Cet espace séjour spacieux de 48m2 est composé d'un salon avec cheminée, d'une salle à manger et d'une cuisine équipée.La partie nuit, à l'étage, est composée de 2 chambres à coucher dotées d'une très grande hauteur sous toiture ainsi que de 2 salles d'eau. Afin d'optimiser l'espace et de profiter du très grand volume des chambres, des options de mezzanines sont également possibles à la demande des acheteurs.Une place de parc dans le parking souterrain qui jouxte directement les entrées des différentes maisons-appartements, ainsi qu'une cave attenante au logement complètent ce bien. Prix de vente de l'appartement: CHF 1'595'000.-Prix de vente parking souterrain: CHF 45'000.-Prix total: CHF 1'640'000.-Situé dans le quartier verdoyant et résidentiel de Valfaye, entre Chailly et La Sallaz, ce projet d'architectes, interprétation contemporaine des cottages anglais, bénéficie d'une situation unique en centre-ville. Implanté sur une parcelle bordée au Nord par une zone de verdure inconstructible, et à l'Est par un cordon boisé bordant le ruisseau de Vennes affluant de la Vuachère. Il offre un environnement naturel rare et préservé, tout en offrant de très beaux dégagements.L'accès au centre-ville, à la gare de Lausanne et à Ouchy s'effectue aisément par les transports publics (TL n°6 - arrêt devant la porte et M2). Les accès autoroutiers de Vennes sont à quelques minutes de routes.Cette nouvelle réalisation est proche des écoles primaires et secondaires (notamment de l'Ecole de Coteau Fleuri, de l'Ecole Internationale de Valmont, Collège des Fiches, Ecole de la Sallaz, Collège de Béthusy). Les écoles primaires sont toutes accessibles à pied.Les premiers commerces de proximité sont à moins de 100 mètres ; notamment un supermarché, un shop et un restaurant populaire connu des lausannois (300m). La place de La Sallaz, avec ses commerces, sa garderie, sa bibliothèque communale et sa station de métro M2, est à quelques minutes de marche (également accessible par bus TL";3.5 rooms;117m²;CHF 1,595,000.–
1510 Moudon;Quartier Saint-Michel Appartement 4.5 pces au 4e;LIVRAISON EN COURS? Appartement témoin à visiter : prenez rendez-vous dès aujourd'hui !? Visite 360° et informations sur www.quartier-saint-michel.ch/appartements-disponiblesSitué au coeur de la Suisse romande, sur la commune de Moudon, le quartier Saint-Michel bénéficie des avantages d'une petite ville dynamique à la campagne. Un cadre de vie apaisé à moins de 40 minutes de Lausanne, Yverdon, Fribourg, Bulle et Payerne.Vos avantages :- Aménagements intérieurs modernes et de qualité- Jardins privatifs, terrasses ou grands balcons- Succession d'espaces en gradins engazonnés et arborés- Place de jeux en bois- Site entièrement accessible par des chemins et des rampes- Parking visiteurs en surface- Parking souterrain voitures, motos et vélos61 appartements allant du 2.5 au 5.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur lieu de vie !***Lot B22 | Appartement de 4.5 pièces | 4eSurface habitable = 83 m2Balcon = 16 m23 chambres à coucherCuisine ouverteSalle de bain et douche/WC séparéeEspace buanderie (possibilité d'installer une colonne de lavage)Armoires murales à l'entréePlaces de parc : profonde simple avec espace + 4 places vélos;4.5 rooms;91m²;CHF 714,000.–
1316 Chevilly;Appartement neuf de 3.5 pièces avec balcon;"NOUVELLE PROMOTION ! Appartement traversant de 3.5 pièces de 91 m2 avec balcon de 4.7 m2.Vous appréciez la nature, le calme mais souhaitez également être proche des grandes villes ? Alors optez sans plus tarder pour la nouvelle promotion située au coeur du charmant village de Chevilly.Ce projet prévoit un immeuble de 10 appartements, de 2.5 et 3.5 pièces dès 51 m2 jusqu'à 91 m2. Tous les appartements disposent d'un balcon soit d'une terrasse. La Livraison est prévue été 2024.Cet appartement de 3.5 pièces se trouve dans les combles avec balcon.Il se compose d'une cuisine ouverte sur la salle-à-manger et le séjour donnant accès à la terrasse, deux grandes chambres à coucher, une salle de bains/WC et un réduit avec arrivée d'eau pour la avec colonne de lavage.Une cave et deux places de parc extérieures (CHF 50'000 en sus) complètent ce bien.Votre futur logement sera spacieux, confortable et adaptée à votre mode de vie.LES ATOUTS :- Production de chauffage: pompe à chaleur- Panneaux photovoltaïques pour une diminution des coûts de votre facture énergétique- Chaque appartement dispose d'une terrasse ou d'un balconLe village de Chevilly est situé dans le canton de Vaud en Suisse. C'est une commune qui fait partie du district de Morges.Chevilly est un petit village pittoresque, entouré de champs et de vignobles, typique de la région vaudoise. Il est situé dans la campagne, à quelques kilomètres au nord de la ville de Morges, qui est la principale ville de la région.Le village de Chevilly offre un cadre paisible et rural, avec des maisons traditionnelles en pierre et des paysages agricoles. Il est idéal pour ceux qui recherchent la tranquillité et l'authenticité de la vie villageoise suisse. Le canton de Vaud est réputé pour ses paysages variés.Le village est desservi par les commodités suivantes :- Arrêt de bus (Chevilly, Fontaine) ligne 760 en direction de Cossonay ou La Sarraz - 350m- Salon de coiffure - 15m- Restaurant - 300m- Cabinet de kinésiologie - 250mD'autres commodités se trouvent dans les villages / villes alentours :- Dizy - 2.4km - 4 minutes en voiture et 8 minutes en bus- La Sarraz - 4.7km - 8 minutes en voiture- Lausanne - 23km - 30 minutes en voiture- Morges - 18km - 25 minutes en voiture- Yverdon-les-Bains - 26km - 30 minutes en voitureLes crèches à proximité de votre future appartement sont :- L'Arlequin - Nurserie / Garderie - Enfants de 0 à 4 ans - La Sarraz - 8 minutes en voiture- Les Baladins - Garderie - Orny - 10 minutes en voiture- L'Oasis - Nurserie / Garderie - Enfants de 0 à 4 ans - Eclépens - 8 minutes en voiture- Les Chavannes - Nurserie / Garderie - Enfants de 0 à 4 ans - Cossonay - 8 minutes en voitureLe cercle scolaire obligatoire de Chevilly s'organise de la manière suivante actuellement :- 1P ? 2P et 3P ? 4P Lieu : Moiry Transports par bus scolaire (4 fois car les enfants rentrent à midi)- 5P ? 6P Lieu : La Sarraz Transports par bus scolaire (4 fois car les enfants rentrent à midi)- 7P à 11S Lieu : La Sarraz Transports par bus de ligne (MBC 10-760) Cantine scolaire à midi car horaire continu (1h15 de pause)VISITES ET INFORMATIONS BERNARD NICOD SA :Alexandra JEREZ 079 945 43 90 &amp; Tania LEITE 076 577 34 32alexandra.jerez@bernard-nicod.ch tania.leite@bernard-nicod.ch";3.5 rooms;87m²;CHF 730,000.–
1584 Villars le Grand;Idéal pour investisseurs (REN. env. 3.6 %);Érigé en 2022, cet immeuble bénéficie d'une situation unique au centre du village et vous fera profiter d'un revenu locatif de CHF 78'000.- NET/année, avec un rendement d'environ 3.6%.L’immeuble se compose de trois grands et spacieux appartements, tous loués, comme suit : Le rez-de-chaussée est composé de :- Duplex de 6.5 pièces d’environ 229 m2 (loué à CHF 2'600.- /mois charges comprises)- Duplex de 5.5 pièces d’environ 149 m2 (loué à CHF 2'350.- /mois charges comprises)Le premier étage bénéficie de :- Duplex 5.5 pièces d’environ 235 m2 (loué à CHF 2'350.- /mois charges comprises)À noter qu’il existe la possibilité de créer un, voire deux, logement(s) supplémentaire(s).Contactez-moi pour la présentation de l'ensemble du projet, fiches techniques et autres documents, je me ferai un plaisir de vous renseigner ! 079 734 24 17 Grégory Seydoux - Courtier;16 rooms;613m²;CHF 2,190,000.–
Route de la Maladière, 1022 Chavannes-près-Renens;Magnifiques appartements à proximité immédiate de l'UNIL et de l'EPFL;;4.5 rooms;;Price on request
