Address;Title;Description;Rooms;Living Space (sqm);Price
Dorfstrasse 40b, 6319 Allenwinden;Wohnung 5.5 Zimmer;;5.5 rooms;160m²;Price on request
Dorfstrasse 40b, 6319 Allenwinden;Gartenwohnung 4.5 Zimmer;;4.5 rooms;132m²;Price on request
6318 Walchwil;Ihr massgeschneidertes Zuhause mit Seesicht in Walchwil bei Zug;Die drei »Penthouse Duplex« bieten unter anderem einen privilegierten Logenplatz mit Blick auf die spektakulären Sonnenuntergänge über dem Zugersee. Beobachten Sie, wie die Gipfel der Berge im letzten Sonnenlicht zu glühen scheinen.Die 6.5 bis 8.5-Zimmer-Luxus-Maisonettewohnungen mit ca. 255 bis 297 m2 Verkaufsfläche überzeugen mit einem loftartigen Penthouse-Wohnraum und Küche, Essbereich, grosszügiger Terrasse, einer Master-Suite mit Ankleide und luxuriösem Bad sowie charmanten Wohn- und Schlafsuiten mit eigenen Bädern.– Baubewilligung erteilt, Erstbezug Mitte 2025– Hervorragende zeitgenösische Architektur, klare Formen, Lichtfülle– Traumhafte See- und Weitsicht– Einmalige Lage mitten in der Natur– Mehrere, grosszügige Sonnenterrassen und Sitzplätze– Exklusive Innenmaterialisierung von höchstem Standard Damit Sie Ihren eigenen massgeschneiderten Wohntraum verwirklichen können, stehen Ihnen grosszügige Budgets für Küche, Bad, Schreinerarbeiten sowie Wand- und Bodenbeläge zur Verfügung. – Ein Projekt von Xania Real Estate Zurich.– Luxuriöse Schlafzimmer mit En-Suite Badezimmer– Lift direkt in die Einheiten– Cheminée auf Wunsch– Grossräumiger, klimatisierter Weinkeller– Hochwertige Einbauschränke– Alarmanlage– Photovoltaikanlagen und Wärmepumpen– E-Ladestationen für ElektroautosKontaktieren Sie uns, wir freuen uns auf Ihre Kontaktaufnahme und stehen für allfällige Fragen jederzeit zur Verfügung!;8.5 rooms;262m²;Price on request
Lorzenparkstrasse 17, 6330 Cham;Erstbezug: Stilvoll ausgebaute 2.5-Zimmer-Wohnung mit Aussicht auf die Lorzenebene;"Diese traumhafte 2.5-Zimmer-Wohnung befindet sich im 1. OG und weist eine Raumhöhe von 2.55 m auf. Die Aussicht auf die Lorzenebene ist unverbaubar. Der 20 m2 grosse, gedeckte Balkon ist von jedem Zimmer aus zugänglich. Da er sich Balkon im Südwesten befindet, verspricht er viel Sonne tagsüber sowie herrliche Sonnenuntergänge am Abend. Die Wohnung verfügt neben dem riesigen Wohn- und Essbereich mit Küche über ein gut möblierbares Schlafzimmer und ein Bad mit Dusche. Waschmaschine und Tumbler befinden sich in einem separaten Reduit. Die Einbauschränke befinden sich beim Wohnungseingang. Die hochwertige Qualität des stilvollen Innenausbaus widerspiegelt sich u.a. in folgenden Details: • Exklusive Design-Küche von POGGENPOHL • Combi-Steamer, Backofen uvm. von V-ZUG • Induktionskochfeld und Kochfeldabzug von BORA, schwarze Armaturen von HANSGROHE • Elegantes Bad mit bodenebener Dusche, Rainshower, Nische, wandbündigem Doppelspiegelschrank, Unterbaumöbel vom Schreiner mit Holzfront uvm. • Keramikplatten in weisser Marmoroptik und Feinsteinzeugplatten 60x60 cm in den Bädern • Hochwertige Parkettböden von BAUWERK Villapark 210x19 cm, ruhige Sortierung, in allen Zimmern • Riesiger Balkon nach Süd-Westen ausgerichtet mit viel Sonne tagsüber und Abendsonne, mit Holzdeck, Wasseranschluss uvm. • Motorisierte Storen und Markisen, Freecooling, Raumhöhe 2.55 m • Bezug: ab sofort Neben dieser Wohnung stehen weitere 2.5-Zimmer-Wohnungen zum Verkauf. Sie befinden sich im EG und im 2. bis 5. OG. Die Qualität des Innenausbaus ist bei allen Wohnungen sehr hoch. Unterschiede gibt es in der Materialisierung und beim Küchenlayout (Inselküche). Kontaktieren Sie uns für mehr Informationen.Direkt neben der Lorze und zwischen den Wirtschaftszentren Luzern und Zürich entstand auf dem Areal CHAMA das Wohnhaus Columbus; hochwertige Eigentumswohnungen mit unverbaubarer Aussicht ins Grüne. Die ersten Wohnungen wurden bereits bezogen. Durchstöbern Sie die Webseite und entdecken Sie das abwechslungsreiche Wohnungsangebot mit vielen interessanten Informationen, Bildern und 360°-Rundgängen. Das aktuelle Wohnungsangebot im Columbus : • 2½-Zimmer-Wohnungen ab CHF 1'270'000.- • 3½-Zimmer-Wohnung: CHF 1'790'000.- (letzte Wohnung) • 4½-Zimmer-Wohnung: CHF 2'090'000.- (letzte Wohnung) • 4½-Zimmer-Garten-Duplex-Wohnung: CHF 2'380'000.- (letzte Wohnung) • 5½-Zimmer-Wohnung: letzte Wohnung reserviert";2.5 rooms;70m²;CHF 1,270,000.–
Lorzenparkstrasse 21, 6330 Cham;Jetzt bezugsbereit: 4.5-Zimmer-Wohnung mit herrlicher Weitsicht und Abendsonne;"Diese 4.5-Zimmer-Wohnung im 3. OG profitiert von einem wunderbaren Weitblick über die Lorzenebene. Auf 117 m2 Wohnfläche verteilen sich drei Schlafzimmer, zwei Bäder, ein riesiger Wohn-/Essbereich mit rund 50 m2 und ein separates Reduit mit WM/T. Die Raumhöhe beträgt in der ganzen Wohnung 2.55 m. Der schöne Balkon mit unverbaubarer Sicht ins Grüne ist nach Südwesten ausgerichtet und verspricht viel Sonne tagsüber sowie herrliche Sonnenuntergänge am Abend. Die Einbauschränke befinden sich beim Wohnungseingang. Die hochwertige Qualität des eleganten Innenausbaus widerspiegelt sich u.a. in folgenden Details: • Exklusive Design-Küche von POGGENPOHL, sandfarben • Weinschrank, Combi-Steamer, Backofen uvm. von V-ZUG • Induktionskochfeld und Kochfeldabzug von BORA • Elegante Bäder mit bodenebener Dusche, Rainshower, Nische, wandbündigen Spiegelschränken, Unterbaumöbel vom Schreiner uvm. • Durchgefärbte Feinsteinzeugplatten in edlem Anthrazit, 60x60 cm • Hochwertige Parkettböden von BAUWERK, Studiopark, 170x15 cm, naturgeölt • Balkon nach Südwesten ausgerichtet mit viel Sonne tagsüber und Abendsonne, mit Holzdeck, Wasseranschluss uvm. • Motorisierte Storen und Markisen, Freecooling, Raumhöhe 2.55 m • Bezug: ab sofort Bei den Bildern und dem virtuellen Rundgang in diesem Inserat handelt es sich um eine ähnliche Wohnung im 1. OG. Die Materialisierung der ausgeschriebenen Wohnung (3. OG) weicht leicht davon ab (z.B. hellere Küche, Farbe: Sand).Neben dieser Wohnung steht eine weitere 4.5-Zimmer-Wohnung zum Verkauf. Es handelt sich dabei um eine Duplex-Wohnung mit privaten Garten (134 m2 Wohnfläche und ca. 110 m2 Aussenfläche). Diese Wohnung ist per Ende Oktober bezugsbereit und wird ebenfalls sehr hochwertig ausgebaut. Kontaktieren Sie uns für mehr Informationen.Direkt neben der Lorze und zwischen den Wirtschaftszentren Luzern und Zürich entstand auf dem Areal CHAMA das Wohnhaus Columbus; hochwertige Eigentumswohnungen mit unverbaubarer Aussicht ins Grüne. Die ersten Wohnungen wurden bereits bezogen. Durchstöbern Sie die Webseite und entdecken Sie das abwechslungsreiche Wohnungsangebot mit vielen interessanten Informationen, Bildern und 360°-Rundgängen. Das aktuelle Wohnungsangebot im Columbus : • 2½-Zimmer-Wohnungen ab CHF 1'270'000.- • 3½-Zimmer-Wohnung: CHF 1'790'000.- (letzte Wohnung) • 4½-Zimmer-Wohnung: CHF 2'090'000.- (letzte Wohnung) • 4½-Zimmer-Garten-Duplex-Wohnung: CHF 2'380'000.- (letzte Wohnung) • 5½-Zimmer-Wohnung: letzte Wohnung reserviert";4.5 rooms;117m²;CHF 2,090,000.–
Schönwart, 6314 Unterägeri;The Nest, exklusive 4.5 Zimmerwohnung;;4.5 rooms;128m²;CHF 2,580,000.–
6318 Walchwil;Ihr massgeschneidertes Zuhause über 3 Etagen mit Seesicht in Walchwil bei Zug;In den drei »Townhouses« eröffnet sich – nur 15 Gehminuten von Seeufer und Dorfzentrum entfernt – eine herrliche Aussicht über die glitzernde Wasserfläche des Zugersees. Im angrenzenden Wald fliesst der Dorfbach plätschernd ins Tal.Die drei 7-Zimmer-Townhouses mit ca. 290 m2 Verkaufsfläche beeindrucken mit einem loftartigen Penthouse-Wohnraum und Küche, Essbereich, Terrasse, einer Master-Suite mit Ankleide und schönem Bad, charmanten Wohn- und Schlafsuiten mit eigenen Bädern sowie einer weiteren Terrasse am Wintergarten des Gartengeschosses. Dort liegt noch ein weiterer Raum mit Bad, der als dritte Wohnsuite oder als inspirierendes Homeoffice eingerichtet werden kann.– Baubewilligung erteilt, Erstbezug 2026– Hervorragende zeitgenösische Architektur, klare Formen, Lichtfülle– Traumhafte See- und Weitsicht– Einmalige Lage mitten in der Natur– Mehrere, grosszügige Sonnenterrassen und Sitzplätze– Exklusive Innenmaterialisierung von höchstem Standard Damit Sie Ihren eigenen massgeschneiderten Wohntraum verwirklichen können, stehen Ihnen grosszügige Budgets für Küche, Bad, Schreinerarbeiten sowie Wand- und Bodenbeläge zur Verfügung. – Ein Projekt von Xania Real Estate Zurich.– Luxuriöse Schlafzimmer mit En-Suite Badezimmer– Lift direkt in die Einheiten– Cheminée (optional)– Grossräumiger, klimatisierter Weinkeller– Hochwertige Einbauschränke– Alarmanlage– Photovoltaikanlagen und Wärmepumpen– E-Ladestationen für ElektroautosKontaktieren Sie uns, wir freuen uns auf Ihre Kontaktaufnahme und stehen für allfällige Fragen jederzeit zur Verfügung!;7 rooms;291m²;Price on request
6300 Zug;Gehobenes Wohnen am Zugerberg;Die Maisonette-Wohnung liegt in einem beliebten und familienfreundlichen Wohnquartier umgeben von viel Grün und einladenden Begegnungsplätzen.Hervorzuheben • 170 m2 Wohnfläche • 195 m2 Gesamtfläche • 3 Schlafzimmer • 2 Badezimmer • Grosszügiger Wohn- und Essbereich mit direktem Zugang zur Terrasse • Moderne Küche mit hochwertigen V-Zug Geräten • Terrasse mit guter Besonnung und schöner Sicht auf den Zugersee und die umliegenden Berge • Einbauschränke bieten viel Stauraum • Hobbyraum und Keller in Wohnung integriert • Lift Verkaufspreis: CHF 3'950'000 + 2 Parkplätze in der Tiefgarage à je CHF 50'000 = Total CHF 4'050'000Bei Interesse stellen wir Ihnen gerne die detaillierte Dokumentation zu.The maisonette apartment is located in a popular and family-friendly residential area surrounded by greenery and inviting meeting places.Noteworthy • 170 m2 Living area • 195 m2 Total area • 3 bedrooms • 2 bathrooms • Spacious living and dining area with direct access to the terrace • Modern kitchen with high-quality V-Zug devices • Terrace with many hours of sunshine and view over Lake Zug and the surrounding mountains • Built-in wardrobes offer plenty of storage space • Cellar and hobby room are integrated in the apartment • Lift Selling price: CHF 3'950'000 + 2 parking spaces in garage CHF 50'000 each = Total CHF 4'050'000If you are interested, we will be happy to send you the detailed documentation.;4.5 rooms;170m²;CHF 3,950,000.–
Lorzenparkstrasse 17, 6330 Cham;Nachhaltige Materialien, hochwertiger Innenausbau: Neubauwohnung mit unverbaubarer Sicht auf den Lorzenraum;"Diese 3.5-Zimmer-Wohnung im Hochparterre überzeugt mit ihrem einmaligen Grundrisskonzept. Auf grosszügigen 105 m2 verteilen sich zwei Schlafzimmer, zwei Bäder, ein riesiger Wohn-/Essbereich mit rund 50 m2 und ein separates Reduit mit WM/T. Die Raumhöhe im Wohnbereich mit knapp drei Metern und der Balkon mit unverbaubarer Sicht ins Grüne auf den Lorzenraum sind fantastisch. Die Wohnung wurde nach der Ausbaulinie Sustainable ausgebaut. Eine Vielzahl der Elemente im Innenausbau bestehen aus nachhaltigen, recycelten, umweltfreundlichen und umweltverträglichen Materialien.Die hochwertige Qualität des nachhaltigen Innenausbaus widerspiegelt sich u.a. in folgenden Details: • Exklusive Design-Küche von POGGENPOHL • Combi-Steamer, Backofen, Wärmeschublade uvm. von V-ZUG • Induktionskochfeld und Kochfeldabzug von BORA, Armaturen von HANSGROHE • Elegante Bäder mit bodenebener Dusche, wandbündigen Spiegelschränken, Nische, Unterbaumöbel vom Schreiner mit Holzfront uvm. • MOSA Fliesen in den Bädern (nachhaltig produziert, aus recycelten Materialien) • Hochwertige Parkettböden von BAUWERK aus Schweizer Altholz in allen Zimmern • Überhoher Balkon nach Süd-Westen ausgerichtet mit viel Sonne tagsüber und Abendsonne, mit Holzdeck, Wasseranschluss uvm. • Motorisierte Storen und Markisen, Freecooling, Raumhöhe 2.55 m bis 2.88 m • Bezug: ab sofort Direkt neben der Lorze und zwischen den Wirtschaftszentren Luzern und Zürich entstand auf dem Areal CHAMA das Wohnhaus Columbus; hochwertige Eigentumswohnungen mit unverbaubarer Aussicht ins Grüne. Die ersten Wohnungen wurden bereits bezogen. Durchstöbern Sie die Webseite und entdecken Sie das abwechslungsreiche Wohnungsangebot mit vielen interessanten Informationen, Bildern und 360°-Rundgängen. Das aktuelle Wohnungsangebot im Columbus : • 2½-Zimmer-Wohnungen ab CHF 1'270'000.- • 3½-Zimmer-Wohnung: CHF 1'790'000.- (letzte Wohnung) • 4½-Zimmer-Wohnung: CHF 2'090'000.- (letzte Wohnung) • 4½-Zimmer-Garten-Duplex-Wohnung: CHF 2'380'000.- (letzte Wohnung) • 5½-Zimmer-Wohnung: CHF 2'370'000.- (letzte Wohnung)";3.5 rooms;105m²;CHF 1,790,000.–
Lutisbachweg 5, 6315 Oberägeri;EDENBLICK - In 15 Minuten im Paradies;"Hier sind Sie auf der Sonnenseite zuhauseIn Oberägeri entsteht an optimal besonnter Lage das Neubauprojekt ""EDENBLICK Ägerisee"" mit 90 modernen 2.5- bis 5.5- Zimmer-Eigentumswohnungen in 10 Mehrfamilienhäusern, welche voraussichtlich ab 2025 bezugsbereit sind.Sämtliche Unterlagen können Sie auf unserer Website unter Downloads heruntergeladen werden. • Termin online buchen - bitte Link kopieren: https://outlook.office365.com/owa/calendar/Edenblick@mobimo.onmicrosoft.com/bookings/Alle Wohnungen zeichnen sich durch folgende Annehmlichkeiten und Vorzüge aus: • Offene und interessante Grundrisse • Attraktives Aussenraumkonzept • Hochwertige und natürliche Materialien • Energieeffiziente Technologien • Private, nach Süden ausgerichtete Balkone / Terrassen • Seeparzelle zur Mitbenützung • Traumhafte Aussicht auf den Ägerisee und Alpengipfeln • Angenehmes Wohnklima durch Free-Cooling und Komfortlüftung EDENBLICK ist nachhaltig: • Die Heizung erfolgt per Wärmetauscher über die Seewassernutzung • Den Strom liefern Photovoltaik-Anlagen auf den Hausdächern. Diese speisen auch die Auto-Ladestationen in den Tiefgaragen Oberägeri bietet als Lage: • Oberhalb der Nebelgrenze • Vielzahl von lokalen Lebensmittelgeschäften und Hofläden • Attraktive Nähe zu Zug, Zürich und Luzern • Gute Verkehrsanbindung • Steuergünstige Gemeinde Nähere Infos erfahren Sie auf unserer Projekt-Website www.edenblick.ch. Konnten wir Ihr Interesse wecken?Termine für eine Besprechung direkt online buchen: Auf unserer Homepage: www.edenblick.ch. Wir freuen uns auf Sie.";4.5 rooms;125m²;CHF 2,220,000.–
