Address;Title;Description;Rooms;Living Space (sqm);Price
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 2.5- bis 5.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 3.5-Zimmerwohnung Nr. 303 mit ca. 108.9 m2 Wohnfläche, grosszügigem Balkon (18.2 m2) und einem Wintergarten (10.8 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;3.5 rooms;109m²;CHF 1,875,000.–
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 3.5- bis 4.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 3.5-Zimmerwohnung Nr. 203 mit ca. 108.9 m2 Wohnfläche, grosszügigem Balkon (18.2 m2) und einem Wintergarten (10.8 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;3.5 rooms;109m²;CHF 1,850,000.–
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 2.5- bis 5.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 4.5-Zimmerwohnung Nr. 002 mit ca. 107.6 m2 Wohnfläche, grosszügigem Sitzplatz (30.9 m2) und einem Gartenanteil (166.8 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;4.5 rooms;108m²;CHF 1,840,000.–
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 2.5- bis 5.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 4.5-Zimmerwohnung Nr. 401 mit ca. 111.9 m2 Wohnfläche, grosszügiger Terrasse (27.5 m2) und einem Keller (8 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;4.5 rooms;112m²;CHF 2,350,000.–
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 2.5- bis 5.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 4.5-Zimmerwohnung Nr. 102 mit ca. 119.9 m2 Wohnfläche, grosszügigem Balkon (18.2 m2) und einem Wintergarten (10.8 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;4.5 rooms;120m²;CHF 1,940,000.–
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 2.5- bis 5.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 3.5-Zimmerwohnung Nr. 201 mit ca. 96 m2 Wohnfläche, grosszügigem Balkon (19.5 m2) und einem Wintergarten (9.4 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;3.5 rooms;96m²;CHF 1,755,000.–
Immenweg 35, 8050 Zürich;HONEY LANE, Zürich-Oerlikon - Willkommen im süssen Leben.;Grosszügiges, beschauliches und zentrales Wohnen in Zürich-Oerlikon - das erwartet Sie im Projekt HONEY LANE, am Immenweg 35. Der Baustart ist erfolgt und erste Wohnungen wurden bereits notariell beurkundet. An erstklassiger Lage, unweit von Schulen, Bahnhof, Einkauf und Naherholungszonen, entstehen 13 exklusive 2.5- bis 5.5-Zimmer-Eigentumswohnungen. Das ruhige Wohnquartier verspricht kultiviertes Ausspannen nur einen Katzensprung entfernt von der urbanen Zürcher Betriebsamkeit. Sichern Sie sich noch eine der verfügbaren Wohnungen: 4 x 3.5-Zi-Geschosswohnungen (Nr. 201, 203, 301 und 303) 1 x 4.5-Zi-Gartenwohnung (Nr. 002) 1 x 4.5-Zi-Geschosswohnung (Nr. 102) 1 x 4.5-Zi-Attikawohnung (Nr. 401) Diese 3.5-Zimmerwohnung Nr. 301 mit ca. 96 m2 Wohnfläche, grosszügigem Balkon (19.5 m2) und einem Wintergarten (9.4 m2) überzeugt mit zwei vollwertigen Nasszellen, viel Stauraum in Reduit und Einbaugarderobe sowie einem herrlichen, offenen Wohn- und Essbereich. Dank zusätzlicher Budgetpositionen haben Sie die Möglichkeit den hochwertigen Innenausbau individuell anzupassen. Der Bezug der Wohnungen ist per Frühling 2026 geplant. Für weitere Auskünfte oder eine persönliche Beratung sind wir gerne jederzeit für Sie erreichbar und freuen uns auf Ihre Kontaktaufnahme unter 044 809 80 80 oder christoph.steiner@it3.ch.;3.5 rooms;96m²;CHF 1,780,000.–
Ueberlandstrasse 18, 8953 Dietikon;Luxus in der Höhe - Penthouse im Limmat Tower zum Verkauf;;3.5 rooms;110m²;Price on request
Dammstrasse 2, 8180 Bülach;Attikawohnung mit 2 Terrassen von 23.5 + 19.5 m² und wunderbarer Weitsicht;"Zwischen Bahnhof und Altstadt erstellen wir die attraktive Überbauung ""SUNSET BÜLACH"" an der Dammstrasse 2 mit gut konzipierten Eigentumswohnungen im MINERGIE-Standard und Gewerberäumen. Sämtliche Wohnungen sind grosszügig dimensioniert. Wohn-, Esszimmer und Küche bilden einen zusammenhängenden Raum. Für einen hohen Wohn- und Erholungskomfort verfügen die Wohnungen über einen grossen Balkon, eine Loggia oder eine Terrasse sowie einen Waschturm (Waschmaschine/Trockner) in den Nasszellen integriert. Das Raumangebot umfasst: 2 Gewerberäume im Erdgeschoss 4 2.5-Zimmer-Obergeschosswohnungen 4 3.5-Zimmer-Obergeschosswohnungen 8 4.5-Zimmer-Obergeschosswohnungen 3 3.5-Zimmer-Attikawohnungen verkauft/frei Tiefgaragenplätze stehen selbstverständlich im 1. / 2. Untergeschoss ab CHF 45'000.-- zur Verfügung. Möchten Sie mehr Informationen zu dieser interessanten Überbauung? Gerne stellen wir Ihnen die umfassende Verkaufsdokumentation zu und vereinbaren Sie einen Besprechungstermin bei uns auf dem Büro. Wir freuen uns auf Ihren Anruf.";3.5 rooms;107m²;CHF 1,525,000.–
Landstrasse 11, 8248 Uhwiesen;«Spitzwis» - die zeitlose Eleganz;;2.5 rooms;43m²;CHF 490,000.–
