Address;Title;Description;Rooms;Living Space (sqm);Price
1723 Marly;Votre rêve à portée de main (Lot 1);Logé au sein d'une petite PPE de trois logements, au coeur de Marly, ce magnifique 2.5 pièces saura vous charmer par sa typologie, ses beaux espaces et ses matériaux de qualité.Dans la partie jour, vous découvrirez une vaste et lumineuse pièce de vie. Elle sera pourvue d'un séjour et d'un espace dînatoire communiquant avec une cuisine moderne totalement équipée avec des électroménagers de qualité, vous offrant de multiples rangements. Grâce aux belles baies vitrées, vous disposerez d’un accès direct à sa spacieuse terrasse afin de profiter des journées ensoleillées.La partie nuit se composera de trois spacieuses et lumineuses chambres à coucher, dont une magnifique suite parentale avec douche et WC pour une intimité à nulle autre pareille. Une superbe salle de bains sera conçue dans le but d'agrémenter ces belles pièces et vous fera profiter de tout le confort nécessaire au bien-être.Une place de parc couverte, à CHF 20'000.- en SUS du prix de vente, viendra compléter ce bien d’exception. Vous l'aurez compris, si vous êtes tenté par un bien conjuguant confort et bien-être, il n'y a plus à hésiter ! Venez visiter ! Grégory Seydoux - Courtier - 079 734 24 17;2.5 rooms;30m²;CHF 958,650.–
1624 Grattavache;"NOUVEAU PROJET ""LA LESSA"" DE 8 VILLAS JUMELLES CONTEMPORAINES";;2.5 rooms;190m²;CHF 1,033,350.–
1676 Chavannes-les-Forts;MAGNIFIQUE APPARTEMENT DE 2.5 PIECES AVEC VUE SUR LA CAMPAGNE;;2.5 rooms;30m²;CHF 778,120.–
1676 Chavannes-les-Forts;BEL APPARTEMENT DE 2.5 PCES AVEC UNE VUE PANORAMIQUE;;2.5 rooms;120m²;CHF 778,120.–
Impasse de Vulliama, 1489 Estavayer;Devenez propriétaire avec la location-achat;;2.5 rooms;130m²;CHF 783,100.–
1720 Corminboeuf;Spacieux 1.5 pièces avec balcon de 16 m2 exposé plein Sud, dans nouvelle promotion de standing au coeur de Corminboeuf;"Nouvelle promotion de standing au coeur de Corminboeuf !Rare à la vente !A réserver sans tarder !Idéal pour y résider ou pour faire un investissement rentable et pérenne.Pour les primo-acquérants et en cas de première acquisition, dans le canton de Fribourg, pour sa résidence principale, pour une durée minimale de 2 ans sans revendre, un abattement de CHF 500'000.- est opéré sur le prix de vente pour le calcul du droit de mutation et pour un bien vendu jusqu'à 1 mio ; un abattement de CHF 250'000.- est opéré sur le prix de vente pour le calcul du droit de mutation pour un bien vendu entre CHF 1 mio et CHF 1,5 mios !Le Clos de la Forêt est un bijou architectural aux portes de Fribourg.L'environnement est résidentiel, calme, à l'abri des nuisances et à proximité immédiate de toutes les commodités.Ce superbe projet, savamment pensé par un cabinet d'architectes régional reconnu, est contemporain et résolument moderne.Il est parfaitement intégré dans son environnement ; il abritera 9 appartements haut de gamme.Tous les lots ont été conçus de manière optimale et rationnelle, tant au niveau de la répartition de leurs pièces que par leurs aménagements de qualité, optimisés avec beaucoup de goût.Les matériaux, les équipements et les finitions seront de très bonne qualité; les appartements bénéficieront de confortables espaces baignés de lumière au travers de larges baies vitrées ; ils sauront combler une clientèle exigeante recherchant un cadre de vie unique, bucolique et un habitat de standing, proche du centre de Fribourg.L'immeuble, disposera d'un accès direct sur la promenade longeant le Tiguelet.Le Jardin et tous les balcons-terrasses seront exposés plein Sud avec vue sur le Tiguelet et la campagne environnante.L'immeuble jouira de caves, d'un local à vélos-poussettes et de places de parc extérieures, couvertes pour certaines.Immeuble et appartements adaptés aux personnes à mobilité réduite.Fenêtres en triple-vitrages, stores- électriques.Production de chauffage au sol et d'eau chaude sanitaire assurés par une PAC.L'immeuble disposera de panneaux solaires photovoltaïques.Charges de PPE réduites.Budgets cuisines, sanitaires et revêtements sols confortablesL'appartement 1.4 est sis au 1er étageSurface habitable : 26 m2Surface balcon : 16 m2Surface pondérée : 28 m2Distribution détaillée :- Spacieux hall d'entrée avec penderie- Confortable salon-salle à manger avec accès balcon- Cuisine ouverte parfaitement équipée- Balcon de 16 m2 exposée plein Sud- Couloir de distribution- Chambre de 12.20 m2- Salle d'eau avec douche, vasque, WC et colonne de lavage- Chambre de 16.20 m2 avec salle d'eau privative- Salle d'eau privative avec baignoire, double vasques et WCAnnexes :- Cave- Place de place de parc extérieurePrix de vente : CHF 739'000.-Place de parc extérieure : CHF 38'000.-N'hésitez pas à nous contacter pour en savoir plus et organiser une visite des lieux sans tarder !Contact et informations :Patrick Darbois079/ 688 91 42patrick@pdarboisimmobilier.chhttps://www.pdarboisimmobilier.chVous souhaitez mettre en vente votre bien immobilier ?Contactez-nous sans engagement et nous viendrons vous rencontrer pour estimer gratuitement votre objet !";1.5 rooms;26m²;CHF 920,050.–
Rue du Château, 1482 Cugy FR;Magnifiques 1.5 pièces à construire;;1.5 rooms;18m²;CHF 560,250.–
1614 Granges;Promotion de 6 appartements de 1.5 pièces - PERMIS EN FORCE - OPPORTUNITÉ À NE PAS MANQUER;Parfaitement situé dans un quartier résidentiel bénéficiant d'un environnement privilégié à 350 m. du centre du village de Granges, ce projet immobilier de 6 appartements neufs est vendu sur plan. Il bénéficie d'une architecture à la fois moderne et villageoise le tout dans un cadre tranquille et verdoyant.Répondant à des critères de qualité et de confort, cette réalisation en ossature bois propose tous les atouts recherchés par des futurs propriétaires souhaitant bénéficier des avantages indéniables d'une vie villageoise tout en étant à proximité des centres-villes.Les appartements ont été soigneusement configurés afin d'optimiser les espaces de vie mis en valeur par une luminosité naturelle. Les distributions intérieures sont fonctionnelles et optimales offrant de vraies pièces agréables à vivre au quotidien.Chaque appartement au rez-de-chaussée disposera d'une surface habitable de 23 m2 et d'une terrasse de 30 m2 - Lot 1 et 2.Tous les lots appartements au premier et deuxième étage disposeront d'une surface habitable de 23 m2 et d'un balcon de 3.4 m2 - lots 3,4,5 et 6.La production de chaleur est effectuée par une pompe à chaleur air-eau ainsi que des panneaux solaires et est distribuée par chauffage au sol.La résidence se trouve à 5 min à pied de l'arrêt de bus. L'hypercentre de Vevey est situé à 18 min en voiture et Forel Châtel-Saint-Denis tous deux respectivement à 10 min. en voiture.Prix appartements sans place de parc :1 cave par appartement 1 place de parc extérieure couverte en sus à 25'000.- / unitéLot 1 CHF 590'000.- Rez-de-chaussée : terrasse 1.5 piècesLot 2 CHF 590'000.- Rez-de-chaussée : terrasse 1.5 piècesLot 3 CHF 570'000.- Premier étage - balcon 1.5 piècesLot 4 CHF 570'000.- Premier étage - balcon 1.5 piècesLot 5 CHF 580'000.- Deuxième étage - balcon 1.5 piècesLot 6 CHF 580'000.- Deuxième étage - balcon 1.5 piècesDisposition :- 2 chambres à coucher- 2 douches italiennes- 1 cuisine - salon- séjour -living- Balcon ou terrasse- 1 WCN'hésitez pas à nous contacter pour plus d'informations ainsi que l'organisation d'un premier rendez-vous selon vos disponibilités.;1.5 rooms;23m²;CHF 722,100.–
Villorsonons à 8 minutes de Romont, 1680 Romont FR;À 8 min. de Romont, Villorssonens, construction neuve, appartement de 1.5 pces à vendre;;1.5 rooms;23m²;CHF 571,450.–
1785 Cressier FR;A 5 minutes du lac de Morat CRESSIER Résidence Erbina;"La nouvelle promotion ""Résidence Erbina"" jouit d'un emplacement idéal dans la commune de Cressier (FR), à proximité des commodités tout en restant au coeur de la nature.Le projet propose 2 appartements de 3.5 pièces ainsi que de 4 maisons contiguës de 2.5 pièces. Les surfaces habitables varient entre 89 m2 à 180 m2. Une généreuse terrasse complète chaque bien. Le projet est synonyme de parfaite harmonie entre nature et modernité. Tout a été imaginé avec goût, conçu avec des matériaux de qualité et réalisé afin de bénéficier d'un cadre de vie exceptionnel.Des places de parc souterraines sont disponibles en sus du prix de vente.De plus amples informations sont disponibles sur www.erbina-cressier.ch";2.5 rooms;180m²;CHF 1,108,050.–
