Address;Title;Description;Rooms;Living Space (sqm);Price
2014 Bôle;Villa individuelle 2.5 pièces !;;2.5 rooms;190m²;CHF 1,680,750.–
Rue Edouard-Dubied 13, 2108 Couvet;Villa mitoyenne neuve de 2.5 pces, lot 3D Campagne Pernod, Couvet;;2.5 rooms;160m²;CHF 1,057,000.–
Orée, 2208 Les Hauts-Geneveys;Vente sur plan - Superbe appartement au dernier étage !;;2.5 rooms;150m²;CHF 1,108,050.–
2000 Neuchâtel;EN CONSTRUCTION ! APPARTEMENT NEUF AVEC VUE LAC !;;1.5 rooms;130m²;CHF 1,101,820.–
Rue Crêt-Debély 19, 2053 Cernier;Nouvelle construction  - Appartement de 2.5 pièces avec jardin;;2.5 rooms;29m²;CHF 834,150.–
Rue de la Gare, 2206 Les Geneveys-sur-Coffrane;Magnifique appartement lumineux et spacieux;SUBLIME APPARTEMENT DE 120 M2 DANS UNE RÉSIDENCE CALME DE 18 APPARTEMENTS EN PPE LOT TCette nouvelle construction se situe sur la commune des Geneveys-sur-Coffrane, localité du Val-de-Ruz, desservie par les transports publics et depuis laquelle vous pouvez rejoindre Neuchâtel en seulement 13 minutes en voiture.Elle est composée de 18 appartements de 3.5 et 2.5 pièces répartis dans 3 bâtiments de 3 étages. Les appartements du rez-de-chaussée offrent des jardins privatifs. Tandis que ceux en étage profitent de belles terrasses.La composition de ce lot est détaillée dans la brochure dont vous pouvez nous faire la demande.La réalisation de vos souhaits de personnalisation de votre future habitation fait partie intégrante de notre philosophie d'entreprise.Nous sommes à votre entière disposition pour vous fournir de plus amples informations, notamment en ce qui concerne la modularité des espaces et vos souhaits d’individualisation.Du sol au plafond choisiez vos couleurs votre harmonie. Avec des conception 3DUne place de parc est également prévu pour chaque appartement, en sus du prix. (intérieur : CHF 28'000.-/la place, extérieure : CHF 10'000.-/la place, box : CHF 35'000.-).La construction est faite sous le label Minergie et les finitions seront naturellement au gré du preneur.Laissez-vous séduire par ce projet.N'hésitez pas à nous contacter pour plus de renseignement ou pour l'organisation d'un rendez-vous.TOUS LES DÉTAILS DU PROJET SUR LE LIEN CI-DESSOUS :;2.5 rooms;120m²;CHF 666,070.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 2.5 pces avec balcon Campagne Pernod, lot A6;;2.5 rooms;29m²;CHF 627,480.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 1.5 pces avec balcon Campagne Pernod, lot A8;;1.5 rooms;24m²;CHF 521,650.–
2113 Boveresse;Nouvelle construction de 2 villas familiales avec garage;;2.5 rooms;;Price on request
2000 Neuchâtel;LOT D - AVEC UNE VUE LAC PANORAMIQUE, DE HAUT STANDING;;2.5 rooms;140m²;CHF 1,743,000.–
