Address;Title;Description;Rooms;Living Space (sqm);Price
Sonnenbergstrasse 68, 6052 Hergiswil NW;2.5-Zimmer-Terrassenwohnung mit Traumaussicht;"Wohnen mit Traumaussicht am Fusse des PilatusDas Mehrfamilienhaus Seeblick bietet einen fantastischen Blick auf den Vierwaldstättersee und die faszinierende Innerschweizer Bergwelt. Das Grundstück liegt im ruhigen Hergiswiler Quartier ""Rüti"" und ist über eine Sackgasse verkehrsarm erschlossen. Alle drei Eigentumswohnungen profitieren von einem exklusiven Ausbaustandard und grosszügigen Aussenflächen.Die 2.5-Zimmer-Terrassenwohnung im 1. Obergeschoss zeichnet sich durch folgende Highlights aus:- Grosse Terrasse und Sitzplatz mit spektakulärer Aussicht- Direkter Liftzugang- Wintergarten mit Isolierverglasung- Helle Räume mit bodentiefen Fenstern und raumhohen Türen- Exklusiver Ausbaustandard mit wertigen Materialien, Armaturen und Geräten von Marken anerkannter Qualität- KNX-Gebäudeautomation mit Videoüberwachung (Einbruchanlage)- Minergie-Zertifizierung mit eigener Photovoltaikanlage und Erdsonden-WärmepumpeVerschaffen Sie sich mit dem virtuellen Rundgang einen Überblick: Link Matterport 3D-RundgangHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besichtigung zur Verfügung.";2.5 rooms;;CHF 3,423,750.–
Sonnenbergstrasse 68, 6052 Hergiswil NW;2.5-Zimmer-Gartenwohnung mit Traumaussicht;"Wohnen mit Traumaussicht am Fusse des PilatusDas Mehrfamilienhaus Seeblick bietet einen fantastischen Blick auf den Vierwaldstättersee und die faszinierende Innerschweizer Bergwelt. Das Grundstück liegt im ruhigen Hergiswiler Quartier ""Rüti"" und ist über eine Sackgasse verkehrsarm erschlossen. Alle drei Eigentumswohnungen profitieren von einem exklusiven Ausbaustandard und grosszügigen Aussenflächen.Die 2.5-Zimmer-Gartenwohnung im Erdgeschoss zeichnet sich durch folgende Highlights aus:- Grosser Sitzplatz und Garten mit spektakulärer Aussicht- Helle Räume mit bodentiefen Fenstern und raumhohen Türen- Exklusiver Ausbaustandard mit wertigen Materialien, Armaturen und Geräten von Marken anerkannter Qualität- KNX-Gebäudeautomation mit Videoüberwachung (Einbruchanlage)- Minergie-Zertifizierung mit eigener Photovoltaikanlage und Erdsonden-WärmepumpeVerschaffen Sie sich mit dem virtuellen Rundgang einen Überblick: Link Matterport 3D-RundgangHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besichtigung zur Verfügung.";2.5 rooms;;CHF 3,423,750.–
Geissmattlistrasse, 6386 Wolfenschiessen;Idividuelle Hausteile / grosszügige Grundrisse;Ihre Vorteile: • D'EFH Projekt • Individuelle Anpassungen an den Grundrissen möglich hausconcept plant, verkauft und baut Ihr Traumhaus an sonniger Lage.Ländlich und doch sehr zentral gelegen, präsentieren wir Ihnen dieses Doppeleinfamilienhaus mit zwei 5 1/2-Zimmer Hausteilen und separater Doppelgarage:5 1/2-Zimmer Hausteil A mit 458m² Parzellenfläche für CHF 1'280'000.005 1/2-Zimmer Hausteil B mit 458m² Parzellenfläche für CHF 1'315'000.00Gerne erläutern wir Ihnen in einem persönlichen Gespräch die spannenden Grundrisse mit verschiedenen Ausbauoptionen.Rufen Sie uns an. Wir freuen uns auf Sie.WIR BAUEN IHR EINFAMILIENHAUS. ALS WÄR’S UNSER EIGENES.;2.5 rooms;170m²;CHF 1,593,600.–
Sonnenbergstrasse 68, 6052 Hergiswil NW;6.5-Zimmer-Attika-Maisonettewohnungen mit Traumaussicht;"Wohnen mit Traumaussicht am Fusse des PilatusDas Mehrfamilienhaus Seeblick bietet einen fantastischen Blick auf den Vierwaldstättersee und die faszinierende Innerschweizer Bergwelt. Das Grundstück liegt im ruhigen Hergiswiler Quartier ""Rüti"" und ist über eine Sackgasse verkehrsarm erschlossen. Alle drei Eigentumswohnungen profitieren von einem exklusiven Ausbaustandard und grosszügigen Aussenflächen.Die 6.5-Zimmer-Attika-Maisonettewohnung im 2. und 3. Obergeschoss zeichnet sich durch folgende Highlights aus:- Grosse Terrasse mit spektakulärer Aussicht- Direkter Liftzugang in beide Geschosse- Eigener Wohnungseingang für Besucher- Helle Räume mit bodentiefen Fenstern und raumhohen Türen- Exklusiver Ausbaustandard mit wertigen Materialien, Armaturen und Geräten von Marken anerkannter Qualität- KNX-Gebäudeautomation mit Videoüberwachung (Einbruchanlage)- Minergie-Zertifizierung mit eigener Photovoltaikanlage und Erdsonden-WärmepumpeVerschaffen Sie sich mit dem virtuellen Rundgang einen Überblick: Link Matterport 3D-RundgangHaben wir Ihr Interesse geweckt? Gerne senden wir Ihnen die Verkaufsdokumentation zu und stehen für eine persönliche Besichtigung zur Verfügung.";2.5 rooms;;CHF 7,158,750.–
Ridliweg 14, 6374 Buochs;Zuhause zwischen See und Bergen - Ridliweg 14;;2.5 rooms;;CHF 2,938,200.–
Ridliweg 10, 6374 Buochs;Zuhause zwischen See und Bergen - Ridliweg 10;;2.5 rooms;;CHF 2,788,800.–
Ridliweg 12, 6374 Buochs;Zuhause zwischen See und Bergen - Ridliweg 12;;2.5 rooms;;CHF 2,776,350.–
Ischenstrasse 7, 6376 Emmetten;Exklusive Gelegenheit: Letzte verfügbare Wohnung in diesem hochwertigen Mehrfamilienhaus!;Im ruhigen Dorfzentrum von Emmetten erwartet Sie ein modernes Mehrfamilienhaus das Wohnkomfort und zeitgemässe Eleganz vereint. Diese 2.5 Zimmer-Wohnung im 1. Obergeschoss bietet eine Gesamtfläche von 160 m2 und zwei herrliche Balkone für entspannte Stunden im Freien. Hochwertige Feinsteinzeug-Fliesen oder edler Parkettboden schaffen eine behagliche Atmosphäre in jedem Raum.Ein Kellerabteil ist im Kaufpreis enthalten, und es besteht die Möglichkeit, einen Parkplatz in der Tiefgarage zu erwerben (Aufpreis CHF 35'000 pro Stellplatz).Die Wohnung bietet individuelle Gestaltungsmöglichkeiten, einschliesslich der Option, von 2.5 auf 5.5 Zimmer zu erweitern, mit einem luxuriösen Masterbedroom für ultimativen Komfort und Privatsphäre.Entscheiden Sie selbst, wie Ihr neues Zuhause aussehen soll – Ihr Traum von einem perfekt angepassten Wohnraum kann hier Wirklichkeit werden.Emmetten bietet steuergünstige Wohnbedingungen, eine optimale Autobahnanbindung und Erholung am Vierwaldstättersee sowie spektakuläre Ausblicke im Ski- und Wandergebiet Klewenalp. Eine erstklassige Bildung ist durch die Primarschule und die Oberstufe im Dorf gewährleistet, während die umliegende Natur zu Spaziergängen und Outdoor-Aktivitäten einlädt. Einkaufsmöglichkeiten in der Nähe machen den Alltag komfortabel.Kontaktieren Sie uns noch heute für weitere Informationen und einen Besichtigungstermin. Ihr neues Traumdomizil in Emmetten erwartet Sie!;2.5 rooms;160m²;CHF 1,307,250.–
Güterstrasse 18, 6374 Buochs;Moderner und stilvoller Wohntraum mit Panoramasicht auf See und Berge;;2.5 rooms;170m²;CHF 2,427,750.–
Buochs, 6374 Buochs;Exklusive Attikawohnung mit fantastischer Aussicht;Diese stilvolle Attikawohnung punktet mit der einzigartigen und unverbaubaren Aussicht auf den Vierwaldstättersee und die umliegende Bergwelt. Die lichtdurchflutete Wohnung, die drei grossen Terrassen und der zeitlose und hochwertige Innenausbau bieten pures Wohnvergnügen. Der Lift bringt Sie direkt in die Wohnung, wo sich die 2.5 Zimmer Wohnung erschliesst, einen Stock tiefer befindet sich der Technik-/Waschraum mit separatem Büro.Die Anbindung an ÖV und Autobahn, wie auch die Nähe zur Schule, ist hervorragend. Die Seegemeinde Buochs bietet vielfältige Angebote für Wassersportler, Wanderer, Biker, aber auch als Kunstliebhaber kommen in dieser Region nicht zu kurz.Leben Sie da, wo andere Ferien machen. Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/6374-24-1;2.5 rooms;170m²;CHF 2,490,000.–
