Address;Title;Description;Rooms;Living Space (sqm);Price
Haingartenstrasse, 8215 Hallau;2.5 Zimmer Dach-Maisonette-Eigentumswohnung 1. / 2. Dachgeschoss;;2.5 rooms;220m²;CHF 958,650.–
Haingartenstrasse, 8215 Hallau;2.5 Zimmer Eigentumswohnung 1. oder 2. Obergeschoss;;2.5 rooms;130m²;CHF 834,150.–
Hauptstrasse 8, 8232 Merishausen;Natur- und stadtnah: Lebensqualität mit Randenblick und eigener Loggia;;1.5 rooms;30m²;CHF 908,850.–
Haingartenstrasse, 8215 Hallau;2.5 Zimmer Eigentumswohnung 1. oder 2. Obergeschoss;;2.5 rooms;130m²;CHF 834,150.–
Oberdorf 42, 8222 Beringen;Wohngenuss in Beringen;;1.5 rooms;130m²;CHF 983,550.–
Im Baumgarten 2, 8262 Ramsen;"Wohnung im EG mit 340m2 Landanteil - ""Im Baumgarten""";;2.5 rooms;150m²;CHF 989,770.–
Hauptstrasse 8, 8232 Merishausen;Eigentumswohnungen Randenblick;;1.5 rooms;120m²;CHF 1,052,020.–
Hauptstrasse 8, 8232 Merishausen;Randenblick Eigentumswohnung;;2.5 rooms;130m²;CHF 989,770.–
Hauptstrasse 8, 8232 Merishausen;Randenblick Eigentumswohnungen;;2.5 rooms;13m²;CHF 479,320.–
Haingartenstrasse, 8215 Hallau;2.5 Zimmer Eigentumswohnung 1. Obergeschoss;;2.5 rooms;140m²;CHF 886,440.–
Haingartenstrasse, 8215 Hallau;1.5 Zimmer Eigentumswohnung Erdgeschoss;;1.5 rooms;120m²;CHF 784,350.–
Haingartenstrasse, 8215 Hallau;1.5 Zimmer Eigentumswohnung 1. oder 2. Obergeschoss;;1.5 rooms;120m²;CHF 778,120.–
Haingartenstrasse, 8215 Hallau;2.5 Zimmer Dach-Maisonette-Eigentumswohnung 1./2. Dachgeschoss;;2.5 rooms;200m²;CHF 927,520.–
Haingartenstrasse, 8215 Hallau;1.5 Zimmer Eigentumswohnung Erdgeschoss;;1.5 rooms;25m²;CHF 641,170.–
Haingartenstrasse, 8215 Hallau;1.5 Zimmer Dach-Maisonette-Eigentumswohnung 1./2. Dachgeschoss;;1.5 rooms;170m²;CHF 827,920.–
Haingartenstrasse, 8215 Hallau;1.5 Zimmer Eigentumswohnung 1. oder 2. Obergeschoss;;1.5 rooms;25m²;CHF 634,950.–
8200 Schaffhausen;Talberg - Neubauwohnung mit hochwertigem Ausbau;Werden Sie Teil einer Gemeinschaft mit einem zukunftsorientierten Konzept - die moderne und zeitgemässe Architektur überzeugt mit ihrer Geradlinigkeit und Eleganz im Innenausbau.Das Neubauprojekt befindet sich in der Nähe einer umfassenden Infrastruktur (Einkaufsmöglichkeiten, Bushaltestelle, Naherholung u.v.m.) sowie der Schaffhauser Altstadt.Hier wenige Highlights: • Neubauwohnung mit grosszügigem Balkon • Befindet sich bereits im Bau und ist bezugsbereit ab Frühling 2025 • Hochwertiger Innenausbau mit Option zur Individualisierung • Reduit und separates Kellerabteil • Tiefgaragenplatz kann für CHF 38'000.- dazu erworben werden • Zugang über Lift Gerne lassen wir Ihnen die detaillierten Verkaufsunterlagen zukommen und stehen Ihnen für ein persönliches Gespräch zur Verfügung.Wir freuen uns auf Ihre Kontaktaufnahme.Ihr Casaly-Team;2.5 rooms;130m²;CHF 1,070,700.–
Hauptstrasse 8, 8232 Merishausen;Randenblick Eigentumswohnung im Obergeschoss mit Loggia;;1.5 rooms;130m²;CHF 1,101,820.–
8232 Merishausen;Natur- und stadtnah: Lebensqualität mit Randenblick;;1.5 rooms;28m²;CHF 902,620.–
Im Baumgarten 2, 8262 Ramsen;"Entdecken Sie ""Im Baumgarten"": Ihr perfektes Eigenheim";;2.5 rooms;140m²;CHF 933,750.–
Oberdorf 42, 8222 Beringen;MFH Beringen Obergeschoss;;2.5 rooms;150m²;CHF 1,108,050.–
Im Baumgarten 2, 8262 Ramsen;"""Im Baumgarten"": Finden Sie Ihr Traum-Eigenheim";;2.5 rooms;140m²;CHF 933,750.–
Im Baumgarten 2, 8262 Ramsen;"Naturnah, stilvoll, exklusiv: Willkommen ""Im Baumgarten""";;2.5 rooms;150m²;CHF 983,550.–
Haingartenstrasse, 8215 Hallau;2.5 Zimmer Eigentumswohnung Erdgeschoss;;2.5 rooms;130m²;CHF 840,370.–
Hauptstrasse 8, 8232 Merishausen;Randenblick Eigentumswohnung im Obergeschoss mit Loggia;;1.5 rooms;20m²;CHF 728,320.–
Neuwis 3, 8236 Büttenhardt;80% Steuern sparen bei PK Bezug mit Wohnung in SH - 250m2 Attika als Basis !;Baustart ist erfolgt !Im Kanton Schaffhausen werden PK-Bezüge mit maximal 6% besteuert - im Kanton Zürich mit bis zu 22.4% und mehr - bei 2 Mio Bezug aus der PK (16.09% im Kanton ZH) bereits ein Unterschied von mehr als CHF 200'000. Fragen Sie uns danach, wir unterstützen Sie bei der Suche nach einem professionellen Steuerberater der diese Fragen für Sie individuell beantworten kann. Nur 35 Minuten vom Flughafen Zürich (oder 45 Minuten zum HB ZH) und in direkter Nähe zu Autobahn-Anschluss (4 Minuten), Schulen und Einkaufsmöglichkeiten (MMMigros in 5 Minuten) erstellen wir in der sonnigsten Schaffhauser Gemeinde auf 700m über Meer neue Eigentumswohnungen. Das Projekt zeichnet sich durch eine äusserst ruhige und sehr sonnige Lage mit unverbaubarer Aussicht aus. Nachhaltige Bauweise mit lokalen Partnern, clevere Grundrisse und faire Preise runden das Angebot ab.Diese grosszügige und raffiniert gestaltete 2.5-Zimmer Dach-Wohnung raubt Ihnen den Atem: Sie leben auf der gesamten Grundfläche des MFH im obersten Geschoss. Neben 2 Dachterrassen, Raumhöhen bis 3.9m und einem direkten Zugang zur Wohnung mit dem Lift (Optional auch via Treppenhaus) überzeugt die Wohnung mit vielen weiteren Details. Schwellenloser Zugang sind genauso selbstverständlich wie eine offene Küche. Geniessen Sie aus allen Räumen den unverbaubaren Ausblick ins Grüne oder in die Alpen. Massive Bauweise und höchste Anforderung an Schalldämmung und Isolation lassen Sie jederzeit ruhig schlafen. Selbstverständlich haben Sie als Käufer freie Wahl bei Ausbau und Gestaltung. Teil des Miteigentums ist ein über 1500m2 grosser Park mit alten Obstbäumen - welcher gemeinsam von allen Eigentümern genutzt werden kann. Allgemeine Informationen:Allgemeine Informationen:Wir legen grossen Wert auf nachhaltige Planung - auch zu Gunsten Ihrer Investition. Wir bauen bewusster - damit Sie in Zukunft tiefere Kosten haben: Die hinterlüftete Fassade benötigt kaum Unterhalt, die PV Anlage reduziert ihre Stromkosten, das Steildach wird ihnen weniger Sorgen bereiten als ein Flachdach - und das Minergie-Label in Kombination mit der Komfortlüftung optimiert ihren Energieverbrauch. Alle Wohn-Einheiten sind über eine gemeinsame Tiefgarage erschlossen. Vorbereitungen für E-Mobilität (Bikes und Autos) sind selbstverständlich, gute Budgets für Bäder und Küchen (VZug) ebenso. Geheizt wird nachhaltig mit Hackschnitzeln aus den lokalen Wäldern (Fernwärme). Jedes Haus bildet eine in sich geschlossene STWE-Gemeinschaft. Zu jeder Wohnung gehört ein eigener Keller-Raum und das Nutzungsrecht an einem Trocken-Raum pro MFH. Tiefgaragenplätze oder abschliessbare Garagen können ab CHF 29’000 erworben werden, ebenfalls stehen Hobbyräume (belüftet und mit Wasser-Anschluss) zum Kauf. Büttenhardt liegt 700m über Meer und direkt am Stadtrand von Schaffhausen. Die Gemeinde hat sich in den letzten Jahren sehr gesund entwickelt (keine Schulden, aktuell im kantonalen Steuervergleich auf dem vierten Platz mit sehr guten Perspektiven) und freut sich über Zuzüger. Sie leben direkt im Naherholungsgebiet mit Bike-Trails und Wanderwegen sprichwörtlich vor der Haustüre...aber nicht nur: Das Multiplex-Kino liegt nur 4 Minuten, Theater und Konzerte 8 Minuten entfernt. Sie finden alle Unterlagen, Details und Preise auf unserer Projektseite 8236.ch - für Fragen, weitergehende Informationen oder einen Besuch vor Ort stehen wir Ihnen sehr gerne zur Verfügung. Unser Finanzierungspartner (Schaffhauser Kantonalbank) und die UBS kennen die angebotenen Wohnungen und erstellen Ihnen auf Basis der anerkannten Verkaufspreise gerne eine Finanzierungsofferte. Weitere Referenzen (Banken) nennen wir Ihnen gerne auf Wunsch und unterstützen Sie bei allen anderen Fragen zu einer möglichen Finanzierung.PS: Spätestens bei einem Besuch vor Ort werden Sie über die Nähe erstaunt sein - und unseren Claim (leben.schön.nah) bestens nachvollziehen können. Wir freuen uns auf Sie!;2.5 rooms;250m²;CHF 1,805,250.–
Zelgliweg, 8236 Büttenhardt;80% Steuern sparen bei PK Bezug in SH mit Kauf 1.5 Zimmer Wohnung;;1.5 rooms;19m²;CHF 571,450.–
