Address;Title;Description;Rooms;Living Space (sqm);Price
Dorfstrasse 14, 8536 Hüttwilen;1.5 Zimmer Eigentumswohnung an zentraler Lage in Hüttwilen;;1.5 rooms;130m²;CHF 865,270.–
Seestrasse 100, 9326 Horn;Neubau-Projekt Arrivée: Moderne 3 1/2 Zimmer-Wohnung mit zwei Balkonen im 2. Obergeschoss;;1.5 rooms;27m²;CHF 902,620.–
Giessereistrasse, 9320 Arbon;Projektankündigung: Arbon - Henry;Henry - Happy Living in ArbonHenry ist urbanes Wohnen an bester Lage im Saurer WerkZwei in Arbon. Schon bald warten 17 Eigentumswohnungen und 5 Townhäuser auf glückliche Besitzerinnen und Besitzer.Besuchen Sie unsere Landingpage und füllen Sie das Kontaktformular aus - wir freuen uns auf Ihre Kontaktaufnahme.henry-arbon.chVermarktungsstart demnächst!;1.5 rooms;;Price on request
Zollhausstrasse, 8524 Uesslingen;Dachwohnung mit 230m2 - vergleichen Sie bitte den m2-Preis mit anderen Objekten!;Gerne stellen wir Ihnen unsere neuste Überbauung vor!Am Nordufer der Thur, unweit der Kantonshauptstadt Frauenfeld, bebefindet sich Uesslingen-Buch mit seinen rund 1100 Einwohnern. Verwöhnt mit einem wunderschönen Naherholungsgebiet (Thur, Rebberge, gut erschlossene Rad-und Wanderwege) und einem grossen Naturschutzgebiet mit den Hüttwiler-, Nussbaumer- und Buchemer Seen sowie dem Badestrand an der Thur, lässt es sich hier sehr gut die Freizeit geniessen. Diverse Ausflugsziele sind rasch zu erreichen wie die Kartause Ittingen, Schloss Freudenfels, sowie die historische Altstadt von Frauenfeld und Stein am Rhein.Mit dem Postauto, die Haltestelle befindet sich nur wenige Schritte entfernt, finden Sie sich in kurzer Fahrzeit am Bahnhof Frauenfeld wieder. Von da verkehren regelmässig Direktzüge nach Winterthur, Kreuzlingen, Zürich HB und zum Flughafen Zürich.Die Kinder gelangen in wenigen Gehminuten in den Kindergarten und die Primarschule. Die Sekundarschule wird in der Nachbargemeinde Hüttwilen besucht. Der Dorrfladen (Volg) sowie eine grosszügige Landi befinden sich direkt über der Strasse. Das Dorf pflegt ein reges Vereinsleben und erfreut sich an zwei tollen Restaurants sowie mehreren Hofläden.Facts zur Überbauung • Beheizung: Mit Holz-Pellets, zentraler Heiz-/Lagerraum • Komfortlüftung in sämtlichen Wohnräumen und Nasszellen, Gerät pro Wohnung • Photovoltaik-Anlage Stromerzeugung durch Sonnenlicht • Minergie zertifiziert • Wohnräume mit Parkett oder keramischen Platten nach Wahl • Küchen mit gutem Preisleistungsverhältnis (Induktion, Granitabdeckung, Umluft-Kochfeldabzüge, teilw. mit Kochinseln) • Hochwertiger Elektroausbau mit mit LED-Einbauspots, Multimedia-Verkabelung, elektrische Rafflamellenstoren und Markisen • Nasszellen mit Qualitätsprodukten (z.B. Glasduschwand, Unterbaumöbel) • Lastmanagement mit Flachband in gesamter Tiefgarage (E-Mobilität) • Keine Generalunternehmer-Honorare auf allfälligen Mehrkosten. Rabatte auf Mehrkosten werden an Käufer/in weitergegeben • Bezug: Frühjahr 2025 Wir freuen uns auf ein Beratungsgespräch bei uns im Büro! Erika Blatter steht Ihnen gerne zur Verfügung (Termine auch samstags und abends).;2.5 rooms;230m²;CHF 1,294,800.–
Giessereistrasse, 9320 Arbon;Projektankündigung Townhouse: Arbon - Henry;Henry - Happy Living in ArbonHenry ist urbanes Wohnen an bester Lage im Saurer WerkZwei in Arbon. Schon bald warten 17 Eigentumswohnungen und 5 Townhäuser auf glückliche Besitzerinnen und Besitzer.Besuchen Sie unsere Landingpage und füllen Sie das Kontaktformular aus - wir freuen uns auf Ihre Kontaktaufnahme.henry-arbon.chVermarktungsstart demnächst!;2.5 rooms;;Price on request
Weiernstrasse 14, 8355 Aadorf;1.5 Zimmer Neubau Wohnung;;1.5 rooms;120m²;CHF 1,108,050.–
Seestrasse 100, 9326 Horn;Neubau-Projekt Arrivée: Moderne 4 1/2 Zimmer-ATTIKA-Wohnung mit schöner Seesicht;;2.5 rooms;130m²;CHF 1,730,550.–
Seestrasse 102, 9326 Horn;Neubau-Projekt Arrivée: Traumhafte 4 1/2 Zimmer-Wohnung mit herrlicher Seesicht;;2.5 rooms;140m²;CHF 1,606,050.–
Winkelstrasse 17a, 9553 Bettwiesen;WINKEL - Bettwiesen, ihr neues Zuhause im Familienhaus A;;2.5 rooms;160m²;CHF 1,525,120.–
Im Buchfeld, 8500 Frauenfeld;2.5-Zimmer Erdgeschosswohnung mit 2 Sitzplätzen und 277 m² Landanteil!;;2.5 rooms;140m²;CHF 1,164,070.–
