Address;Title;Description;Rooms;Living Space (sqm);Price
Chemin des Celtes 8, 2822 Courroux;Superbe et spacieuse villa comprenant 2 appartements de 5,5 pièces et piscine chauffée;;3 rooms;320m²;CHF 1,865,010.–
Chemin de Combe Feuillerée 7, 2926 Boncourt;Lumineux appartement de 2.5 pièces à Boncourt;;2.5 rooms;160m²;CHF 996,000.–
Rue des Rangiers 38, 2350 Saignelégier;4 villas individuelles;;1.5 rooms;;Price on request
2900 Porrentruy;Jolie maison familiale superbement rénovée à deux pas de la ville.;;2.5 rooms;160m²;CHF 658,600.–
Les Pâles, 2942 Alle;Maison individuelle neuve de 2.5 pièces à Alle;;2.5 rooms;190m²;CHF 1,123,610.–
la colombière 90h, 2900 Porrentruy;Jolie maison familiale de 2.5 pièces à la Colombière à Porrentruy;;2.5 rooms;140m²;CHF 846,600.–
Les Pâles, 2942 Alle;Maison individuelle neuve de 2.5 pièces à Alle;;2.5 rooms;190m²;CHF 1,106,180.–
Briscol, 2853 Courfaivre;Exceptionnel !  Magnifiques appartements de haut standing en PPE avec une superbe vue;;2.5 rooms;;CHF 595,110.–
Rue Sous Maicheleux 6, 2800 Delémont;Superbe villa de très haut standing bien située avec piscine chauffée et bâtiment annexe;;2.5 rooms;260m²;CHF 2,365,500.–
2800 Delémont;Immeuble à Delémont;!!! EXCLUSIVITE BERRA IMMOBILIER !!!1 immeuble de rendement au coeur de Delémont DEJA LOUE !!!!Situé à proximité immédiate du centre-ville, dans un écrin de verdure, que s'érige ce nouvel écoquartier delémontain.Intergénérationnel et mixte, ce nouvel écoquartier comprendra des logements d'habitation PPE et location, des commerces, une résidence Séniore avec encadrement et des zones de détente. Un lieu de vie et d'activité placé sous le signe de la durabilité.Un emplacement idéal au coeur de Delémont, le projet bénéficie d'une situation idéale au coeur du chef-lieu du canton du Jura.RENDEMENT ET SITUATION ACTUELLENous mettons en vente 1 immeuble qui est déjà bien loué et habité (QR)Actuellement, un RENDEMENT BRUT DE 3,7% est réalisé. L'Etat locatif est en notre possesion. N'hésitez pas à nous contacter pour plus de renseignements.UN QUARTIER ECOLOGIQUELes bâtiments de l'écoquartier sont labellisés Minergie Plus et bénéficient de la certification 2000 Watts, gage de performances énergétiques optimales. Grâce à la conception bioclimatique des immeubles, à une forte isolation thermique et à une parfaite étanchéité de l'air, d'importantes économies d'énergie sont réalisées. Une attention toute particulière a été portée au choix des matériaux de construction, privilégiant des produits locaux et renouvelables à faible empreinte carbone.Des panneaux photovoltaïques assurent la production d'énergie tout au long de l'année pour les habitations et les bornes de recharge pour voitures électriques. Un système de chauffage performant et écologique régule quant à lui les températures été comme hiver. LES AVANTAGES ET PRESTATIONS DE QUALITESAvec de généreux balcons avec vue dégagée et de larges baies vitrées et une orientation favorable, les logements jouissent d'une luminosité optimale.Au-delà de ces avantages qui offrent également un réchauffement naturel (énergie passive), chaque appartement bénéficie de finitions et prestations qualitatives :- Cadre de vie « vert » et privilégié- Emplacement central- Présence de nombreux commerces et écoles à proximité- Grands balcons avec vue- Cuisine de haute qualité avec plan de travail en granit- Placards intégrés dans les entrées et les chambres- Parquet en chêne de première qualité dans les chambres- Isolation très haute performance- Ventilation double flux dans les lieux d'habitation- Panneaux Photovoltaïques- Label Minergie Plus- Ventilation à double flux- Ascenseur avec accessibilité pour personnes avec handicap- Place importante à la mobilité douce- Plus de 700 places pour les vélos- Garage avec bornes de recharges électriques et places de véloCOMMODITES - SITUATIONDe plus, ces futurs logements bénéficient de nombreuses commodités à quelques pas seulement. Le centre de Delémont et les principaux points d'intérêt peuvent être rejoints à pied. :- L'axe autoroutier A16 Bienne-Porrentruy n'est qu'à 3 minutes en voiture.- Centre-ville : 5 minutes à pied- École primaire : 50 mètres- Collège : 200 mètres- Gare : 10 minutes à pied- Commerces : 200 mètresPlaquette et autres documents sur demande uniquement !Chez nous, la curiosité est un joli défaut ! N'hésitez pas à me contacter pour des renseignements au 079 913 86 16 !!!! RETROUVEZ TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH !!!;;;Price on request
