Address;Title;Description;Rooms;Living Space (sqm);Price
Sankt Ottilienstrasse 14, 6018 Buttisholz;NEUBAU Blick ins Grüne mitten im Dorfkern;;1.5 rooms;28m²;CHF 996,000.–
Mürgistrasse 7a, 6025 Neudorf;"""SONNENBLICK"" - Wohnen im Einfamilienhaus der Zukunft - HAUS 2";;2.5 rooms;160m²;CHF 1,462,870.–
Bahnhofstrasse, 6105 Schachen LU;1.5-Zimmer-Wohnung | Schachenweid;;1.5 rooms;;CHF 784,350.–
Oberhusrain 40, 6010 Kriens;"""solea"" Etagenwohnung an Süd-West Lage, Haus 40";;2.5 rooms;140m²;CHF 2,054,250.–
6235 Winikon;Neubauwohnung - 1.5 Zi mit Gartensitzplatz;;1.5 rooms;130m²;CHF 796,800.–
6006 Luzern;Topmoderne Gartenwohnung an begehrter Lage;;1.5 rooms;17m²;Price on request
Oberhusrain 40, 6010 Kriens;"""solea"" Etagenwohnung an Süd-Ost Lage, Haus 40";;2.5 rooms;170m²;CHF 2,353,050.–
Oberhusrain 38, 6010 Kriens;"""solea"" Etagenwohnung an Süd-West Lage, Haus 38";;2.5 rooms;140m²;CHF 1,960,870.–
Erikaweg 2, 6233 Büron;neu – modern – praktisch … Ihr Traum wird wahr!;;2.5 rooms;150m²;CHF 1,164,070.–
Rütirainstrasse 16, 6344 Meierskappel;Terrassenwohnung in Meierskappel;;2.5 rooms;220m²;CHF 2,925,750.–
6005 Luzern;Moderne und ästhetische 1.5 Zimmerwohnung mit See- und Bergsicht;;1.5 rooms;30m²;Price on request
Sankt Ottilienstrasse 14, 6018 Buttisholz;NEUBAU Blick ins Grüne mitten im Dorfkern;;1.5 rooms;24m²;CHF 1,008,450.–
Bahnhofstrasse, 6105 Schachen LU;2.5-Zimmer-Wohnung | Schachenweid;;2.5 rooms;;CHF 1,008,450.–
Wilhelmshöchi 25, 6215 Beromünster;Attikawohnung in Beromünster;;2.5 rooms;130m²;Price on request
Mürgistrasse 7a, 6025 Neudorf;"""SONNENBLICK"" - Wohnen im Einfamilienhaus der Zukunft - HAUS 1";;2.5 rooms;160m²;CHF 1,487,770.–
Dorfstrasse 11, 6262 Reiden;Projektankündigung: NEUBAU MFH mit 8 Eigentumswohnungen;;2.5 rooms;140m²;CHF 958,650.–
Mürgistrasse 7a, 6025 Neudorf;"RESERVIERT - ""SONNENBLICK"" - Wohnen im Einfamilienhaus der Zukunft - HAUS 4";;2.5 rooms;160m²;CHF 1,500,220.–
Klösterlistrasse 20, 6010 Kriens;Wohnen am Fusse des Pilatus – erfüllen Sie sich Ihren Traum!;;2.5 rooms;210m²;CHF 3,050,250.–
6005 Luzern;Moderne und ästhetische 2.5Zimmer-Gartenwohnung mit See- und Bergsicht;;2.5 rooms;160m²;Price on request
Ahornweg 10, 6145 Fischbach LU;Neubau Eigentumswohnung - unverbaubare & sonnige Lage im Grünen;;1.5 rooms;120m²;CHF 896,400.–
Bahnhofstrasse, 6105 Schachen LU;1.5-Zimmer-Wohnung | Schachenweid;;1.5 rooms;;CHF 653,620.–
