Address;Title;Description;Rooms;Living Space (sqm);Price
4632 Trimbach;Kompfortabel ausgestattete, grosszügige Villa, in ruhigem Quartier, an traumhafter Aussichtslage;Diese einzigartige Villa, die hier zum Kauf angeboten wird, erinnert einerseits an den romanischen Baustil vergangener Zeiten und bietet andererseits eine attraktive Ausstattung. • Z. Bsp. 3 Erdsonden, Wärmepumpe, Bodenheizung, eingebautes Cheminéerohr, Sonnenkollektoren, Speicher, Wasserenthärter, Regenwassertank, E-Ladestation, Schutzraum etc. Die ausführliche Beschreibung dieser Liegenschaft finden Sie auf der Website: www.immo-hunziker.chDort können Sie über das Kontaktformular die Verkaufsdoku bestellen. Gerne gebe ich ernsthaften Interessenten selbstverständlich auch telefonisch weitere Informationen. Besichtigungstermine werden individuell und persönlich vereinbart.;3.5 rooms;430m²;Price on request
Bretzwilerstrasse, 4208 Nunningen;Idyllische Lage: individuelle Eigenheimträume nahe Basel werden wahr!;;2.5 rooms;190m²;CHF 1,119,250.–
Allmendstrasse 80, 2540 Grenchen;Wohnen in den wunderschönen Terrassenwohnungen in Grenchen;;1.5 rooms;120m²;CHF 1,039,570.–
Jurastrasse 2, 4513 Langendorf;Luxus Pur... mit Alpenblick;;2.5 rooms;200m²;CHF 1,927,500.–
Längackerstrasse 1, 4513 Langendorf;Einzigartige Attikawohnung mit Terrasse an top Lage mit Weitblick;;1.5 rooms;25m²;CHF 933,750.–
Allmendstrasse 80, 2540 Grenchen;Wohnen im Neubau-Mehrfamilienhaus mit Alpensicht in Grenchen;;1.5 rooms;24m²;CHF 597,600.–
Längackerstrasse 1, 4513 Langendorf;Einzigartige Obergeschoss-Wohnung mit Balkon an top Lage;;2.5 rooms;140m²;CHF 1,095,600.–
Venusstrasse 12, 4512 Bellach;"VenusBlick ""Ihr Liebevolles Zuhause"" *Projektvorankündigung*";;1.5 rooms;27m²;CHF 1,113,030.–
Diebold-Schilling-Strasse 31, 2544 Bettlach;Top Eigentumswohnung mit Privatgarten an ausgezeichneter Lage;;2.5 rooms;130m²;CHF 983,550.–
Allmendstrasse 80, 2540 Grenchen;Wohnen in der wunderschönen Attikawohnung mit Alpensicht in Grenchen;;1.5 rooms;120m²;CHF 1,114,270.–
Allmendstrasse 80, 2540 Grenchen;Wohnen in den wunderschönen Terrassenwohnungen mit Alpensicht in Grenchen;;2.5 rooms;150m²;CHF 1,201,420.–
Osterenstrasse, 4628 Wolfwil;3.5-2.5 Zimmer Wohnungen;;2.5 rooms;180m²;Price on request
Allmendstrasse 80, 2540 Grenchen;Wohnen im Neubau-Mehrfamilienhaus mit Alpensicht in Grenchen;;2.5 rooms;150m²;CHF 1,070,700.–
Sälistrasse, 5012 Schönenwerd;*** Baubewilligtes 2.5-Zimmer-EFH im Villenquartier mit grossem Garten  ***;;2.5 rooms;160m²;CHF 1,730,550.–
Allmendstrasse 80, 2540 Grenchen;Wohnen im Bauernhaus in einer Maisonettewohnung in Grenchen;;2.5 rooms;140m²;CHF 1,114,270.–
Metzerlenstrasse 44, 4118 Rodersdorf;SONNIG, RUHIG UND GROSSZÜGIG MIT DER FAMILIE WOHNEN;;2.5 rooms;180m²;Price on request
Venusstrasse 12, 4512 Bellach;"VenusBlick ""Ihr Liebevolles Zuhause"" *Projektvorankündigung*";;2.5 rooms;140m²;CHF 1,081,900.–
Allmendstrasse 80, 2540 Grenchen;Wohnen im Bauernhaus in einer Maisonettewohnung in Grenchen;;2.5 rooms;28m²;CHF 827,920.–
Baselweg, 4146 Hochwald;Der Neubau Ihrer Träume - Erfüllen Sie ihn!;;2.5 rooms;230m²;CHF 1,232,550.–
Allmendstrasse 80, 2540 Grenchen;Wohnen im Neubau-Mehrfamilienhaus mit Alpensicht;;2.5 rooms;150m²;CHF 1,083,150.–
