Address;Title;Description;Rooms;Living Space (sqm);Price
Flüelerstrasse 20a, 6460 Altdorf;neu – modern – zentral … Willkommen in Ihrem familienfreundlichen Daheim!;;2.5 rooms;130m²;CHF 1,276,120.–
Flüelerstrasse 20, 6460 Altdorf;neu – modern – zentral … Willkommen zu Hause!;;2.5 rooms;130m²;CHF 1,095,600.–
Ritomgasse 2, 6490 Andermatt;Modernes Wohnen in uriger Umgebung;;2.5 rooms;190m²;CHF 5,229,000.–
Lindenstrasse 13, 6472 Erstfeld;Mehrfamilienhaus, 5% Rendite in Uri!;Im Herzen des Kantons Uri und in der Nähe des Gotthard-Tunnels befindet sich dieses komplett renovierte Mehrfamilienhaus. Dienstgebäude an der Lindenstrasse 13 des Erstfelder Bahnhofs wurde im Zuge einer Erweiterungsplanung für die Gotthardbahn und dessen Maschinendepot im 1900 erbaut. Das denkmalgeschütze Haus welches sich parallel zu den Gleisen erstreckt gehört zu den wertvollsten Baudenkmäler in Erstfeld.Das Gebäude erstreckt sich über 4 Ebenen und verfügt über insgesamt 16 Wohneinheiten. Die Wohnungen sind unterschiedlich gross und die Innenräume sind geräumig und hell. Die meisten Innenböden sind aus Parkett. Die Küchen sind neu und modern und verfügen über Geräte der neuesten Generation: eingebauter grosser Kühlschrank und Gefrierschrank, integrierter Geschirrspüler, Einbaubackofen, Kochfeld und integrierte Dunstabzugshaube. Die Sanitäranlage ist neu und jede Wohnung hat eine eigene Waschmaschine und Trockner. Im Erdgeschoss befinden sich die Technikräume, die Keller und ein Veloraum.5% Rendite.Im Anhang die Verkaufsbroschüre.;1,410m²;;CHF 7,719,000.–
6485 Meien;Stilechtes und umgebautes 2.5-Zimmer-Einfamilienhaus, mit Stall, in Meien UR;;2.5 rooms;230m²;CHF 2,365,500.–
6476 Intschi;Idyllisches und heimeliges 2-Familienhaus, mit 3 Nebengebäuden, Intschi UR;;3 rooms;190m²;CHF 859,050.–
Ritomgasse 9, 6490 Andermatt;Exklusive Studiowohnung mit Aussenterrasse im Haus Koya;Lassen Sie sich von dem besonderen Flair dieser exklusiven Studiowohnung mit begeistern. Geniessen Sie ausserdem die 4 m2 grosse Aussenterrasse, die zur Wohnung gehört. Das luxuriöse Badezimmer mit Regendusche und die voll ausgestattete Küche bieten jeden Komfort für Ihren Traumaufenthalt in Andermatt.Die Wohnung zeichnet sich durch die Verwendung hochwertigster Materialien aus, und ein Schlafsofa schafft zusätzlichen Raum für 2 Gäste.Das Haus KOYA, inspiriert von der japanischen Ästhetik, bietet grosszügige Gemeinschaftsbereiche und eine Sauna im Erdgeschoss. Erleben Sie etwas Einzigartiges und geniessen Sie die beruhigende Architektur, die zu einem erholsamen und entspannten Aufenthalt in den Bergen beiträgt, fernab der Hektik des Alltags.Highlights: • Spa (Sauna, Fitnessraum, Lounge, Gemeinschaftsküche) • Grosszügige Fenster • Küchengeräte von Electrolux • Kellerabteil • Skiraum • Vollständig möbliert, inklusive Kleininventar wie Geschirr, Wäsche, etc. • Attraktive Ertragsmöglichkeit dank eines Vermietungsprogramms • Kauf auch für internationale Käufer möglich Mit der SkiArena Andermatt-Sedrun direkt vor der Haustür, bestehend aus 180 Pistenkilometern und einem preisgekrönten 18-Loch-Par-72-Golfplatz, eröffnen sich Ihnen zahlreiche Freizeitmöglichkeiten.Haben wir Ihr Interesse geweckt? Kontaktieren Sie uns noch heute für eine unverbindliche Besichtigung und lassen Sie sich von dieser einzigartigen Wohnmöglichkeit begeistern.ENGLISHImmerse yourself in the unique atmosphere of this exclusive studio apartment. In addition, you can enjoy the 4 m2 outdoor terrace that belongs exclusively to the property. The luxurious bathroom with a rain shower and fully equipped kitchen provide all the comforts for your dream residence in Andermatt.The apartment is characterized by the use of the highest quality materials, and a sofa bed creates additional space for 2 guests.House KOYA, inspired by Japanese aesthetics, offers spacious communal areas and a sauna on the ground floor. Experience something extraordinary and enjoy the soothing architecture that contributes to a restful and relaxing stay in the mountains, away from the hustle and bustle of everyday life.Highlights: • Spa (sauna, gym, lounge, communal kitchen) • Large windows • Electrolux kitchen appliances • Basement compartment • Ski room • Fully furnished, including small inventory such as dishes, linen, etc. • Attractive income potential thanks to a rental program • Purchase also possible for international buyers With the SkiArena Andermatt-Sedrun right outside your door, featuring 180 kilometers of slopes and an award-winning 18-hole Par-72 golf course, numerous recreational opportunities await you.Have we piqued your interest? Contact us today for a non-binding viewing and let yourself be inspired by this unique living opportunity.;2.5 rooms;9m²;CHF 683,500.–
Gütschgasse 2, 6490 Andermatt;Moderne 1.5 Zimmerwohnung im Apartmenthaus Eisvogel;Diese wunderschöne 1.5 Zimmerwohnung in Andermatt bietet alles, was man sich wünschen kann.Neben dem Schlafzimmer bietet das Wohnzimmer ein Schlafsofa mit nochmals Platz für zusätzlich zwei Gäste.Das Apartment ist voll möbliert und wurde erst im Herbst 2020 fertiggestellt.Im Haus befindet sich ein grosser Gemeinschaftsraum mit Billardtisch, Chill-out Area und einem privaten dining room, welcher bei Bedarf und für grössere Feste gemietet werden kann (Miete entspricht nur Reinigungsgebühr).Des weiteren findet man direkt im Haus eine grosse Sauna mit Relax Area und ein Gym mit Geräten von Technogym.Für das Apartment wurden nur die hochwertigsten Materialien verwendet.Darauf können Sie sich freuen: • Spa (Sauna, Gym, Gemeinschaftsraum) • Bodentiefe Fenster • Küchengeräte von Miele • Waschmaschine/Trockner-Kombigerät in der Wohnung • Vollmöblierung inklusive Kleininventar wie Geschirr, Wäsche, etc. • Attraktive Renditemöglichkeit dank Vermietungsprogramm • Kauf auch für internationale Käufer möglich • SkiArena Andermatt-Sedrun mit 180 Pistenkilometern sowie ein mehrfach ausgezeichneter 18-Loch Par 72 Golfplatz direkt vor der Haustüre Haben wir Ihr Interesse geweckt?Kontaktieren Sie uns noch heute für eine unverbindliche Besichtigung.ENGLISHThis beautiful 1.5 room flat in Andermatt provides everything you could wish for.Besides the bedroom, the living room features a sofa bed with room for two additional guests.The flat is fully furnished and was completed in autumn 2020.In the building there is a large community space with a pool table, chill-out area and a private dining room.Furthermore, there is a large sauna with relax area and a gym with Technogym equipment available right in the building.Only the highest quality materials were used for the flat.This is what you can look forward to: • Spa (sauna, gym, common room). • Floor to ceiling windows • All kitchen appliances by Miele • Washing machine and Dryer in the apartment. • Fully furnished including small inventory such as crockery, linen, etc. • Attractive yield opportunity thanks to rental programme • Purchase also possible for international buyers • SkiArena Andermatt-Sedrun with 180 kilometres of pistes as well as a multi-award-winning 18-hole par 72 golf course right on the doorstep Have we sparked your interest? Please contact us now for a viewing.;1.5 rooms;17m²;CHF 1,114,270.–
Dorfstrasse 8, 6467 Schattdorf;WENET - 3 Wünsche auf einmal - nicht nur für Familien;"Hier klicken: ""WENET AG - Image Film - YouTube""Hochwertiges Raumwunder mit 3 Wohneinheiten welche mit sehr viel Sorgfalt und Weitsicht ausgebaut wurden. Im Jahr 2022 komplett und mit viel Hingabe und grundsoliden Kenntnisse wurde dieses Schmuckstück an sehr schöner Lage komplett kernsaniert.Ein Raumwunder, welches sich Ihren Bedürfnissen anpassen wird. Perfekt für mehrere Generationen unter einem Dach oder einfach ""mietfrei"" wohnen. Hier werden Ihnen alle Möglichkeiten angeboten.Der Grundriss der Wohnungen ist hell, freundlich und sehr familiär. Die grossen, qualitativen Fensterfronten schenken allen Räumen viel Licht und Sonne. Ein perfekter Mix aus einem Zusammenschluss zum Eigenverbrauch, sowie die Netzeinspeisung, welches sich positiv auf die Nebenkosten auswirkt. Ein sehr schöner Nebeneffekt, welcher sich für alle Beteiligten als Gewinn profiliert. Meine Investition wird zur Rendite, ein Gewinn auf allen Ebenen dank einen TOP Ausbau. Nicht nur die Ästhetik wurde hier beachtet, sondern auch eine hervorragende Technik wie die modernste Heizungsanlage Wärmepumpe Luft/Wasser sowie eine Dach-Solaranlage/Photovoltaikanlage mit 20 Module aufgebaut.Highlights:- TOP Kernsaniert 2022- 3 Wohneinheiten 257.23 m2 Raumprogramm: EG: 1 x 3.5 Zimmer Wohnung ca. 67,5 m2 1. OG: 1 x 3.5 Zimmer Wohnung ca. 66,24 m2 2. OG /DG: 1 x 4.5 Zimmer Wohnung ca. 123.49 m2 - 3 x sehr grosse Keller / Dispo-Raum- Waschraum inkl. Waschturm WM &amp; TU- Technik-Raum- Modernste Technik:- Photovoltaikanlage 20 Module / Fläche: 36,8 m2 / Leistung 7,6 kWp (DC)- Netzeinspeisung - tiefe NebenkostenBei der Renovation 2021/2022 konnte auf ein massives, einzigartiges Bauwerk aufgebaut werden und es wurde vor allem auf einen beständigen und langlebigen Ausbau gesetzt. Erwähnenswert ist die sehr gute Lage, alles in nächster Nähe Schule, Läden, öffentliche Verkehrsmittel, Bahn - bequem alles zu Fuss erledigen sowie die Nähe zum Hauptort Altdorf. Ein weiteres Plus ist der pflegeleichte Aussenbereich, welcher mit einem weiteren Extra wie der gemeinsame Sitzplatz aufgewertet worden ist. Der Aussenparkplatz bietet Platz für bis zu 5 Fahrzeuge.Interessiert? Gerne stehen wir für eine Besichtigung oder Fragen zur Verfügung.";3 rooms;310m²;CHF 1,985,770.–
6460 Altdorf;Zentrales Renditeobjekt, Mehrfamilienhaus in TOP-Zustand, mit 3 Wohnungen, in Altdorf UR;;3.5 rooms;330m²;CHF 2,228,550.–
