Address;Title;Description;Rooms;Living Space (sqm);Price;Nearest Station Distance (m);Station Canton
1975 St-Séverin;C'est sur les coteaux du soleil que votre future maison vous attend.;Nous allons y construire 8 magnifiques villas individuelles et 2 villas jumelée sur des parcelles allant de 380 à 670 m2. Le terrain est idéalement situé, vous aurez l'avantage d'être au calme, tout en étant à seulement quelques minutes des commodités. Le cadre de vie idéal pour votre famille. Quant à la villa à construire ? Nous avons divers modèles à vous proposer : nous nous adaptons à vos goûts et préférences. Toutes nos maisons vous offrent des pièces lumineuses grâce à de grandes baies vitrées, un espace de vie généreux et des chambres spacieuses. Un sous-sol complet est inclus. Nos villas vous offrent une surface habitable de minimum 170 m2.Parce qu'une visite est bien plus parlante que des plans ou des images, nous avons construit des villas d'exposition. Nos bureaux valaisans et notre villa d'exposition sont situés à Aproz. Nous pouvons également vous recevoir à Oron-la-Ville pour la visite de 2 autres villas d'exposition. Nous sommes ouverts du lundi au samedi et nous nous réjouissons de vous recevoir afin de vous présenter nos possibilités de construction.Spécialisés dans la construction de villas clé-en-mains depuis 1997, nous misons sur des matériaux et techniques de qualité supérieure. Chez Prologis, tout la chaîne de construction de nos villas est contrôlée de très près afin de respecter les réglementations et de garantir des logements de qualité, respectueux de l'environnement et aptes à résister à l'usure du temps. Chaque construction est différente : nos acheteurs ont la liberté de personnaliser leur projet de construction dans la limite des contraintes techniques et des règlements des construction. Tous nos clients rencontrent notre architecte pour réaliser les plans de leur maison en fonction de leurs désirs.Un budget pour le paiement des frais annexes liés à votre construction fait partie de notre offre. Nous avons inclus les postes suivants : taxes de raccordement, taxes PC, frais de mise à l'enquête et d'architecture, géomètre, aménagements extérieurs, goudronnage de la route d'accès et intérêts intercalaires. Les frais de notaire sont à prévoir en plus. Ils diffèrent selon la situation de chacun et nous nous tenons à votre disposition pour les estimer ensemble et les inclure dans votre projet. Faites-nous confiance pour votre construction ! Dessinez votre future villa avec nos architectes, choisissez les finitions et nous nous occupons de tout le reste. Nous vous remettrons les clés de votre future villa 6 mois après le début des travaux.(Textes et images non contractuels);3.5;210.0;1222570.0;5698.0;Valais
1470 Estavayer-le-Lac;Les Villas Lacustres - Villa 1 - Nouveaux plans !;"Situées dans un quartier résidentiel, à seulement 5 minutes à pied de la vieille-ville, ""Les Villas Lacustres"" se composent de 2 villas jumelées de 3.5 pièces dans un cadre verdoyant à deux pas du lac !- Surfaces habitables de 170 à 142 m2- Balcon, deux terrasses et jardin privatif- Places de parc (un garage et une place de parc extérieure)- Mezzanine- Finitions à choixPrix de vente: CHF 1'370'000.- Consultez le site: www.villas-lacustres.ch pour obtenir de plus amples informations! In einem Wohnviertel gelegen, nur 5 Minuten zu Fuß von der Altstadt entfernt, besteht ""Les Villas Lacustres"" aus zwei Doppelhaushälften mit 3.5 Zimmern in einer grünen Umgebung, nur wenige Schritte vom See entfernt!- Wohnflächen von 170 bis 142 m2- Balkon, zwei Terrassen und Privatgarten- Parkplätze (eine Garage und ein Aussenparkplatz)- Mezzanine- Ausführungen nach WahlVerkaufspreis: CHF 1'370'000.- Besuchen Sie die Webseite: www.villas-lacustres.ch für weitere Informationen!";3.5;170.0;1783740.0;796.0;Freiburg
1510 Moudon;Quartier Saint-Michel Appartement 2.5 pces au 1er;LIVRAISON EN COURS? Appartement témoin à visiter : prenez rendez-vous dès aujourd'hui !? Visite 360° et informations sur www.quartier-saint-michel.ch/appartements-disponiblesSitué au coeur de la Suisse romande, sur la commune de Moudon, le quartier Saint-Michel bénéficie des avantages d'une petite ville dynamique à la campagne. Un cadre de vie apaisé à moins de 40 minutes de Lausanne, Yverdon, Fribourg, Bulle et Payerne.Vos avantages :- Aménagements intérieurs modernes et de qualité, finitions au gré du preneur- Jardins privatifs, terrasses ou grands balcons- Succession d'espaces en gradins engazonnés et arborés- Place de jeux en bois- Site entièrement accessible par des chemins et des rampes- Parking visiteurs en surface- Parking souterrain voitures, motos et vélos61 appartements allant du 2.5 au 5.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur lieu de vie !***Lot B09 | Appartement de 2.5 pièces | 1erSurface habitable = 82 m2Balcon = 12 m22 chambres à coucherCuisine ouverteSalle de bain et douche/WC séparéeEspace buanderie (possibilité d'installer une colonne de lavage)Armoires murales à l'entréePlaces de parc : standard + 2 places vélos;2.5;60.0;699170.0;579.0;Waadt
Allmendgütlistrasse 43, 8810 Horgen;AURA - Letzte idyllische Gartenwohnung;Termin online buchen - bitte Link kopieren: https://outlook.office2.5.com/owa/calendar/AURA@mobimo.onmicrosoft.com/bookings/Wir freuen uns auf Sie.Kurzinfos: • Lichtdurchflutete Innenräume • Grosszügige Grundrisse • Hochwertige Materialien • Moderne Ausstattung • Raumhohe Fenster • Private Aussenräume • Repräsentative, zeitlose und elegante Atmosphäre • Traumhafte Aussicht in die eigene Parklandschaft • Angenehmes Wohnklima durch Free-Cooling und Komfortlüftung • Bezug voraussichtlich 3. Quartal 2024 • Minergie-ECO zertifiziert • Strom stammt teilweise von eigenen PV-Anlagen auf den Dächern • Wärmeversorgung durch Erdsonden-Wärmepumpe • Einkaufsmöglichkeiten, Restaurants, Cafés und vieles mehr • Kindergarten und Schule • Öffentliche Verkehrsanbindungen wie Bus, S-Bahn und Fähre • Autobahnanschluss A3 • Abwechslungsreiche und kulturelle Veranstaltungen • Wunderschöne Zürichsee-Uferpromenade • Steuergünstige Gemeinde Nähere Infos erfahren Sie auf unserer Website: https://www.aura-horgen.chKonnten wir Ihr Interesse wecken?Wir freuen uns auf Sie.;2.5;130.0;2044140.0;6251.0;Zürich
1964 Conthey;Nouvelle promotion en cours de finition ! FRAIS D'ACHAT OFFERTS !;FRAIS D'ACHAT OFFERTS !Berra vous propose aujourd'hui cette nouvelle promotion, située sur le versant sud de la vallée du Rhône, au beau milieu de la commune de Conthey.Cette promotion profite d'un ensoleillement maximal grâce à sa superbe exposition.Cette villa jumelle de 3.5pces se compose de la manière suivante : REZ-DE-CHAUSSÉE : - Bel espace d'entrée- Belle cuisine ouverte entièrement équipée - Séjour/ salle à manger donnant accès à la terrasse- Economat- WC visiteurs1ER ÉTAGE : - 3 belles chambres à coucher avec une belle hauteur sous plafond- 2 salles d'eau avec douche, WC et lavaboSOUS-SOL :- cave- Local technique- Buanderie- Accès au parkingExtérieurs :- Jardin privatif de 163m2, engazonnéPARKINGLe stationnement est assuré par des places de parc intérieures, vendues en sus du prix de vente : CHF 35'000.- pour la première place et CHF 30'000.- pour la deuxième placeLe parking intérieur sera équipé de tubes pour les véhicules électriques. Le sous-sol comporte un total de 68 places de parc souterraines, 29 caves, des locaux technique et un parc a vélos.Plaquette de vente sur demandeChez nous, la curiosité est un joli défaut ! Appelez-moi pour plus d'informations et/ou une visite sur place!!! RETROUVEZ TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH !!!;3.5;170.0;1022070.0;4510.0;Valais
Moosackerweg, 5728 Gontenschwil;Neubau mit herrlicher Weitsicht - Baubewilligung liegt vor!;;4.5;210.0;1666560.0;2518.0;Aargau
Furkastrasse, 3982 Bitsch;2.5 Zi.-Whg. WÜB Ze Warme Brunnu, Bitsch - B003-C203/ B003-C203;;2.5;140.0;742140.0;3523.0;Wallis
Weingartenstrasse, 3904 Naters;1x 4½ Attikawohnung in Naters;;3.5;230.0;1236900.0;2225.0;Wallis
1958 Uvrier;3.5 pièces !;Nouvelle promotion à Uvrier de 10 petits immeubles de 3 étages pour un total de 165 appartements allant du studio au 6 pièces dont 30 attiques.Belle situation sur la Rive droite à la Route d'Italie à moins de 500 m du centre commercial de la Coop, du centre scolaire et à 3 min en voiture de la ville de Sion.Avec une architecture contemporaine épurée et une orientation Sud-Ouest pour la plupart des appartements, cette promotion inspire la joie de vivre, d'où son nom « Alegria » !C4-193 : Appartement de 3.5 pièces Surface habitable : 56 m2Balcon : 22 m2Surface de vente : 46 m2Distribution :- 1 Hall d'entrée avec armoire- 1 Chambre- 1 Salle de bain avec baignoire- 1 Cuisine équipée ouverte sur l'espace à manger/salon- 1 Balcon de 22 m2- 1 Cave (C157)PARKING :Plus de places extérieures disponibles9 Places de parc pour moto à CHF 8'000.- en sus1 place de parc intérieure (CHF 35'000 en sus et obligatoire)COMMODITÉS :- Centre commercial de la Coop à 150 m- Arrêt de bus à 150 m- Gare CFF à 1 km- Centre scolaire à 1 km- Autoroute à 4,5 km- Centre-ville de Sion à 5 kmDisponible en 2024 !Chez nous la curiosité est un joli défaut ! Alors appelle-nous pour plus d'informations ou une visite !Contact : Cyril 079 464 11 35***Tous les lots disponibles sur www.berra-immobilier.ch***;3.5;46.0;453090.0;5564.0;Valais
1913 Saillon;Triplex, vieux bourg, écologique, exceptionnel;Vente sur plans : transformation d'une ancienne bâtissePlace parking inclusesPour les amoureux du cachet et du goût de l'ancien retrouvé dans un lieu mythiqueConstruction en cours : ECOLOGIQUE ! Situation Bourg médiéval de Saillon : écoles à 3 min à pied, Bains thermaux, petits commerces, restaurants à 2 pasEn bref :- 2 vastes appartements triplex en ppe idéalement répartis (entrées privées, buanderies séparées- grand cachet de l'ancien remis à neuf, transformation - vieux bois, mur à sec, façades en pierre naturelle, toiture en ardoises- orientation des séjours : Sud/Sud-Est et Sud/Sud-Ouest- panneaux solaires, chauffage au renouvelable- cheminée, budget inclus dans le prix- pièces de vie font 48 m2 nets- une mezzanine sous combles aménageable en pièce de 22 m2 nets n'est pas comptée- 1 balcon- très lumineux, beaucoup de vitrages sont prévus- places extérieures sont comprises dans le tarif affiché et parking communal à proximité- finitions à choix, budgets en rapport avec le standing- modifications possibles sur demandeCaractéristiques détaillées et plans via dossier sur demande. Autres renseignement sur demande.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;3.5;280.0;1529850.0;11093.0;Valais
