Address;Title;Description;Rooms;Living Space (sqm);Price
Martinsweg 20/22/24, 8840 Einsiedeln;Überbauung Wasenmatte - Neubau Reiheneinfamilienhäuser;;5.5 rooms;172m²;CHF 1,520,000.–
8845 Studen SZ;Wohnen wie im Urlaub;;2.5 rooms;110m²;CHF 795,000.–
Fingeracher, 8863 Schübelbach;"NEUBAU Doppeleinfamilienhaus ""Fingeracher""";AllgemeinMöchten Sie Ihren Traum vom eigenen Einfamilienhaus in der March verwirklichen? Dann ist das nun Ihre Chance! Das Bauprojekt kommt an einer ruhigen und gut besonnten Wohnlage direkt angrenzend an die Landwirtschaftszone zu stehen.Das Doppelhaus ist modern konzipiert und die einzelnen Einheiten sind sehr gut möblierbar. Die grosszügigen Häuser bestechen weiter durch eine moderne Materialisierung. Selbstverständlich kann der Innenausbau, so lange es die Bauarbeiten zulassen, noch nach Ihren Wünschen gestaltet und realisiert werden. BesichtigungKonnten wir Ihr Interesse wecken? Gerne stehen wir Ihnen für eine unverbindliche Objekt-Besichtigung zur Verfügung.Wir freuen uns über Ihre Kontaktaufnahme.;6.5 rooms;188m²;CHF 1,745,000.–
Sagenbachstrasse, 6442 Gersau;Traumhafte, lichtdurchflutete Attikawohnung mit Panoramasicht und grossen Terrassen;»Sagenhaft« – An der Riviera der ZentralschweizEin wahrhaft zauberhafter Ort ist Gersau und hier zu leben ein Privileg. Am Südhang der Rigi, direkt am Vierwaldstättersee, in einem ungewöhnlich milden Klima mit Palmen in den Parkanlagen, fühlt man sich in den Süden versetzt. So erstaunt es nicht, dass Gersau den Ruf der «Riviera der Zentralschweiz» geniesst.Als kleinster Bezirk im steuergünstigen Kanton Schwyz zählt Gersau rund 2500 Einwohnende, 30 km Wanderwege und 8.5 km Seeufer. Man erreicht den Ort auf der Hauptstrasse von Brunnen kommend (7 km), wo Autobahnauffahrten und Bahnverbindungen mit den Städten Zug, Luzern, Zürich und der Welt verbinden. Oder man schenkt sich Quality Time und gelangt auf der malerischen Panoramastrasse von Luzern über Küssnacht (mit Anschluss auf die A4), Weggis und Vitznau nach Gersau.Man erreicht das Penthouse mit seinen 5.5 Zimmern via Lift oder über die Treppe durch den Nebeneingang im darunterliegenden Geschoss. Empfangen wird man von einem reduziert gradlinigen Entrée mit dem wirkungsvollen Treppenraum und einem Gäste-WC. Dem Licht entgegen mutiert der Eingang zum Flur, der die Einheit geschickt in Privattrakt und Wohnraum unterteilt. • Panoramasicht auf den Vierwaldstättersee und die Alpen • Hochwertige Einbauküche • Luxuriöser Innenausbau • Lichtdurchflutete, grosszügige Bauweise • Zwei Terrassen, Morgensonne auf der grossen • Wunderschönes Holzparkett, Marmorfliesen im Badezimmer • Lift direkt in die Wohnung • Doppelgarage • Ruhige Lage, dennoch nah zu den Zentren • Einen Katzensprung vom Vierwaldstättersee entfernt;5.5 rooms;175m²;Price on request
Jessenen 6, 8843 Oberiberg;Chalet in Oberiberg;;3 rooms;88m²;CHF 690,000.–
Stelzli 8, 6423 Seewen SZ;Neuwertige 2.5-Zimmer-Wohnung, nahe ÖV, Autobahn und Einkaufszentren;;2.5 rooms;80m²;CHF 795,000.–
8854 Galgenen;Traumhafte, moderne Maisonettewohnung in familienfreundlicher Lage;Traumhafte, moderne Maisonettewohnung in familienfreundlicher LageGalgenen ist eine idyllische Gemeinde, die durch die Nähe zur intakten Natur, die Beschaulichkeit sowie der Nähe zu den Bündner Bergen und Skigebieten ein beliebter Ort zum Leben ist. Die sattgrünen Wälder oder der malerische Zürichsee laden zu Ausflügen ein, zudem erreichen Sie rasch die belebten Zentren wie Rapperswil oder Zürich.In idyllischer, familienfreundlicher Lage, direkt angrenzend an ein Wäldchen, steht hier eine 5.5-Zimmer-Maisonettewohnung auf zwei Etagen zum Verkauf. Die Wohnung punktet mitunter durch ihren raffinierten Schnitt und den hohen Ausbaustandard. Das Entrée mit Einbauschränken führt links in ein kleines Zimmer, das etwa als Büro oder als Garderobe verwendet werden könnte. Rechts befindet sich ein modernes Bad mit grosser, ebenerdiger Dusche und angrenzend ein helles Schlafzimmer. An einem Reduit mit Boiler, Lavabo und Anschlüssen für einen Waschturm vorbei, betreten Sie den grosszügigen, offenen und lichtdurchfluteten Wohn-, Koch- und Essbereich. Hier bietet sich viel Platz zum gemütlichen Beisammensein, der Raum wird vom charmanten Cheminée optimal abgerundet. Von hier betreten Sie zwei Terrassen, mit einem geschlossenen Abstellraum und einer wunderbaren Sicht ins umliegende Grün. Die helle Küche ist mit hochwertigen, modernen Elektrogeräten ausgestattet.Über die offene, luftige Treppe mit Glasgeländer gelangen Sie ins Dachgeschoss. Hier befinden sich drei Zimmer, wobei sich das kleinste optimal als Homeoffice eignet. Dieses und ein Schlafzimmer verfügen über Zugang zur grossen totalsanierten Terrasse mit unverbaubarer Sicht auf den Zürichsee. Alle Zimmer verfügen über grosse Dachfenster für optimalen Tageslichteinfall. Auf dieser Etage befindet sich ein Bad mit Dusche und angrenzender Badewanne und Sauna ? eine wahre Wellness-Oase. Die gesamte Wohnung wurde mit Echtholzparkett ausgestattet, zudem wurden Dachfenster und Sanitärleitungen ersetzt, die Elektrik auf den neusten Stand gebracht. Zur Wohnung gehört ein Kellerabteil, zwei Parkplätze in der Einstellhalle können für zzgl. je Fr. 35?000.- dazugekauft werden.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.;5.5 rooms;142m²;CHF 1,180,000.–
Halteli 5, 6430 Schwyz;UNWEIT STADT UND WALD - familienfreundliches 6-Zimmer EFH in Schwyz;Familienfreundliches 6-Zimmer EFH in SchwyzWillkommen zum perfekten Zuhause. Hier erwartet Sie mehr als nur ein Haus - es ist ein Ort des Komforts, der Qualität und des modernen Wohnens. Diese charmante Immobilie besteht aus zwei Doppel­einfamilienhäusern, wobei Halteli 5 die hintere, strassenabgewandte mittige Hälfte mit der Westhälfte des Ziegel-Satteldachs ist. Insgesamt umfasst diese Überbauung vier Einheiten, die finanziell unabhängig sind, ohne einen Erneuerungsfonds und mit niedrigen Nebenkosten. Das Haus auf vier Ebenen hat eine funktionelle Raumaufteilung.Ein 6-Zimmer Haus das Sie begeistern wirdAlles ist gut erhalten mit leicht gehobenem Ausbaustandard. Das Haus ist Massivbau und hat eine Aussenisolation und doppeltverglaste Holzfenster, die für ein angenehmes Wohnklima sorgen. Das geräumige 6 -Zimmer EFH mit Untergeschoss, erstem und zweitem Obergeschoss und voll ausgebautem Dachgeschoss war immer ein Nichtraucherhaus. Alle drei WC sind Marke Geberit. Im ganzen Haus ist der Innenputz 1.5mm. Alle Türen sind schwere Echtholztüren. Alle Jalousien sind handbedient ausser die elektrische in der Küche. Das Haus hat Bodenheizung ausser im Dachgeschoss wo über Radiatoren geheizt wird. Im Wohn-Essbereich ist zusätzlich zur Bodenheizung ein Radiator und ein Hase-Schwedenofen vorhanden. ErdgeschossSchon beim Betreten werden Sie von einem grosszügigen Eingangsbereich empfangen, der mit Steinplattenboden und einem imposanten Schmiedeeisengeländer an der Treppe zum ersten Stock beeindruckt. Der Eingangsbereich ist mit sechs Glasplatten versehen, die viel Licht hereinlassen und eine einladende Atmosphäre schaffen.Die Türe führt zum Vorkeller. Der zweite Keller und die Heizung haben beide je ein kleines Fenster. Die Ölheizung hat einen 2000 Liter Öltank. Der Hoval Brenner ist von 2019.Die Elektroschalttafel hat bereits FI-Schalter und wurde vor ein paar Jahren mit der Elektrokontrolle überprüft.Zwei ObergeschosseÜber die breite grosszügige Wendeltreppe lassen sich bequem alle 3 oberen Ebenen erreichen. Die Treppe ist betoniert und ab dem ersten OG mit Holztritten versehen. Vom Dachfenster kommt weiteres Licht über die Treppe in die unteren Stockwerke.Der Echtholzparkett in Form von Landhausdielen ist von 2017 und sehr gut erhalten und sind in zwei Varianten im ganzen Haus verlegt, ausser der Küche, den Nasszellen und dem Dachgeschoss.Die halboffene Küche mit Frühstücksbar in Granit wurde ersetzt und hat auch Granit-Arbeitsplatten. Die Küche hat einen Backofen und einen Combi-Steamer, beide Elektrolux und einen Geschirrspüler von Siemens. In der Küche sind Keramikfliessen verlegt. Ganz nahe ist das Gäste WC.Vom Wohn-Essraum, führt eine Glastüre auf die Terrasse. Diese hat Keramikplatten mit Wasserablauf. Die Terrasse ist gross genug für Essen und Faulenzen und hat Fernsicht auf Hengst, Chaiserstock und die Urner Alpen. Eine handbediente Store bietet Schatten wenn nötig. Ferner ist ein grosser Betonpflanzkübel vorhanden.Der Wirtschaftraum hat Waschmaschine und Tumbler beide Marke VZug und eine Türe die zum Garten führt.Im zweiten OG sind zwei Kinderzimmer mit Zugang zum Balkon Richtung Süden.Eine Dusche/WC mit Keramikfliessen auf Boden und Wänden.Das Elternschlafzimmer hat en suite Badewanne/WC mit Keramikfliessen auf Boden und Wänden und viel Licht durch zwei Doppelfenster.DachgeschossDas Dachgeschoss ist abgeschrägt durch die Dachneigung. Hier sind zwei grosse Zimmer mit je 12m2, das Südzimmer mit Dachfenster. Weiter ist ein kleiner Estrich im Bereich der Treppe vorhanden. Im Dachgeschoss ist ein Teppich verlegt. Komfortables Parkieren mit Einzelgarage und zwei ParkplätzenDie Garage ist über das handbediente Garagentor erreichbar und bietet einem Auto Platz.Vor der Garage und vor dem Hauseingang können weitere zwei Autos abgestellt werden.Ein Ort zum WohlfühlenWillkommen in Ihrem neuen Zuhause, wo Komfort, Qualität und Stil aufeinandertreffen und Ihnen ein Leben in Harmonie und Entspannung ermöglichen. Vereinbaren Sie noch heute einen Besichtigungstermin und lassen Sie sich von diesem einzigartigen Wohntraum begeistern!Beste LageDie Lage dieses Hauses ist hervorragend. Sie profitiert von einer guten Sonneneinstrahlung und einer schönen Aussicht auf die Bergwelt. Die demographische Struktur in der Nähe ist ausgewogen, von mittlerem Alter bis zu älteren Personen, Kindern und jungen Erwachsenen. Sie erwartet ein vielfältiges Quartier.Einkaufsmöglichkeiten, einschliesslich eines Coop nur 800 Meter entfernt, sind gut erreichbar. Naturfreunde werden den nahegelegenen Lauerzersee und Vierwaldstättersee und den angrenzenden Wald für Aktivitäten und Entspannung schätzen. Die Anbindung an das öffentliche Verkehrsnetz und das Strassennetz ist gut. Eine ÖV-Haltestelle ist zu Fuss erreichbar, und der Autobahnanschluss liegt nur wenige Kilometer entfernt. Sie wohnen ohne störenden Fluglärm oder andere Beeinträchtigungen.Unmittelbar vom Haus aus profitieren Sie von malerischen Spazier- und Wanderwegen, darunter auch die Wanderwege zum Grossen und Kleinen Mythen, berühmt für ihre natürliche Schönheit und Bedeutung. Virtuelle TourErleben Sie ein tolles Wohnambiente, das Sie begeistern wird. Nutzen Sie auch den Link für die virtuelle Tour durch die Wohnung auf unserer Website und vereinbaren Sie heute noch eine Besichtigung.VerkaufsabwicklungUnser Team steht Ihnen für alle Fragen im Zusammenhang mit dem Kauf dieser Immobilie gerne zur Verfügung. Für die Angaben in dieser Dokumentation kann keine Gewähr übernommen werden. Es gelten die tatsächlichen Gegebenheiten des Objektes vor Ort bzw. die gesetzlichen Bestimmungen. ANZAHLUNG / RESERVIERUNG: Die Reservation erfolgt aufgrund einer ersten Finanzierungsbestätigung eines Schweizer Finanzinstitutes und einer ersten Anzahlung von CHF 43'781. Diese ist Bestandteil des Kaufpreises und wird nicht verzinst. Die Reservationsanzahlung ist sofort fällig auf das Reservationskonto der Lage A Immobilien GmbH, Neugasse 18, 6300 Zug. KAUFVERTRAG: Der Käufer hat anlässlich der öffentlichen Beurkundung des Grundstückkaufvertrages zur Sicherstellung des Kaufpreises ein unwiderrufliches Zahlungsversprechen eines schweizerischen Finanzinstitutes vorzulegen.ZAHLUNGEN: Anzahlung anlässlich der Reservation CHF 43'781. Restzahlung des Kaufpreises auf das Datum der Eigentumsübertragung, sichergestellt durch ein unwiderrufliches Zahlungsversprechen eines schweizerischen Finanzinstituts. NOTAR- UND GRUNDBUCHGEBÜHREN: Die Notariats- und Grundbuchkosten werden je zur Hälfte von Käufer und Verkäufer getragen. Die Gebühren für die Errichtung zusätzlicher Schuldbriefe gehen zulasten des Käufers.GRUNDSTÜCKGEWINNSTEUER: Eine mögliche Steuer geht zulasten der Verkäuferschaft und wird im Kaufvertrag sichergestellt.OFFERTCHARAKTER: Der Preis ist ein Richtpreis. Je nach Angebot und Nachfrage kann er sich dem Markt anpassen. Alle Angaben sind freibleibend und unverbindlich und dienen der allgemeinen Information. Massgebend sind die vor Ort angetroffenen Verhältnisse und die tatsächliche Masse. Ähnlichkeiten in allen Bildern und Plänen dienen nur der Veranschaulichung und sind im Kaufpreis nicht enthalten. Aus der Weitergabe dieser Verkaufsdokumentation an Dritte entstehen keine Provisionsansprüche. Weder gegenüber dem Verkäufer noch gegenüber der Lage A Immobilien GmbH. BESICHTIGUNG: Überzeugen Sie sich selbst von dieser attraktiven Immobilie und vereinbaren Sie noch heute einen Besichtigungstermin. Zögern Sie nicht, nach Abklärung der Tragbarkeit mit Ihrer Bank, einen Besichtigungstermin zu vereinbaren. Wir freuen uns darauf, Ihnen diese Immobilie persönlich vorzustellen!;6 rooms;158m²;CHF 1,500,000.–
Steinen, 6422 Steinen;Charmante 3.5 Zimmerwohnung mit grosser Terrasse in Steinen;Diese moderne 3.5-Zimmer-Wohnung ist ein echtes Schmuckstück, das Ihnen alles bietet, was Sie brauchen. Mit ihrer Holz100- Konstruktion hat sie den Charakter eines gemütlichen Chalets, während die grosszügigen Räume und viel natürliches Licht eine warme Atmosphäre schaffen. Das Highlight ist der grosse Balkon, der viel Platz bietet und sich perfekt für entspannte Momente im Freien eignet. Die Lage ist optimal, denn alles, was Sie sich wünschen, befindet sich in unmittelbarer Nähe.Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/6422-24-2;3.5 rooms;110m²;CHF 970,000.–
Brunnen, 6440 Brunnen;Charmantes 5.5-Zimmer Reihenmittelhaus in Brunnen;Willkommen im Herzen von Brunnen, wo dieses charmante 5.5-Zimmer-Reihenmittelhaus darauf wartet, Ihr neues Zuhause zu werden. Mit grosszügigen und lichtdurchfluteten Räumen bietet diese Liegenschaft ein harmonisches Wohnerlebnis und viel Platz für Ihre individuellen Wohnideen. Das Haus besticht nicht nur durch seine architektonische Eleganz, sondern auch durch seinen grosszügigen Garten, der einen atemberaubenden Ausblick bietet. Die Lage dieser Immobilie ist erstklassig. In unmittelbarer Nähe finden Sie alles, was das tägliche Leben angenehm macht. Dieses Reihenmittelhaus verkörpert die perfekte Kombination aus Komfort, Eleganz und Lebensqualität.Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/6440-24-4;5.5 rooms;122m²;CHF 1,290,000.–
