Address;Title;Description;Rooms;Living Space (sqm);Price
Buechenstrasse 19a, 9422 Staad SG;Exklusive Neubau 7 1/2 Zi. Dachmaisonettewohnung mit unverbaubarer Seesicht/im-grüebli.ch;;7.5 rooms;189m²;Price on request
Bürgstrasse 2a, 8732 Neuhaus SG;3.5 Zimmer-Neubau Eigentumswohnung (W4);;3.5 rooms;95m²;CHF 790,000.–
Schmalzgasse 4, 9526 Zuckenriet;MFH Zuckenriet / WHG 2;;4.5 rooms;142m²;CHF 950,000.–
Untere Grundgasse 9, 9500 Wil SG;3. OG - 147 m² grosse 4.5-Zi.-Wohnung - Stadt Wil;"Am Grundweg 11 in Wil (1. Etappe) können Sie eine fertig ausgebaute und möblierte Muster-Wohnung sowie das Projekt-Modell 1:200 besichtigen. Vereinbaren Sie einen unverbindlichen Besichtigungstermin.Auf der Sonnenseite an attraktiver und sonniger Hanglage entsteht in der Stadt Wil SG die moderne Wohnüberbauung ""Neualtwil"" - 2. Bauetappe mit 2½- bis 5½-Zimmer-Eigentumswohnungen. Der Bezug ist ab Herbst 2024.Die Stadtbus-Haltestelle ist in unmittelbarer Nähe bei der Grund- oder Hofbergstrasse. Der Bus hat regelmässige Verbindungen Richtung Stadtzentrum und Bahnhof (SBB/IC/IR). Der Autobahnzubringer Wil ist 5 Minuten entfernt. Auch zu Fuss ist das Stadtzentrum (sämtliche Einkaufsmöglichkeiten, Restaurants, Banken, Post, Bahnhof, etc.) in ca. 15 Minuten erreichbar. Die Kinder besuchen alle Schulstufen bis zur Kantonsschule in Wil.Gerne möchten wir Ihnen die wesentlichsten Punkte näher vorstellen. • Die Mehrfamilienhäuser sind optimal angeordnet und besonnt. • moderne Architektur: Dank den teilweise raumhohen Fenstern gelangt sehr viel Licht in die Wohnräume. • Der durchdachte Grundriss bietet viel Raum für individuelles Wohnen. • breiter, grosszügiger Eingangsbereich/Korridor mit Einbauschränken/Garderobe • offene Küche mit modernsten Geräten • grosszügiges Wohnen/Essen/Küche • Elternzimmer mit eigener Dusche/WC • zusätzliches separates Bad/Dusche/WC • Jede Wohnung verfügt über einen eigenen Wasch- sowie Kellerraum. • sonniger, gedeckter Balkon • In der Wohnung befindet sich ein Reduit/Abstellraum. • Die Gebäude werden massiv und erdbebensicher erstellt und erreichen ausgezeichnete Schallwerte - 1A-Bauweise - bewährte Vetter-Qualität. • Mit dem Lift gelangen Sie direkt und komfortabel von der Tiefgarage ins Wohngeschoss (rollstuhlgängig). • Für die parkähnliche Umgebungsgestaltung wurde ein erfahrener Landschaftsarchitekt beauftragt. • Alle Bauten werden im Minergie-Standard (zertifiziert) erstellt, so wird auch der Umwelt speziell Sorge getragen. • Die Häuser werden mit Erdwärme / Tiefenbohrungen beheizt. Auf dem Dach wird die hauseigene Photovoltaik-Anlage für die Stromerzeugung montiert. In der Tiefgarage ist ein Management für Elektromobilität vorgesehen. • Jede Wohnung verfügt über eine eigene Komfortlüftung. • Minergie: mehr Wohnqualität, gute Wirtschaftlichkeit, geringer Energieverbrauch, dichtere Gebäudehülle • günstige MINERGIE-Hypotheken (Fragen Sie Ihre Hausbank) Tiefgaragenplatz à Fr. 35'000.00Tiefgaragenplatz mit Abstellraum à Fr. 49'000.002 Tiefgaragenplätze (hintereinander) à Fr. 60'000.00Motorradabstellplatz à Fr. 5'000.00zusätzlicher Abstellraum ab Fr. 16'000.00Die detaillierte Dokumentation über dieses und alle weiteren Projekte finden Sie unter www.vetter.ch. Für einen unverbindlichen Besichtigungstermin steht Ihnen Stefan Vetter unter Telefon 052 369 45 48 oder Mobile 079 278 55 99 gerne zur Verfügung.";4.5 rooms;147m²;CHF 1,075,000.–
Buechenstrasse 19c, 9422 Staad SG;Exklusive Neubau 5 1/2 Zi. Wohnung mit  Seesicht / im-grüebli.ch;;5.5 rooms;142m²;Price on request
Untere Grundgasse 9, 9500 Wil SG;108 m² grosse 2.5-Zi.-Wohnung mit Blick ins Grüne;"Am Grundweg 11 in Wil (1. Etappe) können Sie eine fertig ausgebaute und möblierte Muster-Wohnung sowie das Projekt-Modell 1:200 besichtigen. Vereinbaren Sie einen unverbindlichen Besichtigungstermin.Auf der Sonnenseite an attraktiver und sonniger Hanglage entsteht in der Stadt Wil SG die moderne Wohnüberbauung ""Neualtwil"" - 2. Bauetappe mit 2½- bis 5½-Zimmer-Eigentumswohnungen. Der Bezug ist ab Herbst 2024.Die Stadtbus-Haltestelle ist in unmittelbarer Nähe bei der Grund- oder Hofbergstrasse. Der Bus hat regelmässige Verbindungen Richtung Stadtzentrum und Bahnhof (SBB/IC/IR). Der Autobahnzubringer Wil ist 5 Minuten entfernt. Auch zu Fuss ist das Stadtzentrum (sämtliche Einkaufsmöglichkeiten, Restaurants, Banken, Post, Bahnhof, etc.) in ca. 15 Minuten erreichbar. Die Kinder besuchen alle Schulstufen bis zur Kantonsschule in Wil.Gerne möchten wir Ihnen die wesentlichsten Punkte näher vorstellen. • Die Mehrfamilienhäuser sind optimal angeordnet und besonnt. • moderne Architektur: Dank den teilweise raumhohen Fenstern gelangt sehr viel Licht in die Wohnräume. • Der durchdachte Grundriss bietet viel Raum für individuelles Wohnen. • breiter, grosszügiger Eingangsbereich/Korridor mit Einbauschränken/Garderobe • offene Küche mit modernsten Geräten • grosszügiges Wohnen/Essen/Küche • Bad/Dusche/WC • Jede Wohnung verfügt über einen eigenen Wasch- sowie Kellerraum. • sonniger, gedeckter Balkon • In der Wohnung befindet sich ein Reduit/Abstellraum. • Die Gebäude werden massiv und erdbebensicher erstellt und erreichen ausgezeichnete Schallwerte - 1A-Bauweise - bewährte Vetter-Qualität. • Mit dem Lift gelangen Sie direkt und komfortabel von der Tiefgarage ins Wohngeschoss (rollstuhlgängig). • Für die parkähnliche Umgebungsgestaltung wurde ein erfahrener Landschaftsarchitekt beauftragt. • Alle Bauten werden im Minergie-Standard (zertifiziert) erstellt, so wird auch der Umwelt speziell Sorge getragen. • Die Häuser werden mit Erdwärme / Tiefenbohrungen beheizt. Auf dem Dach wird die hauseigene Photovoltaik-Anlage für die Stromerzeugung montiert. In der Tiefgarage ist ein Management für Elektromobilität vorgesehen. • Jede Wohnung verfügt über eine eigene Komfortlüftung. • Minergie: mehr Wohnqualität, gute Wirtschaftlichkeit, geringer Energieverbrauch, dichtere Gebäudehülle • günstige MINERGIE-Hypotheken (Fragen Sie Ihre Hausbank) Tiefgaragenplatz à Fr. 35'000.00Tiefgaragenplatz mit Abstellraum à Fr. 49'000.002 Tiefgaragenplätze (hintereinander) à Fr. 60'000.00Motorradabstellplatz à Fr. 5'000.00zusätzlicher Abstellraum ab Fr. 16'000.00Die detaillierte Dokumentation über dieses und alle weiteren Projekte finden Sie unter www.vetter.ch. Für einen unverbindlichen Besichtigungstermin steht Ihnen Stefan Vetter unter Telefon 052 369 45 48 oder Mobile 079 278 55 99 gerne zur Verfügung.";2.5 rooms;108m²;CHF 765,000.–
Büntenstrasse 8b, 7323 Wangs;Neubauprojekt Bünte: modernes Doppeleinfamilienhaus in nachhaltiger Bauweise an attraktiver Lage;;5.5 rooms;;CHF 1,310,000.–
Rapperswilerstrasse, 8733 Eschenbach SG;BAUSTART ERFOLGT - Neubauwohnungen TWINS;;3.5 rooms;106m²;CHF 990,000.–
Untere Grundgasse 14, 9500 Wil SG;Stadt Wil - 3.5-Zi.-Wohnung im 1. OG - 120 m²;"Am Grundweg 11 in Wil (1. Etappe) können Sie eine fertig ausgebaute und möblierte Muster-Wohnung sowie das Projekt-Modell 1:200 besichtigen. Vereinbaren Sie einen unverbindlichen Besichtigungstermin.Auf der Sonnenseite an attraktiver und sonniger Hanglage entsteht in der Stadt Wil SG die moderne Wohnüberbauung ""Neualtwil"" - 2. Bauetappe mit 2½- bis 5½-Zimmer-Eigentumswohnungen. Der Bezug ist ab Herbst 2024.Die Stadtbus-Haltestelle ist in unmittelbarer Nähe bei der Grund- oder Hofbergstrasse. Der Bus hat regelmässige Verbindungen Richtung Stadtzentrum und Bahnhof (SBB/IC/IR). Der Autobahnzubringer Wil ist 5 Minuten entfernt. Auch zu Fuss ist das Stadtzentrum (sämtliche Einkaufsmöglichkeiten, Restaurants, Banken, Post, Bahnhof, etc.) in ca. 15 Minuten erreichbar. Die Kinder besuchen alle Schulstufen bis zur Kantonsschule in Wil.Gerne möchten wir Ihnen die wesentlichsten Punkte näher vorstellen. • Die Mehrfamilienhäuser sind optimal angeordnet und besonnt. • moderne Architektur: Dank den teilweise raumhohen Fenstern gelangt sehr viel Licht in die Wohnräume. • Der durchdachte Grundriss bietet viel Raum für individuelles Wohnen. • breiter, grosszügiger Eingangsbereich/Korridor mit Einbauschränken/Garderobe • offene Küche mit modernsten Geräten • grosszügiges Wohnen/Essen/Küche • Bad/Dusche/WC • zusätzliche separate Dusche/WC • Jede Wohnung verfügt über einen eigenen Wasch- sowie Kellerraum. • sonniger, gedeckter Balkon • Die Gebäude werden massiv und erdbebensicher erstellt und erreichen ausgezeichnete Schallwerte - 1A-Bauweise - bewährte Vetter-Qualität. • Mit dem Lift gelangen Sie direkt und komfortabel von der Tiefgarage ins Wohngeschoss (rollstuhlgängig). • Für die parkähnliche Umgebungsgestaltung wurde ein erfahrener Landschaftsarchitekt beauftragt. • Alle Bauten werden im Minergie-Standard (zertifiziert) erstellt, so wird auch der Umwelt speziell Sorge getragen. • Die Häuser werden mit Erdwärme / Tiefenbohrungen beheizt. Auf dem Dach wird die hauseigene Photovoltaik-Anlage für die Stromerzeugung montiert. In der Tiefgarage ist ein Management für Elektromobilität vorgesehen. • Jede Wohnung verfügt über eine eigene Komfortlüftung. • Minergie: mehr Wohnqualität, gute Wirtschaftlichkeit, geringer Energieverbrauch, dichtere Gebäudehülle • günstige MINERGIE-Hypotheken (Fragen Sie Ihre Hausbank) Tiefgaragenplatz à Fr. 35'000.00Tiefgaragenplatz mit Abstellraum à Fr. 49'000.002 Tiefgaragenplätze (hintereinander) à Fr. 60'000.00Motorradabstellplatz à Fr. 5'000.00zusätzlicher Abstellraum ab Fr. 16'000.00Die detaillierte Dokumentation über dieses und alle weiteren Projekte finden Sie unter www.vetter.ch. Für einen unverbindlichen Besichtigungstermin steht Ihnen Stefan Vetter unter Telefon 052 369 45 48 oder Mobile 079 278 55 99 gerne zur Verfügung.";3.5 rooms;120m²;CHF 835,000.–
Abt-Bedastrasse 62, 9245 Oberbüren;Raumwunder mit Säntisblick - Neue Eigentumswohnung nach Ihren Wünschen;;4.5 rooms;150m²;CHF 920,000.–
