Address;Title;Description;Rooms;Living Space (sqm);Price
1950 Sion;Superbes studios disponibles dans nouvel écoquartier;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;1.5 rooms;33m²;CHF 202,000.–
1950 Sion;Studios agréables dans nouveau lotissement;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;1.5 rooms;45m²;CHF 270,000.–
1950 Sion;Studio en rez-de-jardin, avec grande terrasse et pelouse privative;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;1.5 rooms;55m²;CHF 346,000.–
1950 Sion;Greenparc phase II : Ecoquartier à Sion;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;4.5 rooms;111m²;CHF 662,000.–
1950 Sion;Rez-de-jardin, lotissement en construction;Vente sur plans : phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Pour les plus patients :Phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux propriétaires du lotissement, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage à distance, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;4.5 rooms;123m²;CHF 704,000.–
1950 Sion;Attique avec terrasse panoramique de 138 m2;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;4.5 rooms;124m²;CHF 985,000.–
1950 Sion;Magnifiques 3.5p à Champsec, nouveau lotissement, en construction;Vente sur plans : phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Pour les plus patients :Phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux propriétaires du lotissement, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage à distance, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;3.5 rooms;90m²;CHF 545,000.–
1950 Sion;A l'orée de la ville, toutes typologies disponibles;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;3.5 rooms;113m²;CHF 672,000.–
1950 Sion;Greenparc phase II : Ecoquartier à Sion;Vente sur plans : phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Pour les plus pressés :Phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux futurs propriétaires, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- des moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage au gaz ou à distance si disponible, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;2.5 rooms;55m²;CHF 335,000.–
1950 Sion;Appartements dans écoquartier, toutes typologies disponibles, en cours de construction;Vente sur plans : phase I en cours de constructionLivraison fin du 1er semestre 2025 pour la phase I : bâtiments A1/A2-B-E-F-G-HVenez-vite et réservez votre lot, 30 % encore disponibles à la vente !Pour les plus patients :Phase II en cours de préventes : bâtiments C-D-I-JChoisissez d'ores et déjà votre futur logement, les possibilités de modifications, les meilleures orientations et positions sont encore disponibles, pour l'instant !Typologies disponibles : 1.5p / 2.5p / 3.5p / 4.5pListe complète interactive des lots sur www.berra-immobilier.chCARACTERISTIQUES GENERALES :- véritable écoquartier à l'orée de la ville de Sion qui comportent de grands espaces verts aménagés en harmonie avec le paysage, un îlot de fraîcheur à 2 pas de toutes les commodités- des espaces particuliers sont prévus : détente (spa, salle de massage, sauna), sport (salle de fitness avec vestiaires-douches), salle de réunion, salle de jeux. A l'extérieur : place de jeux, piste de pétanque- des jardins potagers sont également disponibles pour les mains vertes- des locaux commerciaux sont proposés- les bâtiments sont idéalement répartis et laissent du dégagement pour respirer, aucune impression de grande PPE étouffante !- afin de palier aux nuisances de l'autoroute toute proche, l'arrière des bâtiments A et B agiront comme bouclier antibruit et visuel. Ils isolerons totalement notre beau lotissement, de même qu'une colline verdoyante arborisée dans leur prolongement- un parking géant est prévu en sous-sol pour ne donner aucune nuisance aux propriétaires du lotissement, seules quelques places visiteurs subsistent aux abords, priorité au bien-être, à la mobilité douce et à la verdure- moloks bien pratiques sont prévus à l'entrée du lotissementCARACTERISTIQUES ENERGETIQUES :- un mot d'ordre : efficience !- panneaux solaires photovoltaïques sur toutes les toitures des 8 immeubles- chauffage à distance, au sol à basse température- ventilation double flux avec filtration et récupération des calories- pré-installation pour connexion de bornes pour voitures électriquesCARACTERISQUES DETAILLEES- à découvrir via dossier sur demandeDistribution des espaces, liste complète des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;2.5 rooms;71m²;CHF 435,000.–
